"GENE","CHR","START","STOP","NSNPS","NPARAM","N","ZSTAT","P","P_SNPWISE_MEAN","P_SNPWISE_TOP1"
"FBgn0019929",6,9855233,9877070,190,51,166,2.936,0.0016625,0.0018013,0.0087851
"FBgn0032853",1,20123755,20144923,361,43,166,2.9313,0.0016876,0.001669,0.0092908
"FBgn0285910",6,3870748,3892967,242,57,166,2.9307,0.0016912,0.0010629,0.016166
"FBgn0264516",3,3962899,3983784,416,85,166,2.9251,0.0017216,0.00049193,0.050298
"FBgn0036436",3,14664538,14688147,438,56,166,2.8694,0.0020563,0.00035041,0.036556
"FBgn0262581",3,14661935,14682437,353,47,166,2.8501,0.0021851,0.00071247,0.022806
"FBgn0026239",4,18974025,19032436,1172,130,166,2.8467,0.0022088,0.01169,0.0043781
"FBgn0038676",4,19023538,19054693,729,95,166,2.8366,0.0022797,0.021434,0.0025276
"FBgn0054007",1,20485030,20505758,370,51,166,2.833,0.0023054,0.001072,0.035636
"FBgn0265256",1,20521066,20541833,372,44,166,2.8285,0.0023381,0.0017478,0.011153
"FBgn0050101",2,17398258,17420204,489,105,166,2.8225,0.0023829,0.0053575,0.0085855
"FBgn0041242",2,10352185,10373584,324,47,166,2.8147,0.0024415,0.00081419,0.028812
"FBgn0052638",6,13112876,13138794,314,78,166,2.8099,0.0024782,0.0070876,0.0079952
"FBgn0033900",2,14149096,14171262,504,73,166,2.8088,0.0024864,0.02982,0.0010105
"FBgn0266430",6,9858068,9878568,175,48,166,2.7988,0.0025645,0.0045646,0.0080009
"FBgn0032304",1,10810705,10831967,579,76,166,2.7973,0.002577,0.0066637,0.005341
"FBgn0023216",6,3658837,3681502,146,17,166,2.7604,0.0028865,0.0050856,0.0054554
"FBgn0263270",2,10350213,10370840,302,45,166,2.7481,0.0029972,0.0013688,0.027772
"FBgn0001077",4,6854324,6876244,303,36,166,2.7464,0.0030127,0.010197,0.0039615
"FBgn0028416",3,18462143,18482384,279,37,166,2.7434,0.0030405,0.0021885,0.013249
"FBgn0034411",2,18967514,18989279,544,91,166,2.7367,0.0031029,0.022278,0.0036091
"FBgn0030451",6,13118952,13144565,341,82,166,2.735,0.0031191,0.0078673,0.010682
"FBgn0038047",4,12419560,12441235,111,28,166,2.722,0.0032443,0.0020308,0.016174
"FBgn0038046",4,12417795,12439282,119,30,166,2.7117,0.0033471,0.0022989,0.01778
"FBgn0035140",3,530851,552147,352,35,166,2.7041,0.0034248,0.0023531,0.015118
"FBgn0030452",6,13119018,13144839,352,85,166,2.704,0.0034254,0.010312,0.0096069
"FBgn0035141",3,532122,552931,335,34,166,2.6925,0.0035461,0.003191,0.011845
"FBgn0016697",2,17402767,17423769,509,109,166,2.6896,0.0035772,0.016952,0.0067312
"FBgn0029681",6,3874168,3900486,323,72,166,2.6764,0.0037212,0.0042401,0.018387
"FBgn0028491",6,3858973,3890379,351,70,166,2.6749,0.0037377,0.0045173,0.021566
"FBgn0032303",1,10809107,10830485,583,77,166,2.6703,0.0037895,0.0090167,0.0068079
"FBgn0038045",4,12416578,12437877,129,32,166,2.6572,0.0039398,0.0034676,0.016083
"FBgn0037835",4,10782904,10803643,378,59,166,2.6535,0.0039837,0.0052451,0.011113
"FBgn0003261",4,5990426,6018579,292,45,166,2.629,0.0042815,0.0018382,0.036822
"FBgn0017577",4,10778524,10801150,410,62,166,2.6253,0.0043283,0.004756,0.013984
"FBgn0261860",4,26773609,26794208,424,35,166,2.6235,0.0043513,0.025615,0.0024711
"FBgn0038049",4,12424098,12445643,115,32,166,2.6147,0.0044649,0.0027326,0.01915
"FBgn0261686",2,10346171,10366800,305,50,166,2.595,0.0047295,0.0032319,0.022886
"FBgn0033901",2,14151430,14173054,491,70,166,2.5948,0.0047316,0.097773,0.00098642
"FBgn0263046",2,7622841,7643880,475,60,166,2.5937,0.0047479,0.012369,0.0081544
"FBgn0003060",4,13601583,13622433,326,43,166,2.5859,0.0048561,0.012431,0.0083877
"FBgn0028664",3,4176018,4196865,424,48,166,2.5811,0.0049242,0.0080331,0.012295
"FBgn0038033",4,12380166,12405980,219,40,166,2.5809,0.0049269,0.072719,0.0014214
"FBgn0038032",4,12380166,12405980,219,40,166,2.5809,0.0049269,0.072719,0.0014214
"FBgn0086134",4,12421321,12442556,112,29,166,2.5775,0.0049763,0.0038489,0.015985
"FBgn0266711",2,19435085,19456286,420,70,166,2.5761,0.004996,0.0026238,0.043052
"FBgn0026756",1,20362409,20384104,269,41,166,2.5712,0.0050679,0.044962,0.0017944
"FBgn0037834",4,10776481,10798226,382,61,166,2.5679,0.005116,0.0077662,0.011797
"FBgn0266050",6,9435815,9456212,383,74,166,2.5636,0.005179,0.02229,0.0071002
"FBgn0053098",4,12377188,12398794,201,48,166,2.5606,0.0052251,0.087433,0.0011095
"FBgn0003090",2,7140703,7233378,1472,105,166,2.559,0.0052484,0.0037335,0.038652
"FBgn0263271",2,10344724,10365831,323,51,166,2.5558,0.0052977,0.0034628,0.02633
"FBgn0033512",2,10344724,10365831,323,51,166,2.5558,0.0052977,0.0034628,0.02633
"FBgn0032916",1,21092743,21114321,185,34,166,2.5542,0.0053217,0.012407,0.0071621
"FBgn0011834",6,20952605,20973505,227,46,166,2.5538,0.0053271,0.005466,0.014463
"FBgn0027660",3,17386031,17431514,554,70,166,2.5534,0.0053339,0.0051209,0.022043
"FBgn0029512",4,12422533,12443822,113,31,166,2.5518,0.0053587,0.0038032,0.019225
"FBgn0014269",2,18959404,18981133,521,75,166,2.5497,0.0053912,0.041739,0.0031428
"FBgn0037547",4,8077252,8099526,373,35,166,2.5391,0.0055565,0.0034128,0.02738
"FBgn0259175",3,14662839,14757868,1342,120,166,2.5366,0.0055971,0.0030352,0.04389
"FBgn0037836",4,10784058,10813955,528,68,166,2.5338,0.0056416,0.0061749,0.016016
"FBgn0036439",3,14686551,14707105,259,55,166,2.5305,0.0056947,0.0072581,0.017243
"FBgn0038034",4,12386007,12408929,172,26,166,2.5286,0.0057251,0.090365,0.0012453
"FBgn0044046",6,3657621,3678845,168,19,166,2.5286,0.0057265,0.0074563,0.01284
"FBgn0030900",6,18199427,18220741,216,28,166,2.5188,0.0058871,0.0027802,0.035261
"FBgn0013435",2,10057217,10078702,259,47,166,2.5186,0.0058912,0.0019067,0.064654
"FBgn0034052",2,15930610,15951483,405,69,166,2.5139,0.0059696,0.0052532,0.023246
"FBgn0038161",4,13605917,13626492,299,46,166,2.5063,0.0061005,0.015223,0.0092863
"FBgn0022768",6,4669988,4696903,275,51,166,2.5055,0.0061135,0.0083989,0.020146
"FBgn0031141",6,20954527,20975419,237,47,166,2.5044,0.0061327,0.0057172,0.018006
"FBgn0036621",3,16360938,16388566,335,58,166,2.4961,0.0062777,0.074104,0.0027741
"FBgn0013325",2,19432342,19453825,390,67,166,2.4857,0.0064655,0.0059302,0.029341
"FBgn0036717",3,17373636,17398956,293,49,166,2.4816,0.0065405,0.011697,0.0096771
"FBgn0037035",3,20917826,20939190,155,36,166,2.4753,0.0066566,0.010873,0.0086276
"FBgn0036211",3,11806695,11832275,606,55,166,2.4751,0.0066595,0.0041826,0.024029
"FBgn0032856",1,20366981,20392356,343,43,166,2.4736,0.0066885,0.041414,0.0030442
"FBgn0250862",6,13105131,13133066,228,64,166,2.47,0.0067556,0.036647,0.0069256
"FBgn0015803",1,20340434,20375254,384,47,166,2.4652,0.0068471,0.016832,0.006438
"FBgn0038118",4,13078651,13173876,1633,92,166,2.4632,0.0068846,0.03005,0.0072988
"FBgn0030244",6,10859284,10880705,318,71,166,2.4612,0.0069241,0.0040301,0.062167
"FBgn0038160",4,13597078,13619246,383,44,166,2.4604,0.0069391,0.016688,0.010768
"FBgn0033479",2,10053385,10076514,293,50,166,2.4576,0.0069928,0.0020793,0.066897
"FBgn0037898",4,11420061,11440762,370,37,166,2.4543,0.0070586,0.0054478,0.029458
"FBgn0028415",3,18459378,18479618,232,34,166,2.4527,0.0070901,0.0063838,0.020286
"FBgn0037895",4,11406218,11428668,460,43,166,2.4521,0.0071014,0.0061739,0.025598
"FBgn0046706",2,4004111,4059342,433,59,166,2.4504,0.0071347,0.033279,0.0056478
"FBgn0026064",4,11336294,11363131,375,41,166,2.4504,0.0071349,0.0063644,0.021822
"FBgn0026063",4,11336294,11363131,375,41,166,2.4504,0.0071349,0.0063644,0.021822
"FBgn0003517",6,1471797,1493413,61,12,166,2.4497,0.0071488,0.0075917,0.017957
"FBgn0034446",2,19434179,19455058,397,68,166,2.4493,0.0071563,0.0048348,0.039261
"FBgn0033902",2,14153066,14174825,462,66,166,2.4489,0.0071653,0.20504,0.0009263
"FBgn0267351",2,18962612,18987262,613,94,166,2.4471,0.0072005,0.071519,0.0037605
"FBgn0286075",4,12389011,12411839,167,25,166,2.4469,0.007205,0.15406,0.0011133
"FBgn0036624",3,16376327,16400816,276,65,166,2.4431,0.0072808,0.077752,0.0022373
"FBgn0033481",2,10059106,10081067,240,50,166,2.4404,0.0073355,0.0022974,0.072974
"FBgn0041702",2,18961309,18982537,514,83,166,2.4403,0.0073372,0.060543,0.0035487
"FBgn0036212",3,11810338,11832275,507,48,166,2.4402,0.0073389,0.0039323,0.032558
"FBgn0011591",3,20915891,20959512,320,39,166,2.4398,0.0073468,0.0093488,0.014869
"FBgn0030889",6,18033991,18058720,411,51,166,2.4374,0.0073962,0.0021437,0.090591
"FBgn0037902",4,11425850,11447523,284,34,166,2.4355,0.0074366,0.0053034,0.026144
"FBgn0025394",6,1473479,1527615,150,19,166,2.4352,0.0074422,0.0035879,0.037053
"FBgn0036622",3,16368974,16391570,254,53,166,2.4349,0.0074475,0.071865,0.0027568
"FBgn0037837",4,10801581,10825047,388,59,166,2.4345,0.0074568,0.0096281,0.021723
"FBgn0265174",2,16945458,16967308,801,83,166,2.4343,0.0074607,0.0061203,0.028699
"FBgn0032868",1,20624515,20645167,286,46,166,2.4332,0.0074826,0.0083134,0.017507
"FBgn0013726",2,8227271,8250297,305,32,166,2.425,0.0076535,0.01869,0.0091532
"FBgn0262791",2,10341533,10362161,383,47,166,2.4236,0.0076847,0.0067533,0.025977
"FBgn0284083",2,10341533,10362161,383,47,166,2.4236,0.0076847,0.0067533,0.025977
"FBgn0262836",2,10341533,10362161,383,47,166,2.4236,0.0076847,0.0067533,0.025977
"FBgn0036789",3,18475137,18512557,598,62,166,2.4216,0.0077255,0.0050736,0.024847
"FBgn0030245",6,10860594,10887893,351,81,166,2.4178,0.0078066,0.0063709,0.050006
"FBgn0267236",4,11408885,11429295,419,42,166,2.4175,0.007814,0.0071803,0.023817
"FBgn0037901",4,11423488,11445703,369,38,166,2.4172,0.0078193,0.0042664,0.031637
"FBgn0037897",4,11412092,11439969,524,42,166,2.4171,0.007823,0.0061091,0.027714
"FBgn0260986",6,1467063,1491420,62,12,166,2.416,0.0078469,0.0085366,0.016953
"FBgn0033480",2,10056650,10077242,255,48,166,2.4154,0.0078588,0.0022205,0.078734
"FBgn0286070",2,17403970,17430007,676,115,166,2.4147,0.007874,0.026923,0.011992
"FBgn0051374",4,11427547,11461791,484,48,166,2.413,0.0079109,0.0044992,0.038385
"FBgn0028372",2,19660618,19683477,558,78,166,2.4094,0.0079902,0.0082458,0.030005
"FBgn0262169",2,10042541,10073712,352,49,166,2.4086,0.0080073,0.0017061,0.098755
"FBgn0046225",4,11427785,11477372,839,63,166,2.4086,0.0080078,0.0052363,0.02987
"FBgn0036623",3,16371772,16395957,275,57,166,2.3989,0.0082233,0.078996,0.0027074
"FBgn0284223",1,21094568,21142909,351,43,166,2.3969,0.0082671,0.022805,0.009149
"FBgn0034172",2,16947465,16968927,807,83,166,2.3938,0.0083367,0.0073907,0.026939
"FBgn0025381",6,1468552,1491420,61,12,166,2.393,0.0083556,0.0083108,0.019683
"FBgn0033483",2,10068366,10094210,370,59,166,2.392,0.0083794,0.0027639,0.080866
"FBgn0038037",4,12393340,12416028,175,30,166,2.3916,0.0083882,0.32204,0.00070764
"FBgn0037899",4,11420740,11441582,370,38,166,2.3863,0.0085094,0.006244,0.033134
"FBgn0037900",4,11421738,11443543,397,41,166,2.3856,0.0085252,0.0088488,0.019903
"FBgn0001112",4,7242063,7275703,247,35,166,2.3829,0.0085886,0.048191,0.0036619
"FBgn0037838",4,10805288,10827490,392,63,166,2.3786,0.0086901,0.011087,0.022638
"FBgn0040273",2,19427483,19451898,484,65,166,2.3765,0.0087383,0.008316,0.036767
"FBgn0052095",3,11814207,11835732,497,47,166,2.3699,0.0088972,0.0056754,0.032288
"FBgn0034173",2,16948943,16970195,801,81,166,2.3698,0.0088986,0.0080618,0.028699
"FBgn0085444",2,16938296,16965266,881,88,166,2.3684,0.0089329,0.0098406,0.029109
"FBgn0036213",3,11812851,11834211,476,46,166,2.3672,0.0089628,0.0058482,0.030699
"FBgn0033482",2,10060981,10085645,282,50,166,2.357,0.0092112,0.0041938,0.061807
"FBgn0040297",1,21094568,21144255,358,44,166,2.3548,0.0092661,0.024763,0.010312
"FBgn0036214",3,11819030,11840844,615,54,166,2.3533,0.0093043,0.0076455,0.02388
"FBgn0265575",6,3852966,3881939,393,70,166,2.3494,0.0094024,0.013708,0.028682
"FBgn0011774",4,11400047,11422440,406,39,166,2.3475,0.0094495,0.0092779,0.027323
"FBgn0035649",3,5907905,5931316,489,74,166,2.3474,0.0094529,0.007765,0.033378
"FBgn0004103",4,12413621,12435917,151,36,166,2.339,0.009668,0.012213,0.020305
"FBgn0262366",3,11824721,11846721,721,65,166,2.3351,0.0097698,0.011875,0.021308
"FBgn0262790",2,10342456,10363114,352,45,166,2.3337,0.0098045,0.010462,0.024331
"FBgn0262807",2,10342456,10363114,352,45,166,2.3337,0.0098045,0.010462,0.024331
"FBgn0262837",2,10342456,10363114,352,45,166,2.3337,0.0098045,0.010462,0.024331
"FBgn0036437",3,14674768,14695842,371,62,166,2.3298,0.0099096,0.0083285,0.029914
"FBgn0034050",2,15924825,15945938,432,68,166,2.3263,0.010001,0.010784,0.023513
"FBgn0036438",3,14681347,14701962,285,54,166,2.3241,0.01006,0.013174,0.020795
"FBgn0260771",6,9233817,9255925,193,59,166,2.3233,0.01008,0.037309,0.0097902
"FBgn0283625",2,10343368,10364389,347,45,166,2.3218,0.010123,0.0087447,0.02987
"FBgn0034022",2,15475953,15507231,360,63,166,2.3204,0.010161,0.011772,0.029252
"FBgn0037894",4,11402522,11426142,487,43,166,2.3194,0.010187,0.0064828,0.044403
"FBgn0040697",3,4172645,4194663,477,49,166,2.3176,0.010236,0.015709,0.018087
"FBgn0083961",1,4955673,4976399,325,58,166,2.312,0.010388,0.02372,0.013727
"FBgn0031723",1,5577115,5598414,456,71,166,2.3111,0.010415,0.0042457,0.086232
"FBgn0038043",4,12412768,12433606,142,35,166,2.3103,0.010437,0.016711,0.01656
"FBgn0015949",2,19653919,19679832,660,86,166,2.3093,0.010463,0.010605,0.04184
"FBgn0011676",1,10794274,10847511,1338,109,166,2.3079,0.010502,0.026781,0.012861
"FBgn0284251",1,21084966,21112429,223,35,166,2.2968,0.010816,0.033727,0.0080782
"FBgn0037896",4,11409376,11431693,413,42,166,2.2959,0.010839,0.0073521,0.03864
"FBgn0264694",4,11398792,11419875,350,35,166,2.293,0.010923,0.0097949,0.027121
"FBgn0284243",2,19437319,19461600,521,74,166,2.2856,0.011138,0.0099393,0.04238
"FBgn0085431",4,12376249,12412902,320,51,166,2.2769,0.011395,0.16415,0.0022467
"FBgn0050093",2,15934028,15954567,410,74,166,2.2753,0.011444,0.015859,0.024351
"FBgn0260000",1,20253419,20274424,250,39,166,2.2731,0.011511,0.015088,0.021364
"FBgn0260965",3,12804254,12834650,822,92,166,2.2705,0.011588,0.027048,0.019593
"FBgn0053513",6,1473625,1517809,132,18,166,2.2673,0.011686,0.0063356,0.046967
"FBgn0036441",3,14695464,14716157,228,55,166,2.2642,0.011782,0.016321,0.023875
"FBgn0267337",4,7262617,7319629,663,70,166,2.2631,0.011816,0.040382,0.010146
"FBgn0036440",3,14687313,14711678,334,70,166,2.2627,0.011828,0.011314,0.03556
"FBgn0262878",1,20462793,20483385,383,56,166,2.2609,0.011883,0.018322,0.02107
"FBgn0085231",2,20742586,20763739,127,22,166,2.2597,0.011919,0.04262,0.0080588
"FBgn0036627",3,16384586,16406880,263,62,166,2.2587,0.011951,0.17948,0.0021461
"FBgn0033654",2,11817170,11849825,659,79,166,2.2585,0.011956,0.01483,0.033937
"FBgn0037548",4,8084124,8115083,521,40,166,2.2571,0.012001,0.010255,0.035967
"FBgn0015247",2,15922170,15944825,442,70,166,2.2569,0.012006,0.014509,0.025218
"FBgn0037040",3,20952655,20976762,153,31,166,2.2494,0.012243,0.0030094,0.09275
"FBgn0010620",2,17384593,17415171,760,109,166,2.249,0.012256,0.0030255,0.17519
"FBgn0261698",2,10312195,10426996,2412,140,166,2.2477,0.012297,0.0043886,0.10911
"FBgn0029989",6,8009523,8031345,226,61,166,2.2466,0.012332,0.023233,0.021263
"FBgn0003710",3,4178499,4203788,481,44,166,2.2433,0.012439,0.023819,0.014702
"FBgn0014342",4,5538115,5561168,101,30,166,2.2431,0.012445,0.0027565,0.12106
"FBgn0259832",2,11831608,11852164,418,62,166,2.2421,0.012478,0.023356,0.022514
"FBgn0265632",2,8239096,8259595,356,39,166,2.2397,0.012557,0.025498,0.011772
"FBgn0053476",2,10399985,10420570,345,54,166,2.2382,0.012605,0.015388,0.026415
"FBgn0053287",3,20956766,20980663,157,32,166,2.2375,0.012626,0.003463,0.095223
"FBgn0046214",4,25113373,25135619,538,70,166,2.2374,0.012629,0.019957,0.02466
"FBgn0029952",6,7575303,7596131,266,43,166,2.2271,0.01297,0.013751,0.034645
"FBgn0053477",2,10399155,10419751,333,55,166,2.2211,0.013172,0.01465,0.028119
"FBgn0000404",3,11816719,11843578,733,64,166,2.2191,0.013241,0.012995,0.028853
"FBgn0029766",6,5419571,5442526,276,72,166,2.2187,0.013252,0.017211,0.029568
"FBgn0266668",4,26039731,26062257,808,82,166,2.2181,0.013273,0.031889,0.016097
"FBgn0030899",6,18194403,18215144,207,29,166,2.2145,0.013398,0.0082828,0.0526
"FBgn0029990",6,8025741,8047517,181,42,166,2.2141,0.013412,0.040286,0.010847
"FBgn0037395",4,6000573,6021932,212,39,166,2.2136,0.01343,0.004858,0.089782
"FBgn0030058",6,8681820,8703620,344,67,166,2.2105,0.013536,0.030869,0.024487
"FBgn0037039",3,20951537,20972555,124,24,166,2.2092,0.013579,0.0042886,0.079683
"FBgn0053475",2,10400770,10421213,349,54,166,2.2089,0.013592,0.014091,0.031401
"FBgn0085230",2,20740914,20762135,138,22,166,2.2066,0.013671,0.036356,0.011462
"FBgn0037036",3,20945755,20966750,119,25,166,2.2034,0.013782,0.0083671,0.045683
"FBgn0001206",6,10580920,10605855,135,32,166,2.2027,0.013807,0.054585,0.010904
"FBgn0011638",1,20338393,20360012,232,37,166,2.2016,0.013847,0.014379,0.023257
"FBgn0029951",6,7564290,7586767,209,41,166,2.1999,0.013907,0.014978,0.03259
"FBgn0035505",3,4168980,4198023,681,54,166,2.1993,0.013928,0.026821,0.020517
"FBgn0028400",4,7256065,7280809,203,32,166,2.1982,0.013967,0.13773,0.0029298
"FBgn0046763",4,21011044,21034163,484,72,166,2.1978,0.013982,0.14423,0.0032293
"FBgn0083960",1,4948411,4975430,445,65,166,2.1974,0.013996,0.037571,0.016443
"FBgn0039280",4,25115632,25137359,533,70,166,2.1938,0.014125,0.012644,0.043252
"FBgn0260229",4,25115632,25137359,533,70,166,2.1938,0.014125,0.012644,0.043252
"FBgn0034051",2,15925893,15950073,480,75,166,2.1929,0.014157,0.0175,0.025464
"FBgn0037037",3,20946934,20970660,138,26,166,2.1927,0.014165,0.0065512,0.060123
"FBgn0266099",3,16380952,16410275,354,76,166,2.1915,0.014206,0.15727,0.0036853
"FBgn0038011",4,12301353,12323119,303,45,166,2.1873,0.014359,0.035197,0.016572
"FBgn0266429",6,3564536,3676724,920,73,166,2.1868,0.01438,0.027432,0.018086
"FBgn0025393",6,1502227,1522803,61,13,166,2.1867,0.014383,0.0062459,0.059962
"FBgn0034053",2,15932864,15957266,480,79,166,2.1863,0.014399,0.020227,0.025975
"FBgn0033154",2,7248867,7271269,379,61,166,2.1808,0.014599,0.0073769,0.05697
"FBgn0003475",1,20301219,20358386,710,50,166,2.1799,0.014634,0.016486,0.030344
"FBgn0086446",1,19122323,19143097,341,42,166,2.1795,0.014648,0.041646,0.0092594
"FBgn0026056",4,21007684,21030753,461,72,166,2.1779,0.014705,0.2117,0.0025589
"FBgn0261053",4,10817079,10859030,824,91,166,2.1778,0.014711,0.015681,0.037009
"FBgn0037338",4,5545084,5567786,115,32,166,2.1771,0.014738,0.0053234,0.086557
"FBgn0086443",1,19119469,19141954,379,43,166,2.1751,0.014812,0.048183,0.0085196
"FBgn0263601",3,15996552,16021812,462,68,166,2.1733,0.01488,0.0077786,0.077391
"FBgn0259998",1,20245988,20267192,296,38,166,2.171,0.014965,0.018149,0.025361
"FBgn0052407",3,5912055,5933567,430,68,166,2.1702,0.014995,0.025937,0.021955
"FBgn0037906",4,11442849,11470552,451,55,166,2.1678,0.015085,0.011912,0.03895
"FBgn0043043",4,12426248,12447857,127,33,166,2.1648,0.0152,0.013845,0.031307
"FBgn0036905",3,19750409,19771817,27,13,166,2.163,0.015272,0.010845,0.030501
"FBgn0038042",4,12411236,12432429,145,35,166,2.1629,0.015273,0.021735,0.024987
"FBgn0085220",2,16941837,16962581,700,78,166,2.1622,0.015302,0.032951,0.021221
"FBgn0036557",3,15995193,16016599,388,56,166,2.1591,0.01542,0.0071278,0.084692
"FBgn0086447",1,19123023,19145233,364,43,166,2.1573,0.015493,0.059812,0.0074713
"FBgn0000077",6,9235915,9257336,168,53,166,2.1523,0.015687,0.07681,0.0089257
"FBgn0032857",1,20375293,20424800,736,59,166,2.1514,0.015721,0.08376,0.0060924
"FBgn0004595",4,11318480,11417627,1462,56,166,2.1443,0.016004,0.0087888,0.075697
"FBgn0050467",2,15528175,15550014,450,57,166,2.1359,0.016343,0.026289,0.026471
"FBgn0036085",3,10547023,10569082,568,72,166,2.1356,0.016356,0.021346,0.02699
"FBgn0036316",3,12814880,12853106,1140,116,166,2.1354,0.016366,0.01832,0.036025
"FBgn0041604",3,14622601,14681609,1005,84,166,2.1343,0.016409,0.014534,0.044409
"FBgn0243512",4,8095332,8132294,509,48,166,2.1329,0.016465,0.03257,0.02259
"FBgn0037038",3,20950398,20971386,113,24,166,2.1291,0.016624,0.005618,0.086616
"FBgn0022029",2,17410407,17435679,694,108,166,2.129,0.016626,0.10881,0.0094087
"FBgn0053286",3,20960812,20984700,161,33,166,2.125,0.016791,0.005496,0.094848
"FBgn0036488",3,15151817,15172470,362,64,166,2.1193,0.017032,0.3709,0.0021768
"FBgn0052704",6,9222726,9246585,336,78,166,2.1179,0.017093,0.060073,0.014884
"FBgn0035294",3,1931068,1952872,562,63,166,2.1171,0.017124,0.03122,0.02018
"FBgn0003011",4,19649748,19673672,287,58,166,2.1128,0.017309,0.14491,0.00594
"FBgn0026620",4,4723654,4759056,219,30,166,2.1119,0.017348,0.020501,0.034421
"FBgn0030257",6,11034756,11059540,300,58,166,2.1106,0.017403,0.018844,0.040396
"FBgn0033097",2,6708196,6729533,392,61,166,2.1099,0.017435,0.036557,0.02024
"FBgn0033277",2,8244223,8266931,354,36,166,2.1092,0.017463,0.042861,0.011506
"FBgn0030109",6,9218796,9242378,351,79,166,2.108,0.017514,0.069281,0.01485
"FBgn0010531",2,10111486,10132574,271,39,166,2.1048,0.017655,0.010105,0.058923
"FBgn0030338",6,11827543,11848026,242,68,166,2.1039,0.017695,0.041981,0.019935
"FBgn0053523",3,5913862,5940120,545,72,166,2.1001,0.01786,0.032431,0.027137
"FBgn0033307",2,8580497,8601948,436,68,166,2.0989,0.017913,0.023512,0.032879
"FBgn0036489",3,15150876,15173628,383,65,166,2.0976,0.017971,0.38905,0.002222
"FBgn0025809",6,15774009,15795583,136,46,166,2.093,0.018174,0.090878,0.010035
"FBgn0033657",2,11835324,11862324,473,67,166,2.091,0.018263,0.041034,0.023082
"FBgn0023215",6,3661801,3711672,373,43,166,2.0877,0.018412,0.027285,0.028435
"FBgn0086768",4,5542823,5564316,106,32,166,2.0866,0.018464,0.0082771,0.082078
"FBgn0027570",4,4709458,4741878,244,45,166,2.0846,0.018551,0.032325,0.039169
"FBgn0259152",4,25117502,25141155,630,77,166,2.0829,0.01863,0.025316,0.031453
"FBgn0283503",3,14033694,14059892,538,64,166,2.0815,0.018693,0.048406,0.01723
"FBgn0041240",2,20675605,20696910,133,30,166,2.0796,0.018781,0.022982,0.035466
"FBgn0086445",1,19117260,19139326,366,41,166,2.079,0.01881,0.07398,0.0081684
"FBgn0030711",6,15934897,15956249,65,22,166,2.0782,0.018844,0.0061297,0.096485
"FBgn0030181",6,10143612,10165009,155,45,166,2.0772,0.018894,0.059065,0.016998
"FBgn0261064",1,8149832,8171800,561,58,166,2.073,0.019088,0.13662,0.0071497
"FBgn0040005",2,4661853,4683639,201,43,166,2.0727,0.019098,0.01097,0.072395
"FBgn0032305",1,10827732,10852597,634,64,166,2.0724,0.019112,0.024221,0.030666
"FBgn0015834",1,4956367,4977775,346,59,166,2.0717,0.019145,0.044927,0.019169
"FBgn0010750",4,4740035,4787490,418,44,166,2.0717,0.019148,0.014199,0.058218
"FBgn0037892",4,11397918,11418756,345,35,166,2.0712,0.019171,0.011074,0.065483
