"GENE","CHR","START","STOP","NSNPS","NPARAM","N","ZSTAT","P","P_SNPWISE_MEAN","P_SNPWISE_TOP1"
"FBgn0267821",1,10378105,10403228,297,56,166,2.6203,0.0043927,0.036282,0.00198
"FBgn0028982",6,6257797,6284984,299,91,166,2.6156,0.0044531,0.016787,0.0070848
"FBgn0259998",1,20245988,20267192,296,38,166,2.6136,0.0044791,0.01953,0.0033068
"FBgn0052407",3,5912055,5933567,430,68,166,2.6126,0.0044931,0.0052278,0.024451
"FBgn0035649",3,5907905,5931316,489,74,166,2.6091,0.0045395,0.0053571,0.026158
"FBgn0020238",4,18232531,18260550,418,66,166,2.5953,0.0047261,0.006035,0.01892
"FBgn0265595",6,11209379,11312783,1138,150,166,2.587,0.0048413,0.0038067,0.03727
"FBgn0034029",2,15532661,15554409,468,58,166,2.5828,0.0048996,0.0014423,0.073399
"FBgn0053523",3,5913862,5940120,545,72,166,2.5811,0.0049239,0.0074396,0.025308
"FBgn0050493",2,7689253,7713501,521,54,166,2.5626,0.0051952,0.042434,0.0017079
"FBgn0052095",3,11814207,11835732,497,48,166,2.5591,0.005247,0.0046552,0.025332
"FBgn0037794",4,10149144,10171331,383,66,166,2.5454,0.0054574,0.12045,0.00098513
"FBgn0260936",3,5759002,5786271,536,70,166,2.5418,0.0055137,0.0024702,0.045668
"FBgn0037838",4,10805288,10827490,392,61,166,2.5317,0.0056755,0.0042862,0.023589
"FBgn0035581",3,4851269,4905749,661,81,166,2.5284,0.0057292,0.027121,0.0045065
"FBgn0262791",2,10341533,10362161,383,47,166,2.5255,0.005776,0.011469,0.0077969
"FBgn0284083",2,10341533,10362161,383,47,166,2.5255,0.005776,0.011469,0.0077969
"FBgn0262836",2,10341533,10362161,383,47,166,2.5255,0.005776,0.011469,0.0077969
"FBgn0262790",2,10342456,10363114,352,45,166,2.5214,0.0058444,0.011555,0.007466
"FBgn0262807",2,10342456,10363114,352,45,166,2.5214,0.0058444,0.011555,0.007466
"FBgn0262837",2,10342456,10363114,352,45,166,2.5214,0.0058444,0.011555,0.007466
"FBgn0050005",2,9597292,9618350,491,76,166,2.517,0.0059179,0.0092068,0.013605
"FBgn0041723",1,10358025,10383900,537,91,166,2.5157,0.0059395,0.039927,0.0035517
"FBgn0033437",2,9598128,9620290,457,72,166,2.5136,0.0059746,0.011547,0.011032
"FBgn0050000",2,9595988,9617184,517,76,166,2.513,0.0059863,0.0098749,0.015494
"FBgn0263271",2,10344724,10365831,323,52,166,2.5119,0.006005,0.0098816,0.0090799
"FBgn0033512",2,10344724,10365831,323,52,166,2.5119,0.006005,0.0098816,0.0090799
"FBgn0038590",4,18241069,18262734,338,67,166,2.5043,0.0061344,0.0056997,0.025647
"FBgn0036212",3,11810338,11832275,507,48,166,2.5042,0.0061356,0.0059162,0.022259
"FBgn0033308",2,8584031,8605001,385,68,166,2.4957,0.0062847,0.010636,0.019207
"FBgn0037897",4,11412092,11439969,524,41,166,2.4956,0.0062868,0.019355,0.0063114
"FBgn0263738",4,18242843,18265487,375,72,166,2.4934,0.0063255,0.0051225,0.028229
"FBgn0263757",4,18242843,18265487,375,72,166,2.4934,0.0063255,0.0051225,0.028229
"FBgn0034030",2,15534316,15559984,537,57,166,2.4923,0.0063453,0.0021923,0.074292
"FBgn0261686",2,10346171,10366800,305,51,166,2.4843,0.0064896,0.014906,0.007301
"FBgn0038839",4,20884452,20907320,351,59,166,2.4831,0.0065114,0.024481,0.0058539
"FBgn0039229",4,24807464,24832350,629,72,166,2.4757,0.0066492,0.0079329,0.016381
"FBgn0283625",2,10343368,10364389,347,45,166,2.4713,0.0067321,0.01155,0.0094464
"FBgn0032857",1,20375293,20424800,736,59,166,2.4695,0.0067644,0.16145,0.0010224
"FBgn0031372",1,1859803,1881032,529,62,166,2.4649,0.0068521,0.0018262,0.096281
"FBgn0030805",6,16928244,16950873,372,78,166,2.4644,0.0068629,0.13092,0.0016568
"FBgn0032305",1,10827732,10852597,634,65,166,2.4618,0.0069115,0.0063046,0.025246
"FBgn0030258",6,11042171,11063556,257,50,166,2.461,0.0069274,0.0080271,0.020734
"FBgn0037857",4,10940284,10961797,323,47,166,2.4604,0.0069382,0.011705,0.013222
"FBgn0030806",6,16931086,16952871,330,77,166,2.4579,0.0069876,0.10259,0.0019543
"FBgn0040232",1,11251026,11279002,279,53,166,2.4561,0.007023,0.021181,0.0078983
"FBgn0037547",4,8077252,8099526,373,35,166,2.4531,0.0070822,0.0066897,0.020722
"FBgn0030745",6,16375278,16398702,87,33,166,2.4515,0.0071122,0.013714,0.015508
"FBgn0033212",2,7666540,7708902,904,76,166,2.4322,0.0075047,0.067039,0.0023358
"FBgn0037837",4,10801581,10825047,388,58,166,2.4177,0.0078103,0.0062301,0.02708
"FBgn0260000",1,20253419,20274424,250,39,166,2.4166,0.007834,0.029475,0.0053306
"FBgn0052320",3,1388586,1411612,716,99,166,2.4122,0.0079278,0.077675,0.0035188
"FBgn0000261",3,18812604,18838188,461,62,166,2.4107,0.0079616,0.014705,0.012098
"FBgn0052062",3,10471412,10604012,3369,195,166,2.4023,0.0081472,0.0044611,0.069705
"FBgn0036213",3,11812851,11834211,476,47,166,2.4014,0.0081667,0.0058331,0.036071
"FBgn0266711",2,19435085,19456286,420,69,166,2.3923,0.0083725,0.0026635,0.10959
"FBgn0050053",2,12678733,12699876,495,82,166,2.3884,0.0084612,0.085533,0.0031844
"FBgn0011638",1,20338393,20360012,232,38,166,2.3866,0.008502,0.018373,0.011199
"FBgn0032318",1,10926662,10947931,616,72,166,2.3821,0.008607,0.011743,0.02716
"FBgn0030744",6,16371954,16394908,113,43,166,2.3792,0.0086749,0.016044,0.018544
"FBgn0031373",1,1872008,1893214,588,75,166,2.3775,0.0087161,0.0024642,0.12698
"FBgn0035709",3,6654224,6675641,366,57,166,2.3753,0.0087679,0.013814,0.017362
"FBgn0260856",3,5356455,5377381,515,83,166,2.3752,0.0087697,0.032037,0.0092118
"FBgn0038674",4,19015099,19036203,439,86,166,2.3688,0.008923,0.019717,0.015933
"FBgn0051496",4,7335069,7356354,277,45,166,2.3576,0.0091979,0.0074368,0.028375
"FBgn0036391",3,13967905,14003400,698,84,166,2.3562,0.0092316,0.018981,0.016035
"FBgn0033467",2,9949119,9969732,506,66,166,2.3554,0.0092502,0.0058238,0.046223
"FBgn0036214",3,11819030,11840844,615,53,166,2.346,0.0094887,0.0081712,0.034315
"FBgn0038672",4,19012458,19034030,417,85,166,2.3441,0.0095356,0.022378,0.016331
"FBgn0035603",3,5357341,5378008,526,81,166,2.3428,0.0095693,0.035317,0.0095407
"FBgn0026418",3,14027019,14053686,493,61,166,2.3385,0.0096796,0.00865,0.053442
"FBgn0025674",1,22114285,22140142,317,36,166,2.3385,0.0096815,0.02613,0.0070395
"FBgn0267795",3,14043215,14081583,1004,93,166,2.3324,0.0098387,0.060007,0.0044252
"FBgn0051501",4,7336730,7357836,271,44,166,2.3281,0.0099541,0.0093405,0.025734
"FBgn0036085",3,10547023,10569082,568,72,166,2.3199,0.010172,0.0030282,0.086228
"FBgn0053465",2,15809114,15831114,447,70,166,2.3161,0.010276,0.022215,0.015546
"FBgn0036717",3,17373636,17398956,293,50,166,2.3103,0.010437,0.020855,0.01085
"FBgn0026751",6,5319876,5342435,494,115,166,2.3083,0.01049,0.009302,0.034299
"FBgn0051663",1,1848609,1891480,1063,94,166,2.3082,0.010494,0.0027382,0.15801
"FBgn0284442",6,5313855,5336738,449,105,166,2.3077,0.010509,0.012451,0.025841
"FBgn0032827",1,19880201,19902550,609,44,166,2.307,0.010527,0.0078331,0.030065
"FBgn0015781",4,19018931,19040159,448,82,166,2.3051,0.01058,0.020561,0.020217
"FBgn0050339",2,9591431,9612901,585,77,166,2.3024,0.010656,0.02703,0.015419
"FBgn0029756",6,5316675,5339347,490,113,166,2.3022,0.010662,0.0084303,0.03951
"FBgn0041232",3,6656638,6677816,367,57,166,2.2976,0.010791,0.017544,0.020032
"FBgn0266962",3,6921023,6941950,380,55,166,2.2955,0.010853,0.0050103,0.089061
"FBgn0033309",2,8586972,8609962,418,76,166,2.291,0.010981,0.017495,0.023114
"FBgn0086359",4,10134668,10169134,683,80,166,2.2877,0.011077,0.18653,0.0022564
"FBgn0040233",1,11259780,11287846,293,41,166,2.287,0.011099,0.031017,0.0091634
"FBgn0046706",2,4004111,4059342,433,60,166,2.2859,0.011131,0.045264,0.0063175
"FBgn0038673",4,19014092,19034853,416,87,166,2.2855,0.011143,0.025332,0.017152
"FBgn0036211",3,11806695,11832275,606,55,166,2.285,0.011157,0.0092611,0.038466
"FBgn0040238",4,10151464,10180487,532,77,166,2.2843,0.011177,0.33362,0.0013854
"FBgn0026313",6,17589608,17616879,318,50,166,2.2843,0.011178,0.024702,0.013639
"FBgn0250848",3,13984231,14006571,329,54,166,2.2805,0.01129,0.0079603,0.048644
"FBgn0030808",6,16933290,16966234,461,88,166,2.2798,0.011309,0.13466,0.0027185
"FBgn0027785",4,19017368,19038015,437,86,166,2.2791,0.011332,0.022643,0.021214
"FBgn0038482",4,17121211,17142198,134,27,166,2.2755,0.011437,0.01501,0.015497
"FBgn0004587",4,13651311,13676891,594,86,166,2.2676,0.011677,0.013164,0.030134
"FBgn0010403",4,5966177,5986817,241,45,166,2.2663,0.011717,0.020833,0.011889
"FBgn0260779",4,19016174,19038857,475,88,166,2.2647,0.011766,0.02308,0.022938
"FBgn0053512",4,11523483,11552949,515,51,166,2.2555,0.012051,0.016723,0.023662
"FBgn0039175",4,24240460,24262679,390,57,166,2.2531,0.012125,0.022643,0.019386
"FBgn0014024",6,5308928,5332696,363,91,166,2.253,0.012131,0.021158,0.021545
"FBgn0052655",6,12224562,12245877,339,73,166,2.2523,0.012152,0.046043,0.0098529
"FBgn0011706",3,18387535,18408435,436,45,166,2.2521,0.012158,0.11635,0.0027317
"FBgn0267163",6,12264635,12285155,234,55,166,2.2518,0.012166,0.059459,0.0073852
"FBgn0003091",2,16914655,16955126,1394,135,166,2.2392,0.01257,0.022794,0.032761
"FBgn0284243",2,19437319,19461600,521,75,166,2.2388,0.012585,0.0038644,0.1402
"FBgn0033307",2,8580497,8601948,436,69,166,2.2285,0.012924,0.022873,0.022558
"FBgn0037395",4,6000573,6021932,212,38,166,2.2256,0.01302,0.016657,0.022055
"FBgn0032974",1,22111338,22136614,302,33,166,2.2249,0.013045,0.052428,0.0061208
"FBgn0027784",4,19019968,19041271,470,83,166,2.2209,0.013178,0.034936,0.017642
"FBgn0010014",6,5322499,5344449,472,114,166,2.2171,0.013307,0.017795,0.026967
"FBgn0035097",3,63945,85332,56,12,166,2.2152,0.013371,0.011087,0.039456
"FBgn0033770",2,12690081,12710851,545,89,166,2.2151,0.013376,0.10581,0.004456
"FBgn0038675",4,19021503,19042409,481,83,166,2.2103,0.013544,0.025806,0.023512
"FBgn0011281",4,5962155,5985245,268,45,166,2.2078,0.013628,0.024273,0.013581
"FBgn0003261",4,5990426,6018579,292,44,166,2.2077,0.013631,0.0078894,0.049291
"FBgn0264395",6,18449138,18470418,378,77,166,2.2074,0.013644,0.061878,0.0083051
"FBgn0033434",2,9584045,9615624,847,94,166,2.204,0.013763,0.022123,0.029117
"FBgn0036395",3,13987191,14008055,289,50,166,2.2033,0.013787,0.0081741,0.057228
"FBgn0267398",2,1333403,1355119,295,42,166,2.2006,0.013884,0.046785,0.0082359
"FBgn0033767",2,12676249,12698786,503,85,166,2.195,0.014081,0.14437,0.0038147
"FBgn0052831",1,11268021,11289982,282,40,166,2.1948,0.01409,0.057845,0.0070321
"FBgn0262366",3,11824721,11846721,721,65,166,2.1942,0.014112,0.012026,0.048973
"FBgn0036396",3,13987900,14009251,287,51,166,2.1917,0.014202,0.019325,0.024911
"FBgn0036538",3,15825693,15847482,301,53,166,2.1915,0.014207,0.062008,0.0076458
"FBgn0027556",6,16903180,16948209,829,116,166,2.1903,0.014252,0.15523,0.0048786
"FBgn0262812",2,8582195,8602969,402,68,166,2.1894,0.014285,0.026438,0.023817
"FBgn0051191",4,20899213,20955530,1035,108,166,2.1886,0.014312,0.029893,0.019064
"FBgn0035718",3,6922926,6944824,393,56,166,2.1851,0.014441,0.0072329,0.096656
"FBgn0010416",6,16378820,16401438,80,31,166,2.1826,0.014532,0.041432,0.016601
"FBgn0053912",3,20744976,20765685,130,26,166,2.1817,0.014566,0.024783,0.018031
"FBgn0050052",2,12680059,12700955,506,85,166,2.1762,0.014771,0.17478,0.0038116
"FBgn0037197",3,22850787,22871490,101,29,166,2.1749,0.014817,0.097174,0.0042678
"FBgn0027660",3,17386031,17431514,554,69,166,2.1727,0.0149,0.031862,0.014955
"FBgn0030245",6,10860594,10887893,351,82,166,2.1709,0.014968,0.012284,0.059021
"FBgn0050369",2,8249286,8269784,317,31,166,2.1672,0.01511,0.044488,0.011307
"FBgn0004360",2,9484166,9513188,713,93,166,2.1613,0.015337,0.020205,0.040663
"FBgn0036536",3,15822464,15843947,291,49,166,2.1589,0.015431,0.077402,0.0072994
"FBgn0266050",6,9435815,9456212,383,75,166,2.1529,0.015663,0.01866,0.047945
"FBgn0035337",3,2366484,2387556,479,72,166,2.1439,0.01602,0.0069823,0.090923
"FBgn0036394",3,13977878,13998626,419,58,166,2.1409,0.01614,0.012138,0.052336
"FBgn0264486",3,12879770,12902162,481,82,166,2.1409,0.016141,0.0031979,0.22437
"FBgn0037860",4,11104671,11125706,298,50,166,2.1409,0.016143,0.0036718,0.17368
"FBgn0002899",3,8127808,8152014,481,77,166,2.1408,0.016147,0.059065,0.012549
"FBgn0034442",2,19380128,19401900,500,77,166,2.1334,0.016445,0.061332,0.012172
"FBgn0033515",2,10367128,10390109,380,48,166,2.1284,0.016653,0.014707,0.038625
"FBgn0036537",3,15823795,15845388,296,51,166,2.1266,0.016725,0.08532,0.0075442
"FBgn0083985",4,22370128,22391253,255,52,166,2.1252,0.016787,0.1043,0.006708
"FBgn0030244",6,10859284,10880705,318,72,166,2.1239,0.016837,0.01539,0.057023
"FBgn0052666",6,11483135,11565045,501,110,166,2.1236,0.016852,0.0081519,0.11386
"FBgn0029885",6,6650552,6671462,163,28,166,2.1228,0.016887,0.0039552,0.13282
"FBgn0034446",2,19434179,19455058,397,69,166,2.1219,0.016921,0.0078282,0.11254
"FBgn0085246",2,8217990,8238727,161,20,166,2.1214,0.016944,0.019287,0.026189
"FBgn0038951",4,22356080,22377373,370,56,166,2.1213,0.016947,0.12707,0.0066935
"FBgn0036389",3,13955203,13983067,550,84,166,2.1144,0.017239,0.058953,0.012486
"FBgn0263232",3,13955203,13983067,550,84,166,2.1144,0.017239,0.058953,0.012486
"FBgn0026174",6,19802729,19823384,11,8,166,2.1141,0.017255,0.015359,0.02983
"FBgn0026175",6,19806072,19826700,11,8,166,2.1141,0.017255,0.015359,0.02983
"FBgn0037546",4,8049284,8097049,682,44,166,2.1107,0.017398,0.022474,0.031074
"FBgn0024366",6,1319518,1351587,147,22,166,2.1098,0.017438,0.0059282,0.09243
"FBgn0004598",6,16363086,16391782,167,53,166,2.1091,0.017468,0.014129,0.053539
"FBgn0000404",3,11816719,11843578,733,65,166,2.1071,0.017555,0.015109,0.052918
"FBgn0030786",6,16773933,16795092,395,60,166,2.1057,0.017616,0.03958,0.017384
"FBgn0033769",2,12681308,12702690,546,88,166,2.1018,0.017785,0.21433,0.0043935
"FBgn0263047",4,22371340,22392147,251,50,166,2.101,0.01782,0.1155,0.0066293
"FBgn0030787",6,16775115,16797008,413,66,166,2.0981,0.017947,0.037024,0.021242
"FBgn0262896",3,20748883,20769192,116,24,166,2.0972,0.017989,0.049586,0.013386
"FBgn0036393",3,13976620,13997184,432,58,166,2.0953,0.018073,0.01938,0.039633
"FBgn0264330",2,16928696,16948995,601,84,166,2.093,0.018177,0.041541,0.025336
"FBgn0010109",2,8218971,8242330,205,22,166,2.0926,0.018193,0.012159,0.046593
"FBgn0033403",2,9299296,9361655,1539,125,166,2.0908,0.018272,0.026328,0.042711
"FBgn0003130",2,15816693,15845055,578,85,166,2.0901,0.018305,0.034907,0.021237
"FBgn0051266",4,17122662,17143719,190,28,166,2.0895,0.018329,0.025913,0.022373
"FBgn0045980",4,24812401,24835648,597,70,166,2.0879,0.018401,0.042519,0.016102
"FBgn0028687",2,7642440,7663954,443,50,166,2.086,0.018488,0.033665,0.018939
"FBgn0013325",2,19432342,19453825,390,66,166,2.0843,0.018565,0.0096636,0.10465
"FBgn0050340",2,9589909,9611252,591,80,166,2.0818,0.018678,0.064656,0.015892
"FBgn0030788",6,16777283,16799644,422,68,166,2.0814,0.018697,0.067268,0.012358
"FBgn0259241",6,10957722,11049901,787,122,166,2.0806,0.018733,0.010852,0.11343
"FBgn0028415",3,18459378,18479618,232,34,166,2.0785,0.018831,0.020461,0.037025
"FBgn0030251",6,10917399,10939712,322,81,166,2.0765,0.018923,0.046691,0.01745
"FBgn0052459",3,22844583,22866059,125,38,166,2.0748,0.019002,0.063623,0.010565
"FBgn0024362",6,1332106,1354770,121,18,166,2.0741,0.019034,0.014036,0.039969
"FBgn0263048",4,22372035,22396548,300,56,166,2.0723,0.019118,0.11497,0.007887
"FBgn0043799",4,24867045,24888827,403,54,166,2.0722,0.019121,0.044168,0.017481
"FBgn0053804",1,21416916,21437938,1,1,166,2.072,0.019131,0.019376,0.019376
"FBgn0053908",1,21418075,21438669,1,1,166,2.072,0.019131,0.019376,0.019376
"FBgn0053907",1,21419655,21440066,1,1,166,2.072,0.019131,0.019376,0.019376
"FBgn0053806",1,21420255,21440783,1,1,166,2.072,0.019131,0.019376,0.019376
"FBgn0053807",1,21421963,21442985,1,1,166,2.072,0.019131,0.019376,0.019376
"FBgn0053906",1,21423122,21443716,1,1,166,2.072,0.019131,0.019376,0.019376
"FBgn0053808",1,21423862,21444337,1,1,166,2.072,0.019131,0.019376,0.019376
"FBgn0053905",1,21424703,21445115,1,1,166,2.072,0.019131,0.019376,0.019376
"FBgn0053809",1,21425299,21445827,1,1,166,2.072,0.019131,0.019376,0.019376
"FBgn0053810",1,21427011,21448033,1,1,166,2.072,0.019131,0.019376,0.019376
"FBgn0004650",6,1312513,1339438,119,29,166,2.0713,0.019164,0.013257,0.053344
"FBgn0039994",2,4734348,4768048,280,55,166,2.0684,0.019299,0.054654,0.015478
"FBgn0039241",4,24867045,24891478,420,55,166,2.0629,0.019559,0.047738,0.016741
"FBgn0037548",4,8084124,8115083,521,40,166,2.0582,0.019786,0.032125,0.026901
"FBgn0003475",1,20301219,20358386,710,50,166,2.0575,0.019819,0.026914,0.032448
"FBgn0033766",2,12669967,12696179,618,85,166,2.0574,0.019824,0.17005,0.0046359
"FBgn0036419",3,14319346,14339885,499,74,166,2.0567,0.019858,0.023261,0.033413
"FBgn0033539",2,10631818,10655427,428,64,166,2.0541,0.019982,0.048501,0.01756
"FBgn0002564",3,56430,78995,61,13,166,2.0504,0.020161,0.018886,0.036164
"FBgn0051267",4,17124197,17145283,212,30,166,2.0486,0.020249,0.049787,0.013866
"FBgn0038742",4,19867737,19889309,269,47,166,2.0477,0.020297,0.05111,0.019447
"FBgn0036390",3,13963123,13983477,460,74,166,2.0471,0.020326,0.11798,0.0081791
"FBgn0085259",2,11851310,11872015,349,53,166,2.0442,0.020469,0.037002,0.023711
"FBgn0004595",4,11318480,11417627,1462,56,166,2.0438,0.020485,0.041275,0.022786
"FBgn0263396",4,13624862,13656304,591,77,166,2.0392,0.020714,0.035244,0.030557
"FBgn0040688",3,87628,108375,78,17,166,2.0384,0.020756,0.017113,0.062204
"FBgn0003274",2,16576129,16596732,506,82,166,2.0365,0.020852,0.036572,0.026714
"FBgn0001216",3,13964061,13987761,540,79,166,2.0355,0.0209,0.079039,0.012458
"FBgn0054007",1,20485030,20505758,370,51,166,2.0349,0.02093,0.0057729,0.16806
"FBgn0034443",2,19386215,19406772,474,74,166,2.0347,0.020938,0.090149,0.011168
"FBgn0259972",3,20886268,20907417,257,41,166,2.0339,0.020982,0.013788,0.073451
