ontology,GO_ID,GO_term_name,term_size
BP,GO:0048830,adventitious root development,6
BP,GO:0050482,arachidonate secretion,6
BP,GO:0051168,nuclear export,6
BP,GO:0052325,cell wall pectin biosynthetic process,6
BP,GO:0055062,phosphate ion homeostasis,6
BP,GO:0060919,auxin import into cell,6
BP,GO:0070417,cellular response to cold,6
BP,GO:0070979,protein K11-linked ubiquitination,6
BP,GO:0071036,nuclear polyadenylation-dependent snoRNA catabolic process,6
BP,GO:0071037,nuclear polyadenylation-dependent snRNA catabolic process,6
BP,GO:0071039,nuclear polyadenylation-dependent CUT catabolic process,6
BP,GO:0071040,nuclear polyadenylation-dependent antisense transcript catabolic process,6
BP,GO:0071044,histone mRNA catabolic process,6
BP,GO:0071786,endoplasmic reticulum tubular network organization,6
BP,GO:0080038,positive regulation of cytokinin-activated signaling pathway,6
BP,GO:0080167,response to karrikin,6
BP,GO:0090297,positive regulation of mitochondrial DNA replication,6
BP,GO:1901162,primary amino compound biosynthetic process,6
BP,GO:1903401,L-lysine transmembrane transport,6
BP,GO:1905037,autophagosome organization,6
BP,GO:1990414,replication-born double-strand break repair via sister chromatid exchange,6
BP,GO:1990542,mitochondrial transmembrane transport,6
BP,GO:0000077,DNA damage checkpoint signaling,5
BP,GO:0000154,rRNA modification,5
BP,GO:0000212,meiotic spindle organization,5
BP,GO:0000304,response to singlet oxygen,5
BP,GO:0000380,"alternative mRNA splicing, via spliceosome",5
BP,GO:0000389,mRNA 3'-splice site recognition,5
BP,GO:0000395,mRNA 5'-splice site recognition,5
BP,GO:0000461,"endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",5
BP,GO:0000472,"endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",5
BP,GO:0000480,"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",5
BP,GO:0000725,recombinational repair,5
BP,GO:0000914,phragmoplast assembly,5
BP,GO:0000963,mitochondrial RNA processing,5
BP,GO:0000972,transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery,5
BP,GO:0001659,temperature homeostasis,5
BP,GO:0002188,translation reinitiation,5
BP,GO:0002939,tRNA N1-guanine methylation,5
BP,GO:0006044,N-acetylglucosamine metabolic process,5
BP,GO:0006090,pyruvate metabolic process,5
BP,GO:0006145,purine nucleobase catabolic process,5
BP,GO:0006168,adenine salvage,5
BP,GO:0006188,IMP biosynthetic process,5
BP,GO:0006272,leading strand elongation,5
BP,GO:0006285,"base-excision repair, AP site formation",5
BP,GO:0006307,DNA alkylation repair,5
BP,GO:0006376,mRNA splice site recognition,5
BP,GO:0006388,"tRNA splicing, via endonucleolytic cleavage and ligation",5
BP,GO:0006390,mitochondrial transcription,5
BP,GO:0006419,alanyl-tRNA aminoacylation,5
BP,GO:0006426,glycyl-tRNA aminoacylation,5
BP,GO:0006534,cysteine metabolic process,5
BP,GO:0006536,glutamate metabolic process,5
BP,GO:0006545,glycine biosynthetic process,5
BP,GO:0006546,glycine catabolic process,5
BP,GO:0006552,L-leucine catabolic process,5
BP,GO:0006556,S-adenosylmethionine biosynthetic process,5
BP,GO:0006567,L-threonine catabolic process,5
BP,GO:0006595,polyamine metabolic process,5
BP,GO:0006605,protein targeting,5
BP,GO:0006636,unsaturated fatty acid biosynthetic process,5
BP,GO:0006739,NADP+ metabolic process,5
BP,GO:0006741,NADP+ biosynthetic process,5
BP,GO:0006850,pyruvate import into mitochondria,5
BP,GO:0006898,receptor-mediated endocytosis,5
BP,GO:0006904,vesicle docking involved in exocytosis,5
BP,GO:0006986,response to unfolded protein,5
BP,GO:0006997,nucleus organization,5
BP,GO:0007076,mitotic chromosome condensation,5
BP,GO:0007154,cell communication,5
BP,GO:0007266,Rho protein signal transduction,5
BP,GO:0009113,purine nucleobase biosynthetic process,5
BP,GO:0009249,protein lipoylation,5
BP,GO:0009263,deoxyribonucleotide biosynthetic process,5
BP,GO:0009735,response to cytokinin,5
BP,GO:0009786,regulation of asymmetric cell division,5
BP,GO:0009828,plant-type cell wall loosening,5
BP,GO:0009864,"induced systemic resistance, jasmonic acid mediated signaling pathway",5
BP,GO:0009891,positive regulation of biosynthetic process,5
BP,GO:0009937,regulation of gibberellic acid mediated signaling pathway,5
BP,GO:0009942,longitudinal axis specification,5
BP,GO:0009956,radial pattern formation,5
BP,GO:0010037,response to carbon dioxide,5
BP,GO:0010047,fruit dehiscence,5
BP,GO:0010074,maintenance of meristem identity,5
BP,GO:0010093,specification of floral organ identity,5
BP,GO:0010124,phenylacetate catabolic process,5
BP,GO:0010189,vitamin E biosynthetic process,5
BP,GO:0010190,cytochrome b6f complex assembly,5
BP,GO:0010253,UDP-rhamnose biosynthetic process,5
BP,GO:0010267,ta-siRNA processing,5
BP,GO:0010311,lateral root formation,5
BP,GO:0010467,gene expression,5
BP,GO:0010928,regulation of auxin mediated signaling pathway,5
BP,GO:0015714,phosphoenolpyruvate transport,5
BP,GO:0015808,L-alanine transport,5
BP,GO:0015812,gamma-aminobutyric acid transport,5
BP,GO:0015976,carbon utilization,5
BP,GO:0016052,carbohydrate catabolic process,5
BP,GO:0016119,carotene metabolic process,5
BP,GO:0016320,endoplasmic reticulum membrane fusion,5
BP,GO:0019264,glycine biosynthetic process from serine,5
BP,GO:0022618,protein-RNA complex assembly,5
BP,GO:0030091,protein repair,5
BP,GO:0030174,regulation of DNA-templated DNA replication initiation,5
BP,GO:0030203,glycosaminoglycan metabolic process,5
BP,GO:0030705,cytoskeleton-dependent intracellular transport,5
BP,GO:0031118,rRNA pseudouridine synthesis,5
BP,GO:0031509,subtelomeric heterochromatin formation,5
BP,GO:0032434,regulation of proteasomal ubiquitin-dependent protein catabolic process,5
BP,GO:0032436,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,5
BP,GO:0032790,ribosome disassembly,5
BP,GO:0033355,ascorbate glutathione cycle,5
BP,GO:0033554,cellular response to stress,5
BP,GO:0034090,maintenance of meiotic sister chromatid cohesion,5
BP,GO:0034227,tRNA thio-modification,5
BP,GO:0034551,mitochondrial respiratory chain complex III assembly,5
BP,GO:0034635,glutathione transport,5
BP,GO:0035195,miRNA-mediated post-transcriptional gene silencing,5
BP,GO:0035336,long-chain fatty-acyl-CoA metabolic process,5
BP,GO:0035493,SNARE complex assembly,5
BP,GO:0035494,SNARE complex disassembly,5
BP,GO:0035973,aggrephagy,5
BP,GO:0036265,RNA (guanine-N7)-methylation,5
BP,GO:0042454,ribonucleoside catabolic process,5
BP,GO:0042594,response to starvation,5
BP,GO:0042761,very long-chain fatty acid biosynthetic process,5
BP,GO:0042796,snRNA transcription by RNA polymerase III,5
BP,GO:0042823,pyridoxal phosphate biosynthetic process,5
BP,GO:0043171,peptide catabolic process,5
BP,GO:0045048,protein insertion into ER membrane,5
BP,GO:0045132,meiotic chromosome segregation,5
BP,GO:0045144,meiotic sister chromatid segregation,5
BP,GO:0045842,positive regulation of mitotic metaphase/anaphase transition,5
BP,GO:0046168,glycerol-3-phosphate catabolic process,5
BP,GO:0046417,chorismate metabolic process,5
BP,GO:0046653,tetrahydrofolate metabolic process,5
BP,GO:0048468,cell development,5
BP,GO:0048586,"regulation of long-day photoperiodism, flowering",5
BP,GO:0048653,anther development,5
BP,GO:0048827,phyllome development,5
BP,GO:0050801,monoatomic ion homeostasis,5
BP,GO:0050826,response to freezing,5
BP,GO:0051091,positive regulation of DNA-binding transcription factor activity,5
BP,GO:0051205,protein insertion into membrane,5
BP,GO:0051209,release of sequestered calcium ion into cytosol,5
BP,GO:0051606,detection of stimulus,5
BP,GO:0051781,positive regulation of cell division,5
BP,GO:0051783,regulation of nuclear division,5
BP,GO:0055129,L-proline biosynthetic process,5
BP,GO:0061024,membrane organization,5
BP,GO:0070072,vacuolar proton-transporting V-type ATPase complex assembly,5
BP,GO:0070370,cellular heat acclimation,5
BP,GO:0070981,L-asparagine biosynthetic process,5
BP,GO:0071218,cellular response to misfolded protein,5
BP,GO:0071244,cellular response to carbon dioxide,5
BP,GO:0071586,CAAX-box protein processing,5
BP,GO:0072598,protein localization to chloroplast,5
BP,GO:0080027,response to herbivore,5
BP,GO:0080050,regulation of seed development,5
BP,GO:0080183,response to photooxidative stress,5
BP,GO:0089722,phosphoenolpyruvate transmembrane transport,5
BP,GO:0098876,vesicle-mediated transport to the plasma membrane,5
BP,GO:1901663,quinone biosynthetic process,5
BP,GO:1901987,regulation of cell cycle phase transition,5
BP,GO:1903338,regulation of cell wall organization or biogenesis,5
BP,GO:1905786,positive regulation of anaphase-promoting complex-dependent catabolic process,5
BP,GO:1990145,maintenance of translational fidelity,5
BP,GO:2000779,regulation of double-strand break repair,5
BP,GO:2000904,regulation of starch metabolic process,5
BP,GO:0000266,mitochondrial fission,4
BP,GO:0000494,box C/D sno(s)RNA 3'-end processing,4
BP,GO:0000719,photoreactive repair,4
BP,GO:0000949,aromatic amino acid family catabolic process to alcohol via Ehrlich pathway,4
BP,GO:0000973,post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery,4
BP,GO:0001558,regulation of cell growth,4
BP,GO:0001680,tRNA 3'-terminal CCA addition,4
BP,GO:0002943,tRNA dihydrouridine synthesis,4
BP,GO:0006047,UDP-N-acetylglucosamine metabolic process,4
BP,GO:0006084,acetyl-CoA metabolic process,4
BP,GO:0006103,2-oxoglutarate metabolic process,4
BP,GO:0006110,regulation of glycolytic process,4
BP,GO:0006227,dUDP biosynthetic process,4
BP,GO:0006233,dTDP biosynthetic process,4
BP,GO:0006235,dTTP biosynthetic process,4
BP,GO:0006275,regulation of DNA replication,4
BP,GO:0006423,cysteinyl-tRNA aminoacylation,4
BP,GO:0006424,glutamyl-tRNA aminoacylation,4
BP,GO:0006428,isoleucyl-tRNA aminoacylation,4
BP,GO:0006431,methionyl-tRNA aminoacylation,4
BP,GO:0006432,phenylalanyl-tRNA aminoacylation,4
BP,GO:0006438,valyl-tRNA aminoacylation,4
BP,GO:0006446,regulation of translational initiation,4
BP,GO:0006513,protein monoubiquitination,4
BP,GO:0006537,glutamate biosynthetic process,4
BP,GO:0006680,glucosylceramide catabolic process,4
BP,GO:0006729,tetrahydrobiopterin biosynthetic process,4
BP,GO:0006747,FAD biosynthetic process,4
BP,GO:0006851,mitochondrial calcium ion transmembrane transport,4
BP,GO:0007023,post-chaperonin tubulin folding pathway,4
BP,GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,4
BP,GO:0007346,regulation of mitotic cell cycle,4
BP,GO:0008615,pyridoxine biosynthetic process,4
BP,GO:0008645,hexose transmembrane transport,4
BP,GO:0009067,aspartate family amino acid biosynthetic process,4
BP,GO:0009081,branched-chain amino acid metabolic process,4
BP,GO:0009116,nucleoside metabolic process,4
BP,GO:0009123,nucleoside monophosphate metabolic process,4
BP,GO:0009150,purine ribonucleotide metabolic process,4
BP,GO:0009234,menaquinone biosynthetic process,4
BP,GO:0009267,cellular response to starvation,4
BP,GO:0009410,response to xenobiotic stimulus,4
BP,GO:0009649,entrainment of circadian clock,4
BP,GO:0009743,response to carbohydrate,4
BP,GO:0009808,lignin metabolic process,4
BP,GO:0009830,cell wall modification involved in abscission,4
BP,GO:0009965,leaf morphogenesis,4
BP,GO:0010032,meiotic chromosome condensation,4
BP,GO:0010038,response to metal ion,4
BP,GO:0010039,response to iron ion,4
BP,GO:0010103,stomatal complex morphogenesis,4
BP,GO:0010109,regulation of photosynthesis,4
BP,GO:0010118,stomatal movement,4
BP,GO:0010196,nonphotochemical quenching,4
BP,GO:0010223,secondary shoot formation,4
BP,GO:0010236,plastoquinone biosynthetic process,4
BP,GO:0010286,heat acclimation,4
BP,GO:0010510,regulation of pyruvate decarboxylation to acetyl-CoA,4
BP,GO:0010628,positive regulation of gene expression,4
BP,GO:0010705,meiotic DNA double-strand break processing involved in reciprocal meiotic recombination,4
BP,GO:0010906,regulation of glucose metabolic process,4
BP,GO:0015713,phosphoglycerate transmembrane transport,4
BP,GO:0015798,myo-inositol transport,4
BP,GO:0015858,nucleoside transport,4
BP,GO:0015918,sterol transport,4
BP,GO:0016123,xanthophyll biosynthetic process,4
BP,GO:0017121,plasma membrane phospholipid scrambling,4
BP,GO:0018342,protein prenylation,4
BP,GO:0018344,protein geranylgeranylation,4
BP,GO:0019750,chloroplast localization,4
BP,GO:0019852,L-ascorbic acid metabolic process,4
BP,GO:0019985,translesion synthesis,4
BP,GO:0030162,regulation of proteolysis,4
BP,GO:0030307,positive regulation of cell growth,4
BP,GO:0030951,establishment or maintenance of microtubule cytoskeleton polarity,4
BP,GO:0031023,microtubule organizing center organization,4
BP,GO:0031125,rRNA 3'-end processing,4
BP,GO:0032366,intracellular sterol transport,4
BP,GO:0032877,positive regulation of DNA endoreduplication,4
BP,GO:0032922,circadian regulation of gene expression,4
BP,GO:0033539,fatty acid beta-oxidation using acyl-CoA dehydrogenase,4
BP,GO:0034067,protein localization to Golgi apparatus,4
BP,GO:0035196,miRNA processing,4
BP,GO:0036293,response to decreased oxygen levels,4
BP,GO:0042126,nitrate metabolic process,4
BP,GO:0042149,cellular response to glucose starvation,4
BP,GO:0042256,cytosolic ribosome assembly,4
BP,GO:0042753,positive regulation of circadian rhythm,4
BP,GO:0042795,snRNA transcription by RNA polymerase II,4
BP,GO:0042819,vitamin B6 biosynthetic process,4
BP,GO:0043048,dolichyl monophosphate biosynthetic process,4
BP,GO:0043069,negative regulation of programmed cell death,4
BP,GO:0043153,entrainment of circadian clock by photoperiod,4
BP,GO:0043419,urea catabolic process,4
BP,GO:0043481,anthocyanin accumulation in tissues in response to UV light,4
BP,GO:0043488,regulation of mRNA stability,4
BP,GO:0044208,'de novo' AMP biosynthetic process,4
BP,GO:0044211,CTP salvage,4
BP,GO:0044375,regulation of peroxisome size,4
BP,GO:0045722,positive regulation of gluconeogenesis,4
BP,GO:0045793,positive regulation of cell size,4
BP,GO:0045905,positive regulation of translational termination,4
BP,GO:0046514,ceramide catabolic process,4
BP,GO:0046705,CDP biosynthetic process,4
BP,GO:0046785,microtubule polymerization,4
BP,GO:0048205,COPI coating of Golgi vesicle,4
BP,GO:0048229,gametophyte development,4
BP,GO:0048440,carpel development,4
BP,GO:0048510,regulation of timing of transition from vegetative to reproductive phase,4
BP,GO:0051639,actin filament network formation,4
BP,GO:0060261,positive regulation of transcription initiation by RNA polymerase II,4
BP,GO:0070525,tRNA threonylcarbamoyladenosine metabolic process,4
BP,GO:0070536,protein K63-linked deubiquitination,4
BP,GO:0070574,cadmium ion transmembrane transport,4
BP,GO:0070814,hydrogen sulfide biosynthetic process,4
BP,GO:0071034,CUT catabolic process,4
BP,GO:0071108,protein K48-linked deubiquitination,4
BP,GO:0071163,DNA replication preinitiation complex assembly,4
BP,GO:0071277,cellular response to calcium ion,4
BP,GO:0071365,cellular response to auxin stimulus,4
BP,GO:0071569,protein ufmylation,4
BP,GO:0072528,pyrimidine-containing compound biosynthetic process,4
BP,GO:0090156,intracellular sphingolipid homeostasis,4
BP,GO:0090615,mitochondrial mRNA processing,4
BP,GO:0106005,RNA 5'-cap (guanine-N7)-methylation,4
BP,GO:1901642,nucleoside transmembrane transport,4
BP,GO:1904667,negative regulation of ubiquitin protein ligase activity,4
BP,GO:2000070,regulation of response to water deprivation,4
BP,GO:2000134,negative regulation of G1/S transition of mitotic cell cycle,4
BP,GO:0000025,maltose catabolic process,3
BP,GO:0000256,allantoin catabolic process,3
BP,GO:0000301,"retrograde transport, vesicle recycling within Golgi",3
BP,GO:0000349,generation of catalytic spliceosome for first transesterification step,3
BP,GO:0000454,snoRNA guided rRNA pseudouridine synthesis,3
BP,GO:0000479,"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",3
BP,GO:0000495,box H/ACA sno(s)RNA 3'-end processing,3
BP,GO:0000706,meiotic DNA double-strand break processing,3
BP,GO:0000731,DNA synthesis involved in DNA repair,3
BP,GO:0000967,rRNA 5'-end processing,3
BP,GO:0001188,RNA polymerase I preinitiation complex assembly,3
BP,GO:0001881,receptor recycling,3
BP,GO:0002184,cytoplasmic translational termination,3
BP,GO:0002218,activation of innate immune response,3
BP,GO:0002221,pattern recognition receptor signaling pathway,3
BP,GO:0002376,immune system process,3
BP,GO:0002926,tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation,3
BP,GO:0002949,tRNA threonylcarbamoyladenosine modification,3
BP,GO:0006020,inositol metabolic process,3
BP,GO:0006024,glycosaminoglycan biosynthetic process,3
BP,GO:0006065,UDP-glucuronate biosynthetic process,3
BP,GO:0006097,glyoxylate cycle,3
BP,GO:0006106,fumarate metabolic process,3
BP,GO:0006114,glycerol biosynthetic process,3
BP,GO:0006169,adenosine salvage,3
BP,GO:0006203,dGTP catabolic process,3
BP,GO:0006222,UMP biosynthetic process,3
BP,GO:0006269,"DNA replication, synthesis of primer",3
BP,GO:0006273,lagging strand elongation,3
BP,GO:0006337,nucleosome disassembly,3
BP,GO:0006382,adenosine to inosine editing,3
BP,GO:0006398,mRNA 3'-end processing by stem-loop binding and cleavage,3
BP,GO:0006399,tRNA metabolic process,3
BP,GO:0006409,tRNA export from nucleus,3
BP,GO:0006421,asparaginyl-tRNA aminoacylation,3
BP,GO:0006422,aspartyl-tRNA aminoacylation,3
BP,GO:0006427,histidyl-tRNA aminoacylation,3
BP,GO:0006429,leucyl-tRNA aminoacylation,3
BP,GO:0006430,lysyl-tRNA aminoacylation,3
BP,GO:0006433,prolyl-tRNA aminoacylation,3
BP,GO:0006435,threonyl-tRNA aminoacylation,3
BP,GO:0006437,tyrosyl-tRNA aminoacylation,3
BP,GO:0006509,membrane protein ectodomain proteolysis,3
BP,GO:0006518,peptide metabolic process,3
BP,GO:0006571,tyrosine biosynthetic process,3
BP,GO:0006620,post-translational protein targeting to endoplasmic reticulum membrane,3
BP,GO:0006637,acyl-CoA metabolic process,3
BP,GO:0006651,diacylglycerol biosynthetic process,3
BP,GO:0006654,phosphatidic acid biosynthetic process,3
BP,GO:0006720,isoprenoid metabolic process,3
BP,GO:0006784,heme A biosynthetic process,3
BP,GO:0007091,metaphase/anaphase transition of mitotic cell cycle,3
BP,GO:0007254,JNK cascade,3
BP,GO:0007265,Ras protein signal transduction,3
BP,GO:0007292,female gamete generation,3
BP,GO:0008064,regulation of actin polymerization or depolymerization,3
BP,GO:0008203,cholesterol metabolic process,3
BP,GO:0008284,positive regulation of cell population proliferation,3
BP,GO:0008333,endosome to lysosome transport,3
BP,GO:0008612,peptidyl-lysine modification to peptidyl-hypusine,3
BP,GO:0009083,branched-chain amino acid catabolic process,3
BP,GO:0009107,lipoate biosynthetic process,3
BP,GO:0009157,deoxyribonucleoside monophosphate biosynthetic process,3
BP,GO:0009240,isopentenyl diphosphate biosynthetic process,3
BP,GO:0009308,amine metabolic process,3
BP,GO:0009446,putrescine biosynthetic process,3
BP,GO:0009448,gamma-aminobutyric acid metabolic process,3
BP,GO:0009624,response to nematode,3
BP,GO:0009625,response to insect,3
BP,GO:0009657,plastid organization,3
BP,GO:0009704,de-etiolation,3
BP,GO:0009787,regulation of abscisic acid-activated signaling pathway,3
BP,GO:0009825,multidimensional cell growth,3
BP,GO:0009875,pollen-pistil interaction,3
BP,GO:0009934,regulation of meristem structural organization,3
BP,GO:0009939,positive regulation of gibberellic acid mediated signaling pathway,3
BP,GO:0009945,radial axis specification,3
BP,GO:0009955,adaxial/abaxial pattern specification,3
BP,GO:0009968,negative regulation of signal transduction,3
BP,GO:0010016,shoot system morphogenesis,3
BP,GO:0010025,wax biosynthetic process,3
BP,GO:0010029,regulation of seed germination,3
BP,GO:0010100,negative regulation of photomorphogenesis,3
BP,GO:0010117,photoprotection,3
BP,GO:0010133,L-proline catabolic process to L-glutamate,3
BP,GO:0010212,response to ionizing radiation,3
BP,GO:0010227,floral organ abscission,3
BP,GO:0010239,chloroplast mRNA processing,3
BP,GO:0010258,NADH dehydrogenase complex (plastoquinone) assembly,3
BP,GO:0010265,SCF complex assembly,3
BP,GO:0010344,seed oilbody biogenesis,3
BP,GO:0010363,regulation of plant-type hypersensitive response,3
BP,GO:0010406,classical arabinogalactan protein metabolic process,3
BP,GO:0010476,gibberellin mediated signaling pathway,3
BP,GO:0010556,regulation of macromolecule biosynthetic process,3
BP,GO:0010582,floral meristem determinacy,3
BP,GO:0010587,miRNA catabolic process,3
BP,GO:0010623,programmed cell death involved in cell development,3
BP,GO:0015720,allantoin transport,3
BP,GO:0015768,maltose transport,3
BP,GO:0015846,polyamine transport,3
BP,GO:0015853,adenine transport,3
BP,GO:0015854,guanine transport,3
BP,GO:0016031,tRNA import into mitochondrion,3
BP,GO:0016050,vesicle organization,3
BP,GO:0016116,carotenoid metabolic process,3
BP,GO:0016120,carotene biosynthetic process,3
BP,GO:0016139,glycoside catabolic process,3
BP,GO:0016180,snRNA processing,3
BP,GO:0016477,cell migration,3
BP,GO:0017196,N-terminal peptidyl-methionine acetylation,3
BP,GO:0019265,"glycine biosynthetic process, by transamination of glyoxylate",3
BP,GO:0019276,UDP-N-acetylgalactosamine metabolic process,3
BP,GO:0019285,glycine betaine biosynthetic process from choline,3
BP,GO:0019521,D-gluconate metabolic process,3
BP,GO:0019627,urea metabolic process,3
BP,GO:0019676,ammonia assimilation cycle,3
BP,GO:0019760,glucosinolate metabolic process,3
BP,GO:0030041,actin filament polymerization,3
BP,GO:0030198,extracellular matrix organization,3
BP,GO:0030574,collagen catabolic process,3
BP,GO:0031348,negative regulation of defense response,3
BP,GO:0031425,chloroplast RNA processing,3
BP,GO:0031564,transcription antitermination,3
BP,GO:0032264,IMP salvage,3
BP,GO:0032324,molybdopterin cofactor biosynthetic process,3
BP,GO:0032446,protein modification by small protein conjugation,3
BP,GO:0032465,regulation of cytokinesis,3
BP,GO:0032979,protein insertion into mitochondrial inner membrane from matrix,3
BP,GO:0032984,protein-containing complex disassembly,3
BP,GO:0033387,"putrescine biosynthetic process from arginine, via ornithine",3
BP,GO:0033512,L-lysine catabolic process to acetyl-CoA via saccharopine,3
BP,GO:0033993,response to lipid,3
BP,GO:0034052,positive regulation of plant-type hypersensitive response,3
BP,GO:0034059,response to anoxia,3
BP,GO:0034553,mitochondrial respiratory chain complex II assembly,3
BP,GO:0034587,piRNA processing,3
BP,GO:0034975,protein folding in endoplasmic reticulum,3
BP,GO:0042127,regulation of cell population proliferation,3
BP,GO:0042218,1-aminocyclopropane-1-carboxylate biosynthetic process,3
BP,GO:0042351,'de novo' GDP-L-fucose biosynthetic process,3
BP,GO:0042538,hyperosmotic salinity response,3
BP,GO:0042631,cellular response to water deprivation,3
BP,GO:0042791,5S class rRNA transcription by RNA polymerase III,3
BP,GO:0043087,regulation of GTPase activity,3
BP,GO:0043137,"DNA replication, removal of RNA primer",3
BP,GO:0044272,sulfur compound biosynthetic process,3
BP,GO:0044773,mitotic DNA damage checkpoint signaling,3
BP,GO:0045003,double-strand break repair via synthesis-dependent strand annealing,3
BP,GO:0045046,protein import into peroxisome membrane,3
BP,GO:0045053,protein retention in Golgi apparatus,3
BP,GO:0045333,cellular respiration,3
BP,GO:0045337,farnesyl diphosphate biosynthetic process,3
BP,GO:0045739,positive regulation of DNA repair,3
BP,GO:0045899,positive regulation of RNA polymerase II transcription preinitiation complex assembly,3
BP,GO:0045901,positive regulation of translational elongation,3
BP,GO:0045926,negative regulation of growth,3
BP,GO:0045930,negative regulation of mitotic cell cycle,3
BP,GO:0045943,positive regulation of transcription by RNA polymerase I,3
BP,GO:0046037,GMP metabolic process,3
BP,GO:0046474,glycerophospholipid biosynthetic process,3
BP,GO:0046475,glycerophospholipid catabolic process,3
BP,GO:0046686,response to cadmium ion,3
BP,GO:0046688,response to copper ion,3
BP,GO:0046963,3'-phosphoadenosine 5'-phosphosulfate transport,3
BP,GO:0048219,inter-Golgi cisterna vesicle-mediated transport,3
BP,GO:0048232,male gamete generation,3
BP,GO:0048236,plant-type sporogenesis,3
BP,GO:0048255,mRNA stabilization,3
BP,GO:0048354,mucilage biosynthetic process involved in seed coat development,3
BP,GO:0048438,floral whorl development,3
BP,GO:0048450,floral organ structural organization,3
BP,GO:0048508,embryonic meristem development,3
BP,GO:0048579,"negative regulation of long-day photoperiodism, flowering",3
BP,GO:0048589,developmental growth,3
BP,GO:0048768,root hair cell tip growth,3
BP,GO:0048831,regulation of shoot system development,3
BP,GO:0051457,maintenance of protein location in nucleus,3
BP,GO:0051754,"meiotic sister chromatid cohesion, centromeric",3
BP,GO:0051865,protein autoubiquitination,3
BP,GO:0051983,regulation of chromosome segregation,3
BP,GO:0052543,callose deposition in cell wall,3
BP,GO:0060321,acceptance of pollen,3
BP,GO:0060962,regulation of ribosomal protein gene transcription by RNA polymerase II,3
BP,GO:0070129,regulation of mitochondrial translation,3
BP,GO:0070150,mitochondrial glycyl-tRNA aminoacylation,3
BP,GO:0070681,glutaminyl-tRNAGln biosynthesis via transamidation,3
BP,GO:0071215,cellular response to abscisic acid stimulus,3
BP,GO:0071230,cellular response to amino acid stimulus,3
BP,GO:0071249,cellular response to nitrate,3
BP,GO:0071267,L-methionine salvage,3
BP,GO:0071470,cellular response to osmotic stress,3
BP,GO:0071705,nitrogen compound transport,3
BP,GO:0072659,protein localization to plasma membrane,3
BP,GO:0080022,primary root development,3
BP,GO:0080036,regulation of cytokinin-activated signaling pathway,3
BP,GO:0080037,negative regulation of cytokinin-activated signaling pathway,3
BP,GO:0080051,cutin transport,3
BP,GO:0080092,regulation of pollen tube growth,3
BP,GO:0080113,regulation of seed growth,3
BP,GO:0080151,positive regulation of salicylic acid mediated signaling pathway,3
BP,GO:0090150,establishment of protein localization to membrane,3
BP,GO:0090333,regulation of stomatal closure,3
BP,GO:0090351,seedling development,3
BP,GO:0090610,bundle sheath cell fate specification,3
BP,GO:0097035,regulation of membrane lipid distribution,3
BP,GO:0097054,L-glutamate biosynthetic process,3
BP,GO:0097354,prenylation,3
BP,GO:0098813,nuclear chromosome segregation,3
BP,GO:1901679,nucleotide transmembrane transport,3
BP,GO:1902903,regulation of supramolecular fiber organization,3
BP,GO:1990116,ribosome-associated ubiquitin-dependent protein catabolic process,3
BP,GO:0000012,single strand break repair,2
BP,GO:0000280,nuclear division,2
BP,GO:0000281,mitotic cytokinesis,2
BP,GO:0000379,tRNA-type intron splice site recognition and cleavage,2
BP,GO:0000390,spliceosomal complex disassembly,2
BP,GO:0000481,maturation of 5S rRNA,2
BP,GO:0000493,box H/ACA snoRNP assembly,2
BP,GO:0000722,telomere maintenance via recombination,2
BP,GO:0000819,sister chromatid segregation,2
BP,GO:0000958,mitochondrial mRNA catabolic process,2
BP,GO:0001763,morphogenesis of a branching structure,2
BP,GO:0002128,tRNA nucleoside ribose methylation,2
BP,GO:0002191,cap-dependent translational initiation,2
BP,GO:0005980,glycogen catabolic process,2
BP,GO:0005997,xylulose metabolic process,2
BP,GO:0006003,"fructose 2,6-bisphosphate metabolic process",2
BP,GO:0006089,lactate metabolic process,2
BP,GO:0006104,succinyl-CoA metabolic process,2
BP,GO:0006210,thymine catabolic process,2
BP,GO:0006223,uracil salvage,2
BP,GO:0006231,dTMP biosynthetic process,2
BP,GO:0006253,dCTP catabolic process,2
BP,GO:0006278,RNA-templated DNA biosynthetic process,2
BP,GO:0006282,regulation of DNA repair,2
BP,GO:0006287,"base-excision repair, gap-filling",2
BP,GO:0006315,homing of group II introns,2
BP,GO:0006420,arginyl-tRNA aminoacylation,2
BP,GO:0006425,glutaminyl-tRNA aminoacylation,2
BP,GO:0006436,tryptophanyl-tRNA aminoacylation,2
BP,GO:0006493,protein O-linked glycosylation,2
BP,GO:0006499,N-terminal protein myristoylation,2
