Pathway_name,Pathyway_ID,Gene_ID
,,AT3G55630
adenosine deoxyribonucleotides de novo biosynthesis I,PWY-7227,RNR2A
,,RNR1
,,RNR2B
,,AT4G09320
benzoyl-β-D-glucopyranose biosynthesis,PWY-7468,UGT74F1
,,UGT74F2
S-methyl-5'-thioadenosine degradation I,PWY-6754,AT4G38800
,,AT4G34840
,,AT4G28940
,,AT4G24350
,,AT4G24340
,,AT1G49820
coumarin biosynthesis (via 2-coumarate),PWY-5176,AT1G61820
superpathway of L-isoleucine biosynthesis I,PWY-3001,ASP1
,,ASP5
,,ASP2
,,ACS10
,,ACS12
,,AT5G11520
,,AT1G62800
,,AT2G22250
,,TAA1
,,AT3G02020
,,AT5G13280
,,AT5G14060
,,AK-HSDH1
,,AK-HSDH2
,,AT5G21060
,,AT1G14810
,,HSK
,,AT4G35295
,,MTO2
,,AT1G72810
,,AT3G23940
,,Atbact-5
,,Atbcat-3
,,Atbcat-2
,,AT3G48560
,,AT3G10050
protein N-glycosylation initial phase (eukaryotic),MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS,AT2G41490
,,AT3G57220
,,AT4G16710
,,AT1G16570
,,AT1G78800
,,AT2G40190
,,AT2G47760
,,AT1G02145
,,AT5G14850
,,AT1G16900
,,AT5G38460
,,AT2G44660
,,AT5G02410
,,DPMS1
,,DPMS2
,,DPMS3
,,AT2G39630
pyrimidine salvage pathway,PWYQT-4445,AT1G72880
,,AT1G75210
,,AT2G23890
,,AT2G38680
,,AT4G14930
,,AT4G29260
,,AT5G48960
,,URH1
,,AT3G53900
,,AT4G26510
,,AT3G27440
,,AT5G40870
β-alanine biosynthesis II,PWY-3941,AT5G27600
,,AT3G05970
,,AT5G23050
,,AT5G16370
,,AT5G16340
,,AT1G77240
,,AT1G75960
,,AT1G21540
,,AT1G21530
,,AT3G08860
coenzyme A biosynthesis II (eukaryotic),PWY-7851,AtCoaD
,,AtCoaE
,,AtCoaC
,,AT1G48605
,,ATCoaB
pyruvate fermentation to (S)-lactate,PWY-5481,AT4G17260
,,AT1G31095
vitamin E biosynthesis (tocopherols),PWY-1422,PDS1
,,HPT1
,,PDS2
,,VTE3
,,VTE1
,,G-TMT
,,AT3G23300
gibberellin inactivation II (methylation),PWY-6477,GAMT1
,,AT4G26460
,,GAMT2
baruol biosynthesis,PWY-6008,BARS1
phosphatidylglycerol biosynthesis I,PWY4FS-7,CDS4
,,CDS5
,,CDS3
,,CDS2
,,CDS1
,,AT3G47630
,,ATCG01010
,,GPDHp
,,ATS2
,,pgps1
,,pgps2
,,AT5G56610
,,AT3G58830
,,AT2G35680
β-caryophyllene biosynthesis,PWY-6275,AT5G23960
D-sorbitol degradation I,PWY-4101,AT5G51970
,,HXK1
,,AT1G47840
,,AT1G50460
,,AT3G20040
,,AT4G37840
,,AT5G51830
,,AT4G28706
,,AT4G10260
,,AT3G59480
,,AT3G54090
,,AT2G31390
,,AT1G69200
,,AT1G66430
,,AT1G50390
,,AT1G47845
,,AT1G06030
,,AT1G06020
cis-vaccenate biosynthesis,PWY-5973,AT1G66550
,,AT1G68280
,,AT1G68260
,,AT1G35250
,,AT1G35290
,,AT1G08510
,,AT3G25110
,,AT2G04540
,,KASII
,,AT5G46290
,,AT1G07440
,,AT1G10310
,,AT1G62610
,,AT1G63380
,,AT2G17845
,,AT3G46170
,,AT3G55290
,,AT3G55310
,,AT1G24360
,,AT5G10160
,,AT5G60335
,,AT2G22230
,,AT2G05990
,,AT5G64250
heme a biosynthesis,PWY-7856,AT2G44520
,,AT5G56090
cyanide degradation,P401-PWY,AT3G61440
,,AT5G28020
,,AT3G04940
adenine and adenosine salvage VI,PWY-6619,ADK2
,,ADK1
cyanate degradation,CYANCAT-PWY,AT3G23490
,,AT5G56330
,,AT5G04180
,,AT4G33580
,,AT4G21000
,,AT4G20990
,,AT3G52720
,,AT2G28210
,,AT1G70410
,,AT1G58180
,,AT1G23730
,,AT1G19580
,,AT1G08080
,,AT1G08065
,,AT1G47260
,,CA1
,,CA2
glycolysis II (from fructose 6-phosphate),PWY-5484,PKp2
,,PKp3
,,PKp1
,,AT5G63680
,,AT5G56350
,,AT5G08570
,,AT4G26390
,,AT3G55810
,,AT3G55650
,,AT3G52990
,,AT3G49160
,,AT3G25960
,,AT3G04050
,,AT2G36580
,,AT1G74030
,,AT2G36530
,,AT2G29560
,,AT4G09520
,,AT3G30841
,,AT3G08590
,,AT1G09780
,,PGK
,,AT3G12780
,,AT1G56190
,,GapCp-2
,,GapCp-1
,,GapC-1
,,GapB
,,GapA-1
,,GapA-2
,,AT1G13440
,,AT2G21170
,,AT3G55440
,,AT4G26520
,,AT4G26530
,,AT5G03690
,,AT4G38970
,,AT3G52930
,,AT2G36460
,,AT2G21330
,,AT2G01140
,,AT4G26270
,,AT4G32840
,,AT4G29220
,,AT5G61580
,,AT5G56630
,,AT5G47810
,,AT4G27600
,,AT2G22480
,,AT1G19600
,,AT1G06730
,,FINS1
,,HCEF1
,,AT5G64380
,,AT3G05170
,,AT1G08940
,,AT5G62840
,,AT3G26780
,,AT1G78050
,,AT1G22170
GDP-mannose biosynthesis,PWY-5659,AT1G67070
,,AT3G02570
,,AT2G45790
,,AT5G17530
,,AT1G70820
,,VTC1
,,AT4G30570
,,AT3G55590
,,AT2G04650
,,AT1G74910
,,PGI1
,,AT5G42740
photosynthesis light reactions I (plastocyanin),PWY-101,PsbS
,,PsbQ-1
,,PsbP
,,PsbI
,,PsbH
,,PsbE
,,PsbC
,,PsbB
,,PsbO-1
,,PsbR
,,PsbX
,,PsbW
,,PsbD
,,PsbA
,,PsbTc
,,PsbY
,,PPD1
,,PPD2
,,PPD3
,,PPD4
,,PPD5
,,PPD6
,,psbX
,,AT4G37230
,,AT4G05180
,,AT3G50820
,,AT3G01440
,,AT2G01918
,,AT1G14150
,,AT4G05390
,,AT1G30510
,,AT1G20020
,,AT5G66190
,,ATCG00720
,,ATCG00600
,,ATCG00540
,,ATCG00210
,,AT4G03280
,,psaC
,,psaA
,,psaB
,,PsaN
,,PsaL
,,PsaD-1
,,PsaH1
,,psaE2
,,PsaG
,,PsaF
,,PsaK
,,PsaO
,,AT4G14890
very long chain fatty acid biosynthesis I,PWY-5080,FAE1
,,AT4G34510
,,AT5G49070
,,AT5G04530
,,AT5G02890
,,AT4G36830
,,AT4G34250
,,AT4G24510
,,AT4G13840
,,AT3G52160
,,AT3G23840
,,AT3G10280
,,AT3G06470
,,AT3G06460
,,AT2G46720
,,AT2G28630
,,AT2G26640
,,AT2G26250
,,AT2G16280
,,AT2G15090
,,AT1G75000
,,AT1G71160
,,AT1G19440
,,AT1G07720
,,KCR1
,,AT5G50130
,,AT5G02540
,,AT4G24050
,,AT4G23430
,,AT4G23420
,,AT4G11410
,,AT3G50560
,,AT2G37540
,,AT1G64590
,,AT1G24470
,,AT1G76150
,,PAS2
,,AT5G59770
,,CER10
,,KCS1
,,AT1G04220
,,AT1G25450
,,CER6
,,AT5G43760
glucose and glucose-1-phosphate degradation,GLUCOSE1PMETAB-PWY,PGM
,,AT5G17530
,,AT1G70820
,,AT1G70730
,,AT1G23190
,,HXK1
,,HXK2
,,AT1G47840
,,AT1G50460
,,AT3G20040
,,AT4G37840
,,AT5G62573
,,AT1G47845
superpathway of thiamine diphosphate biosynthesis III (eukaryotes),THISYNARA-PWY,ThiC
,,TH1
,,AT4G29530
,,AT1G67440
,,TPK2
,,TPK1
,,AT5G19470
,,AT5G19460
,,AT4G30720
,,THI1
polyphosphate metabolism,PWY-8138,AT1G09195
D-galactose detoxification,PWY-3821,AT5G52560
,,AT5G18200
,,UGE4
,,UGE5
,,UGE2
,,UGE3
,,UGE1
,,AT3G28530
,,AGK1
"D-myo-inositol (1,4,5)-trisphosphate degradation",PWY-6363,AT5G63990
,,AT5G09290
,,AT4G05090
,,AT5G63980
,,AT5G64000
,,IP5P1
,,5PTase12
,,AT4G18010
,,5PTase13
,,5PTase14
coenzyme A biosynthesis I (bacteria),COA-PWY,AtCoaD
,,AtCoaE
,,AtCoaC
,,AT1G48605
,,ATCoaB
,,AT5G02080
TCA cycle II (plants and fungi),PWY-5690,FUM2
,,AT2G47510
,,AT5G23250
,,AT5G08300
,,AT2G20420
,,AT2G44350
,,AT3G58740
,,AT3G60100
,,AT2G11270
,,AT5G54950
,,ACO3
,,ACO2
,,ACO1
,,IDH-VI
,,IDH-I
,,IDH-III
,,IDH-II
,,IDH-V
,,AT1G32480
,,NAD-ME1
,,NAD-ME2
,,PMDH2
,,pNAD-MDH
,,mMDH2
,,PMDH1
,,mMDH1
,,c-NAD-MDH3
,,c-NAD-MDH1
,,AT5G43330
,,AT3G53910
,,SDH8
,,SDH7A
,,SDH6
,,SDH5
,,SDH4
,,SDH3-2
,,SDH2-2
,,SDH1-1
,,AT5G62575
,,SDH1-2
,,SDH2-1
,,SDH3-1
,,SDH2-3
glucosinolate biosynthesis from dihomomethionine,PWYQT-4471,AT1G16410
,,AT1G16400
,,AT1G79370
,,AT1G24100
,,AtSOT16
,,AtSOT18
,,AtSOT17
,,GS-OX2
,,GS-OX5
,,AT1G12130
,,AT1G12160
,,AT1G12200
,,AT1G62580
,,AT1G62600
,,AT1G62620
,,AT1G63340
,,AT1G63370
,,AT1G63390
,,AT5G07800
,,GS-OX1
,,GS-OX3
,,GS-OX4
,,AOP2
,,AT2G25450
,,AT3G61400
,,AT2G30830
,,AT5G59540
,,AT5G59530
,,AT5G43440
,,AT2G30840
,,AT1G06650
,,AT1G06640
,,AT1G06620
,,AT1G04380
,,AT1G04350
,,AT1G03410
,,AT1G03400
,,AT4G13770
,,AT4G39650
,,AT4G39640
,,AT1G69820
,,AT4G29210
,,AT4G30550
,,AT4G30540
,,AT2G23970
,,AT2G23960
,,AT4G30530
,,AT2G20610
,,AT4G28410
,,AT2G24850
,,AT4G23600
cytochrome c biogenesis (system II type),PWY-8146,AT1G21350
glycine biosynthesis,GLYSYN2-PWY,AT4G37930
,,AT5G26780
,,AT4G32520
,,AT4G13930
,,AT4G13890
,,AT1G36370
,,AT1G22020
,,AOAT2
,,AOAT1
,,THA1
,,THA2
,,AGT1
cardiolipin biosynthesis II,PWY-5269,pgps1
,,pgps2
,,AT5G56610
,,AT3G58830
,,AT2G35680
,,AT4G04870
phosphatidylcholine acyl editing,PWY-6803,AT3G05510
,,AT2G45670
,,AT1G80950
,,AT1G78690
,,AT1G63050
,,AT1G04010
,,LPLAT1
,,AtPLA IVA
,,AT4G29460
,,AT2G06925
,,AT5G51180
,,AT4G29470
,,AT4G25770
,,AT2G19690
,,AT1G33270
,,AT1G29120
,,AT1G10040
,,AT3G05970
,,AT1G77590
,,AT1G49430
,,AT1G64400
,,AT2G04350
,,AT2G47240
,,AT4G11030
,,AT4G23850
,,AT5G27600
,,ACOS5
,,AT2G47245
,,AT1G20560
,,AT3G03310
,,dad1
,,AT1G05800
,,AT1G61850
,,AT4G16820
,,AT2G31690
,,AT1G06800
,,AT2G30550
,,AT1G51440
,,AT5G49950
,,AT5G42930
,,AT5G18640
,,AT5G18630
,,AT4G19860
,,AT3G62590
,,AT3G61680
,,AT3G50790
,,AT3G27325
,,AT3G03370
,,AT2G42690
,,AT2G03140
,,AT1G52700
,,AT1G34340
,,AT1G31480
,,AT1G30370
,,AT1G27480
,,AT1G23330
,,AT1G10740
,,AT1G06250
,,AT1G02660
glutathione degradation,PWYQT-4432,AT4G39640
,,AT4G39650
,,AT4G29210
myo-inositol biosynthesis,PWY-2301,AT4G39800
,,AT2G22240
,,AT5G10170
,,AT1G31190
,,VTC4
,,HISN7
methylhalides biosynthesis (plants),PWY-6730,AT2G43910
,,AT2G43940
,,AT2G43920
homogalacturonan biosynthesis,PWY-1061,GAUT1
,,GAUT3
,,GAUT4
,,GAUT5
,,GAUT6
,,GAUT7
,,GAUT8
,,GAUT9
,,GAUT10
,,GAUT11
,,GAUT12
,,GAUT14
,,GAUT15
,,AT4G02130
,,AT3G62660
,,AT3G50760
,,AT3G28340
,,AT3G06260
,,AT3G01040
,,AT2G46480
,,AT1G74088
,,AT1G70090
,,AT1G24170
,,AT1G19300
,,AT1G13250
,,AT1G02720
esterified suberin biosynthesis,PWY-7120,AT5G41040
,,AT5G63560
,,AT4G31910
,,AT1G65450
pseudouridine degradation,PWY-6019,AT3G57150
,,AT1G50510
,,AT1G49350
"fatty acid β-oxidation V (unsaturated, odd number, di-isomerase-dependent)",PWY-6837,AT1G06290
,,AT3G51840
,,ACX1
,,AT5G65110
,,AT5G43280
,,AT1G65520
,,IBR10
,,AT4G14440
,,AT3G06860
,,AIM1
,,AT3G12800
,,AT2G07640
,,AT1G36580
glucosinolate biosynthesis from tryptophan,PWY-601,AT1G24100
,,AtSOT16
,,AtSOT18
,,AtSOT17
,,IGMT5
,,AT5G57220
,,AT4G37400
,,AT4G37430
,,AT5G67310
,,AT5G36220
,,AT4G37320
,,AT2G23220
,,AT2G23190
,,AT1G66540
,,IGMT1
,,IGMT2
,,AT5G53810
,,AT5G37170
,,AT1G77530
,,AT1G21130
,,AT1G21110
,,AT4G31500
,,AT4G39650
,,AT4G39640
,,AT1G69820
,,AT4G29210
,,AT4G30550
,,AT4G30540
,,AT2G23970
,,AT2G23960
,,AT4G30530
,,AT1G58265
,,CYP79B3
,,CYP79B2
,,AT4G37410
,,AT4G28410
,,AT2G24850
,,AT2G20610
,,AT4G23600
superpathway of acetyl-CoA biosynthesis,PWY-5173,AT3G25860
,,AT5G17780
,,AT3G52200
,,AT3G13930
,,AT1G54220
,,AT1G34430
,,AT1G48030
,,AT3G16950
,,AT4G16155
,,LPD2
,,AT2G34590
,,AT5G50850
,,AT1G59900
,,AT1G30120
,,AT1G24180
,,AT1G01090
,,ACLB-2
,,ACLA-1
,,ACLB-1
,,ACLA-3
,,AT1G60810
zeaxanthin biosynthesis,PWY-5944,β-OHase 2
,,β-OHase 1
,,AT4G14890
cytokinins degradation,PWY-2841,AT1G75450
,,CKX1
,,CKX6
L-glutamate biosynthesis V,PWY-4341,AT5G04140
,,AT2G41220
,,AT4G14890
1D-myo-inositol hexakisphosphate biosynthesis III (Spirodela polyrrhiza),PWY-4661,IPK1
,,AT1G59312
,,AT1G59171
,,AT1G58936
,,AT1G58643
,,AT1G22100
,,AT2G43980
,,AT4G08170
,,AT4G33770
,,AT5G16760
,,AT4G39800
,,AT2G22240
,,AT5G10170
,,AT5G58730
CDP-diacylglycerol biosynthesis II,PWY0-1319,CDS4
,,CDS5
,,CDS3
,,CDS2
,,CDS1
,,AT3G47630
,,ATCG01010
,,GPDHp
,,ATS2
palmitoleate biosynthesis II (plants and bacteria),PWY-5366,AT1G35290
,,AT1G68260
,,AT1G68280
,,AT1G08510
,,AT1G66550
,,AT1G35250
,,AT4G14890
cyclic electron flow,PWY-8270,ATCG00720
,,ATCG00600
,,ATCG00540
,,ATCG00210
,,AT4G03280
,,psaC
,,psaA
,,psaB
,,PsaN
,,PsaL
,,PsaD-1
,,PsaH1
,,psaE2
,,PsaG
,,PsaF
,,PsaK
,,PsaO
,,ATCG01250
,,ATCG01100
,,ATCG00890
,,AT4G23890
,,AT1G70760
,,ATCG01080
,,AT4G14890
guanosine deoxyribonucleotides de novo biosynthesis I,PWY-7226,RNR2A
,,RNR1
,,RNR2B
,,AT3G27060
,,AT4G09320
sphingolipid biosynthesis (plants),PWY-5129,TSC10B
,,TSC10A
,,AT3G48780
,,AT5G23670
,,AT4G36480
,,AT3G48790
,,AT1G06515
,,AT2G37940
,,AT2G34770
,,AT4G20870
,,AT3G61580
,,AT2G46210
,,AT5G51290
,,AT4G21534
,,AT4G21540
,,AT4G04930
,,AT1G14290
,,AT1G69640
S-methyl-L-methionine cycle,PWY-5441,AT5G49810
,,AT3G25900
,,AT3G63250
,,AT3G22740
superpathway of L-citrulline metabolism,PWY-5004,AT5G04140
,,AT2G41220
,,AT2G38230
,,AT5G01410
,,AT3G16050
,,AT2G38210
,,AT4G20320
,,AT4G02120
,,AT3G12670
,,AT2G34890
,,AT1G30820
,,AT1G63660
,,AT4G26900
,,AT5G07360
,,AT4G05400
,,AT3G25660
,,AT4G34880
,,AT4G32915
,,AT1G48520
,,AT5G53460
,,AT1G25220
,,AT2G29690
,,AT5G05730
,,AT5G57890
,,AT3G55870
,,AT1G70570
,,AT1G25155
,,AT1G25083
,,AT1G24909
,,AT1G24807
,,ASN1
,,ASN2
,,ASN3
,,AT2G03667
,,ADCS
,,PDX2
,,δ-OAT
,,P5CS1
,,AT3G55610
,,AT5G38710
,,AT3G30775
,,OTC
,,ARGAH1
,,ARGAH2
,,AT3G27740
,,AT1G29900
,,AT3G47450
,,AT4G24830
,,AT5G10920
purine deoxyribonucleosides salvage,PWY-7224,AT1G72040
,,AGK1
,,AT5G60340
,,AT4G09320
hydroxycinnamate sugar acid ester biosynthesis,PWY-7461,4CL5
L-aspartate degradation I,ASPARTATE-DEG1-PWY,ASP1
,,ASP5
,,ASP2
,,ACS10
,,ACS12
,,AT5G11520
,,AT1G62800
,,AT2G22250
,,TAA1
adenine and adenosine salvage II,PWY-6605,AT1G80050
,,AT4G22570
,,AT1G27450
,,AT5G11160
,,AT4G12440
,,NSH3
,,URH1
,,AT5G18870
,,AT5G18890
"(E,E)-4,8,12-trimethyltrideca-1,3,7,11-tetraene biosynthesis",PWY-6668,AT1G61120
,,CYP82G1
ajugose biosynthesis I (galactinol-dependent),PWY-5342,SIP1
"gibberellin biosynthesis I (non C-3, non C-13 hydroxylation)",PWY-5070,GA20ox5
,,AT4G23340
,,GA20ox4
,,GA20ox2
,,GA20ox3
,,GA20ox1
,,GA3ox1
,,GA3ox2
pyrimidine deoxyribonucleotides dephosphorylation,PWY-7206,AT3G25400
,,DUT1
indole-3-acetate inactivation VIII,PWY-6219,AT4G37390
,,AT1G59500
,,AT1G28130
,,AT5G13380
,,AT5G13370
,,AT5G13360
,,AT5G13350
,,AT2G47750
,,AT2G14960
,,AT5G54510
,,AT2G23170
,,AT4G27260
gluconeogenesis I,GLUCONEO-PWY,FINS1
,,HCEF1
,,AT5G64380
,,AT3G05170
,,AT1G08940
,,AT4G26520
,,AT4G26530
,,AT5G03690
,,AT4G38970
,,AT3G52930
,,AT2G36460
,,AT2G21330
,,AT2G01140
,,GapCp-2
,,GapCp-1
,,GapC-1
,,GapB
,,GapA-1
,,GapA-2
,,AT1G13440
,,PGK
,,AT3G12780
,,AT1G56190
,,AT4G09520
,,AT3G30841
,,AT3G08590
,,AT1G09780
,,AT1G74030
,,AT2G36530
,,AT2G29560
,,PCK1
,,AT5G65690
,,AT3G04530
,,NADP-ME4
,,NADP-ME1
,,NADP-ME2
,,NADP-ME3
,,AT5G58330
,,AT2G21170
,,AT3G55440
,,NAD-ME1
,,NAD-ME2
,,PMDH2
,,pNAD-MDH
,,mMDH2
,,PMDH1
,,mMDH1
,,c-NAD-MDH3
,,c-NAD-MDH1
,,AT5G43330
,,AT3G53910
,,AT5G42740
extended VTC2 cycle,PWY4FS-13,VTC2
,,GME
glycine biosynthesis I,GLYSYN-PWY,AT4G37930
,,AT5G26780
,,AT4G32520
,,AT4G13930
,,AT4G13890
,,AT1G36370
,,AT1G22020
olivetol biosynthesis,PWY-6295,PKSB
,,PKSA
