gene1	gene2	r
Zm00001eb000410	Zm00001eb000060	5.78891e-03
Zm00001eb000410	Zm00001eb000070	5.78891e-03
Zm00001eb000410	Zm00001eb000080	5.78891e-03
Zm00001eb000410	Zm00001eb000100	5.78891e-03
Zm00001eb000410	Zm00001eb000110	5.58630e-03
Zm00001eb000410	Zm00001eb000120	8.84080e-03
Zm00001eb000410	Zm00001eb000140	8.84080e-03
Zm00001eb000410	Zm00001eb000150	8.84080e-03
Zm00001eb000410	Zm00001eb000170	2.25743e-02
Zm00001eb000410	Zm00001eb000180	2.25743e-02
Zm00001eb000410	Zm00001eb000200	2.11533e-02
Zm00001eb000410	Zm00001eb000190	2.11533e-02
Zm00001eb000410	Zm00001eb000210	1.01984e-02
Zm00001eb000410	Zm00001eb000220	1.01984e-02
Zm00001eb000410	Zm00001eb000230	1.01984e-02
Zm00001eb000410	Zm00001eb000240	1.01984e-02
Zm00001eb000410	Zm00001eb000250	7.58744e-03
Zm00001eb000410	Zm00001eb000270	3.61810e-03
Zm00001eb000410	Zm00001eb000290	4.73544e-03
Zm00001eb000410	Zm00001eb000300	7.61370e-03
Zm00001eb000410	Zm00001eb000310	7.98616e-03
Zm00001eb000410	Zm00001eb000320	7.98616e-03
Zm00001eb000410	Zm00001eb000330	7.98616e-03
Zm00001eb000410	Zm00001eb000340	1.28685e-02
Zm00001eb000410	Zm00001eb000370	1.73970e-02
Zm00001eb000410	Zm00001eb000380	1.26076e-02
Zm00001eb000410	Zm00001eb000390	9.50827e-01
Zm00001eb000410	Zm00001eb000400	9.99994e-01

Zm00001eb000420	Zm00001eb000010	6.35343e-03
Zm00001eb000420	Zm00001eb000020	6.35343e-03
Zm00001eb000420	Zm00001eb000060	5.78891e-03
Zm00001eb000420	Zm00001eb000070	5.78891e-03
Zm00001eb000420	Zm00001eb000080	5.78891e-03
Zm00001eb000420	Zm00001eb000100	5.78891e-03
Zm00001eb000420	Zm00001eb000110	5.58630e-03
Zm00001eb000420	Zm00001eb000120	8.84080e-03
Zm00001eb000420	Zm00001eb000140	8.84080e-03
Zm00001eb000420	Zm00001eb000150	8.84080e-03
Zm00001eb000420	Zm00001eb000170	2.25743e-02
Zm00001eb000420	Zm00001eb000180	2.25743e-02
Zm00001eb000420	Zm00001eb000200	2.11533e-02
Zm00001eb000420	Zm00001eb000190	2.11533e-02
Zm00001eb000420	Zm00001eb000210	1.01984e-02
Zm00001eb000420	Zm00001eb000220	1.01984e-02
Zm00001eb000420	Zm00001eb000230	1.01984e-02
Zm00001eb000420	Zm00001eb000240	1.01984e-02
Zm00001eb000420	Zm00001eb000250	7.58744e-03
Zm00001eb000420	Zm00001eb000270	3.61810e-03
Zm00001eb000420	Zm00001eb000290	4.73544e-03
Zm00001eb000420	Zm00001eb000300	7.61370e-03
Zm00001eb000420	Zm00001eb000310	7.98616e-03
Zm00001eb000420	Zm00001eb000320	7.98616e-03
Zm00001eb000420	Zm00001eb000330	7.98616e-03
Zm00001eb000420	Zm00001eb000340	1.28685e-02
Zm00001eb000420	Zm00001eb000370	1.73970e-02
Zm00001eb000420	Zm00001eb000380	1.26076e-02
Zm00001eb000420	Zm00001eb000390	9.50827e-01
Zm00001eb000420	Zm00001eb000400	9.99994e-01
Zm00001eb000420	Zm00001eb000410	9.99994e-01

Zm00001eb000430	Zm00001eb000010	3.31131e-03
Zm00001eb000430	Zm00001eb000020	3.31131e-03
