"GENE","magma_p","magma_z","n_top_pathways","best_pathway_p","pathway_rank","pathways","gwas_min_p","gwas_rank","magma_rank","hit_gwas","hit_magma","hit_pathway","support_layers","score"
"SORBI_3009G230400",3.1737e-12,7.5817,1,2.95356900515028e-12,23,"PWY-6949",3.1737e-12,49,49,TRUE,TRUE,TRUE,3,6.83468751022263
"SORBI_3009G230600",6.2395e-14,7.7781,0,NA,NA,NA,6.2395e-14,13,13,TRUE,TRUE,FALSE,2,6.8342276778529
"SORBI_3001G134200",0.000538,2.6694,1,5.95944405557204e-35,1,"PWY-3781",0.000538,689,689,FALSE,FALSE,TRUE,1,6.80815536393332
"SORBI_3009G218900",1.5166e-05,3.4355,4,1.22278577681068e-29,3,"PWY4FS-3; PWY-3385; PWY4FS-4; PWY4FS-2",1.5166e-05,381,381,FALSE,FALSE,TRUE,1,6.79152939326929
"SORBI_3009G227650",6.5869e-14,5.7138,0,NA,NA,NA,6.5869e-14,14,14,TRUE,TRUE,FALSE,2,6.7698583111101
"SORBI_3006G073600",0.00066177,3.5685,1,5.95944405557204e-35,1,"PWY-3781",0.00066177,729,729,FALSE,FALSE,TRUE,1,6.75913875111263
"SORBI_3001G212200",0.00069987,2.654,1,5.95944405557204e-35,1,"PWY-3781",0.00069987,745,745,FALSE,FALSE,TRUE,1,6.74028126225199
"SORBI_3006G058900",0.00082058,3.0812,1,5.95944405557204e-35,1,"PWY-3781",0.00082058,764,764,FALSE,FALSE,TRUE,1,6.7184070905972
"SORBI_3009G239500",3.126e-09,6.4011,5,1.00322616347272e-18,10,"PWY-5921; PWY-7185; PWY-7176; PWY-5687; GLUTAMINDEG-PWY",3.126e-09,126,126,TRUE,TRUE,TRUE,3,6.66123340725682
"SORBI_3009G230900",8.9936e-14,7.5586,0,NA,NA,NA,8.9936e-14,16,16,TRUE,TRUE,FALSE,2,6.65387441715473
"SORBI_3009G231000",8.9936e-14,7.6189,0,NA,NA,NA,8.9936e-14,16,16,TRUE,TRUE,FALSE,2,6.65387441715473
"SORBI_3002G379200",2.3443e-09,4.7322,2,1.02332476574331e-17,12,"PWY-6333; PWY-5486",2.3443e-09,115,115,TRUE,TRUE,TRUE,3,6.63971735328679
"SORBI_3009G209400",0.0012,2.3838,1,5.95944405557204e-35,1,"PWY-3781",0.0012,847,847,FALSE,FALSE,TRUE,1,6.62882698708716
"SORBI_3006G069100",0.001261,3.3973,1,5.95944405557204e-35,1,"PWY-3781",0.001261,860,860,FALSE,FALSE,TRUE,1,6.61559690526144
"SORBI_3009G238900",3.093e-08,5.2463,1,4.86497869768373e-21,6,"PWY-6549",3.093e-08,183,183,TRUE,TRUE,TRUE,3,6.5685041087097
"SORBI_3006G057200",9.3847e-14,5.5934,0,NA,NA,NA,9.3847e-14,18,18,TRUE,TRUE,FALSE,2,6.55156937225997
"SORBI_3002G379100",3.6903e-09,4.6715,2,1.02332476574331e-17,12,"PWY-6333; PWY-5486",3.6903e-09,128,128,TRUE,TRUE,TRUE,3,6.54669309469828
"SORBI_3009G220000",8.2762e-06,3.7561,1,4.44913711544666e-26,4,"HOMOSER-THRESYN-PWY",8.2762e-06,347,347,FALSE,FALSE,TRUE,1,6.51662785386174
"SORBI_3009G230200",1.0858e-13,7.7204,0,NA,NA,NA,1.0858e-13,19,19,TRUE,TRUE,FALSE,2,6.50460718056092
"SORBI_3009G232266",1.3383e-13,7.4677,0,NA,NA,NA,1.3383e-13,20,20,TRUE,TRUE,FALSE,2,6.46005439113862
"SORBI_3009G233200",2.008e-10,6.4584,1,1.97902776496547e-13,20,"SUCSYN-PWY",2.008e-10,89,89,TRUE,TRUE,TRUE,3,6.43368918045411
"SORBI_3009G230800",1.942e-13,6.7868,0,NA,NA,NA,1.942e-13,21,21,TRUE,TRUE,FALSE,2,6.41767579299874
"SORBI_3009G239301",1.958e-08,6.0894,5,1.00322616347272e-18,10,"PWY-5921; PWY-7185; PWY-7176; PWY-5687; GLUTAMINDEG-PWY",1.958e-08,171,171,TRUE,TRUE,TRUE,3,6.39598227670764
"SORBI_3009G228900",2.9299e-13,6.2608,0,NA,NA,NA,2.9299e-13,22,22,TRUE,TRUE,FALSE,2,6.37726902082217
"SORBI_3004G342100",0.0035843,3.3056,1,5.95944405557204e-35,1,"PWY-3781",0.0035843,1163,1163,FALSE,FALSE,TRUE,1,6.35343437829168
"SORBI_3009G229000",5.2802e-13,6.1742,0,NA,NA,NA,5.2802e-13,24,24,TRUE,TRUE,FALSE,2,6.30169189904337
"SORBI_3009G229700",5.4533e-13,5.6266,0,NA,NA,NA,5.4533e-13,25,25,TRUE,TRUE,FALSE,2,6.2662343651225
"SORBI_3009G210800",0.0046105,2.7435,1,5.95944405557204e-35,1,"PWY-3781",0.0046105,1295,1295,FALSE,FALSE,TRUE,1,6.26005427091403
"SORBI_3009G226400",6.3951e-13,7.768,0,NA,NA,NA,6.3951e-13,26,26,TRUE,TRUE,FALSE,2,6.23216768652494
"SORBI_3009G221500",2.4525e-08,5.8585,3,3.18991115904385e-17,14,"PWY-7039; TRIGLSYN-PWY; PWYIO2-7",2.4525e-08,176,176,TRUE,TRUE,TRUE,3,6.22071118805213
"SORBI_3009G226200",8.5177e-13,7.0897,0,NA,NA,NA,8.5177e-13,27,27,TRUE,TRUE,FALSE,2,6.1993868541486
"SORBI_3009G226700",8.9766e-13,6.8864,0,NA,NA,NA,8.9766e-13,28,28,TRUE,TRUE,FALSE,2,6.16779831978214
"SORBI_3009G227600",9.138e-13,5.2186,0,NA,NA,NA,9.138e-13,29,29,TRUE,TRUE,FALSE,2,6.13731838666867
"SORBI_3002G390200",0.0066112,2.0826,1,5.95944405557204e-35,1,"PWY-3781",0.0066112,1516,1516,FALSE,FALSE,TRUE,1,6.12319540515651
"SORBI_3006G149500",0.0079852,2.3394,1,5.95944405557204e-35,1,"PWY-3781",0.0079852,1627,1627,FALSE,FALSE,TRUE,1,6.06181870187486
"SORBI_3009G226800",1.056e-12,7.3031,0,NA,NA,NA,1.056e-12,32,32,TRUE,TRUE,FALSE,2,6.05181442582677
"SORBI_3009G224100",2.0003e-08,5.1023,1,3.3363415581756e-15,17,"PWY-5968",2.0003e-08,172,172,TRUE,TRUE,TRUE,3,6.03873043813484
"SORBI_3009G229500",1.0881e-12,6.7836,0,NA,NA,NA,1.0881e-12,33,33,TRUE,TRUE,FALSE,2,6.0250865027108
"SORBI_3006G085900",0.0090608,1.8018,1,5.95944405557204e-35,1,"PWY-3781",0.0090608,1748,1748,FALSE,FALSE,TRUE,1,5.99951095115181
"SORBI_3009G229200",1.1906e-12,7.5883,0,NA,NA,NA,1.1906e-12,34,34,TRUE,TRUE,FALSE,2,5.99915654838207
"SORBI_3009G230300",1.34e-12,7.5613,0,NA,NA,NA,1.34e-12,35,35,TRUE,TRUE,FALSE,2,5.97397829376603
"SORBI_3009G224400",1.3547e-12,7.0889,0,NA,NA,NA,1.3547e-12,36,36,TRUE,TRUE,FALSE,2,5.949509380932
"SORBI_3009G226300",1.3888e-12,7.5295,0,NA,NA,NA,1.3888e-12,37,37,TRUE,TRUE,FALSE,2,5.92571093433259
"SORBI_3006G057300",1.4572e-12,5.5226,0,NA,NA,NA,1.4572e-12,38,38,TRUE,TRUE,FALSE,2,5.90254718923296
"SORBI_3009G238650",1.5258e-12,6.7959,0,NA,NA,NA,1.5258e-12,39.5,39.5,TRUE,TRUE,FALSE,2,5.86892019121366
"SORBI_3009G226100",1.5554e-12,7.0349,0,NA,NA,NA,1.5554e-12,41,41,TRUE,TRUE,FALSE,2,5.83654666902711
"SORBI_3009G223100",2.234e-07,5.1721,2,3.95600930381944e-16,16,"PWY-2781; PWY-2681",2.234e-07,242,242,FALSE,TRUE,TRUE,2,5.83475792007486
"SORBI_3001G206700",0.014213,1.8292,2,5.95944405557204e-35,1,"PWY-3781; PWY-5690",0.014213,2133,2133,FALSE,FALSE,TRUE,1,5.82661209684972
"SORBI_3009G225300",1.6388e-12,6.1079,0,NA,NA,NA,1.6388e-12,42,42,TRUE,TRUE,FALSE,2,5.81561580167078
"SORBI_3009G226000",1.9443e-12,7.0572,0,NA,NA,NA,1.9443e-12,43,43,TRUE,TRUE,FALSE,2,5.7951774713074
"SORBI_3006G153300",0.015816,2.4352,1,5.95944405557204e-35,1,"PWY-3781",0.015816,2234,2234,FALSE,FALSE,TRUE,1,5.7864274701894
"SORBI_3009G224300",2.045e-12,6.6748,0,NA,NA,NA,2.045e-12,44,44,TRUE,TRUE,FALSE,2,5.7752090294942
"SORBI_3009G225900",2.2405e-12,7.2091,0,NA,NA,NA,2.2405e-12,45,45,TRUE,TRUE,FALSE,2,5.75568935491589
"SORBI_3002G389200",0.017929,1.8491,1,5.95944405557204e-35,1,"PWY-3781",0.017929,2353,2353,FALSE,FALSE,TRUE,1,5.74134995339653
"SORBI_3009G245000",2.058e-08,5.5445,1,2.73745866157261e-12,22,"PWY-622",2.058e-08,174,174,TRUE,TRUE,TRUE,3,5.73728112894072
"SORBI_3009G227100",2.3636e-12,5.3759,0,NA,NA,NA,2.3636e-12,46,46,TRUE,TRUE,FALSE,2,5.73659871910343
"SORBI_3009G238500",2.6348e-12,6.8135,0,NA,NA,NA,2.6348e-12,47.5,47.5,TRUE,TRUE,FALSE,2,5.70872716321685
"SORBI_3009G238600",2.6348e-12,6.8018,0,NA,NA,NA,2.6348e-12,47.5,47.5,TRUE,TRUE,FALSE,2,5.70872716321685
"SORBI_3009G225200",3.2776e-12,6.3758,0,NA,NA,NA,3.2776e-12,50.5,50.5,TRUE,TRUE,FALSE,2,5.65553162622926
"SORBI_3009G241000",1.3361e-08,5.5445,1,8.70990074012705e-11,29,"PWY-5080",1.3361e-08,161,161,TRUE,TRUE,TRUE,3,5.65446130983048
"SORBI_3009G155400",0.023208,2.2269,1,5.95944405557204e-35,1,"PWY-3781",0.023208,2653.5,2653.5,FALSE,FALSE,TRUE,1,5.63695562381777
"SORBI_3009G225800",3.2834e-12,7.1523,0,NA,NA,NA,3.2834e-12,52,52,TRUE,TRUE,FALSE,2,5.63010769519698
"SORBI_3009G239900",1.1486e-07,5.6782,1,3.58573901292237e-13,21,"VALSYN-PWY",1.1486e-07,220,220,FALSE,TRUE,TRUE,2,5.62181115318556
"SORBI_3009G226900",4.7921e-12,6.7109,0,NA,NA,NA,4.7921e-12,53,53,TRUE,TRUE,FALSE,2,5.613562643265
"SORBI_3009G227000",5.1198e-12,6.355,0,NA,NA,NA,5.1198e-12,54,54,TRUE,TRUE,FALSE,2,5.59732686282064
"SORBI_3009G191400",0.026746,1.8536,1,5.95944405557204e-35,1,"PWY-3781",0.026746,2819,2819,FALSE,FALSE,TRUE,1,5.58440365600537
"SORBI_3009G230700",5.5531e-12,7.7069,0,NA,NA,NA,5.5531e-12,55,55,TRUE,TRUE,FALSE,2,5.58138900347809
"SORBI_3009G211000",3.9876e-05,4.521,2,8.58804894363299e-19,9,"PWY-3385; PWY4FS-6",3.9876e-05,442,442,FALSE,FALSE,TRUE,1,5.57788039268511
"SORBI_3009G225600",6.3362e-12,6.3575,0,NA,NA,NA,6.3362e-12,56,56,TRUE,TRUE,FALSE,2,5.56573832845418
"SORBI_3010G134600",0.028128,1.3621,1,5.95944405557204e-35,1,"PWY-3781",0.028128,2898,2898,FALSE,FALSE,TRUE,1,5.56039704547826
"SORBI_3009G230500",7.9241e-12,7.566,0,NA,NA,NA,7.9241e-12,57,57,TRUE,TRUE,FALSE,2,5.5503646711216
"SORBI_3004G255300",0.029263,1.7241,1,5.95944405557204e-35,1,"PWY-3781",0.029263,2954,2954,FALSE,FALSE,TRUE,1,5.54377282579672
"SORBI_3009G224900",1.0302e-11,6.1776,0,NA,NA,NA,1.0302e-11,58,58,TRUE,TRUE,FALSE,2,5.5352583953407
"SORBI_3008G099900",0.03002,1.5553,1,5.95944405557204e-35,1,"PWY-3781",0.03002,2989,2989,FALSE,FALSE,TRUE,1,5.53354197767001
"SORBI_3009G205000",0.030253,1.3383,1,5.95944405557204e-35,1,"PWY-3781",0.030253,3002,3002,FALSE,FALSE,TRUE,1,5.52977243193407
"SORBI_3004G147950",1.0338e-11,5.3646,0,NA,NA,NA,1.0338e-11,59,59,TRUE,TRUE,FALSE,2,5.52041035918229
"SORBI_3009G232200",1.0802e-11,7.2862,0,NA,NA,NA,1.0802e-11,60,60,TRUE,TRUE,FALSE,2,5.50581188169929
"SORBI_3003G306800",0.032797,1.8298,1,5.95944405557204e-35,1,"PWY-3781",0.032797,3117,3117,FALSE,FALSE,TRUE,1,5.4971202031949
"SORBI_3006G057100",1.229e-11,5.3075,0,NA,NA,NA,1.229e-11,61,61,TRUE,TRUE,FALSE,2,5.49145471244504
"SORBI_3009G229800",1.3286e-11,5.3946,0,NA,NA,NA,1.3286e-11,62,62,TRUE,TRUE,FALSE,2,5.47733100347007
"SORBI_3009G232332",1.8729e-11,7.049,0,NA,NA,NA,1.8729e-11,63,63,TRUE,TRUE,FALSE,2,5.46343328355942
"SORBI_3003G299200",0.036044,1.087,1,5.95944405557204e-35,1,"PWY-3781",0.036044,3268,3268,FALSE,FALSE,TRUE,1,5.45602971202782
"SORBI_3009G206400",0.00013728,3.2407,2,3.74364284205717e-19,7,"PWY-7252; PWY-7253",0.00013728,531,531,FALSE,FALSE,TRUE,1,5.45459589943599
"SORBI_3009G232400",1.9398e-11,6.902,0,NA,NA,NA,1.9398e-11,64,64,TRUE,TRUE,FALSE,2,5.4497544344988
"SORBI_3006G109400",0.03693,1.6154,1,5.95944405557204e-35,1,"PWY-3781",0.03693,3303,3303,FALSE,FALSE,TRUE,1,5.44677666036575
"SORBI_3009G238300",2.3224e-11,5.828,0,NA,NA,NA,2.3224e-11,65,65,TRUE,TRUE,FALSE,2,5.43628766918087
"SORBI_3004G287300",0.021917,1.9183,4,1.23132121837649e-32,2,"PWY-5910; PWY-5120; PWY-5121; PWY-5863",0.021917,2587,2587,FALSE,FALSE,TRUE,1,5.42748438869483
"SORBI_3009G231800",2.7583e-11,7.0902,0,NA,NA,NA,2.7583e-11,66,66,TRUE,TRUE,FALSE,2,5.42302651138284
"SORBI_3009G236100",8.7509e-08,5.0357,1,8.70990074012705e-11,29,"PWY-5080",8.7509e-08,211,211,FALSE,TRUE,TRUE,2,5.41954815129879
"SORBI_3010G015700",0.040281,2.3474,1,5.95944405557204e-35,1,"PWY-3781",0.040281,3437,3437,FALSE,FALSE,TRUE,1,5.41223474347413
"SORBI_3009G219500",4.4624e-09,4.7219,1,9.99999000001e-07,55,"PWY-6066",4.4624e-09,134,134,TRUE,TRUE,TRUE,3,5.40790482916639
"SORBI_3004G209300",0.00014783,2.4583,5,1.00322616347272e-18,10,"PWY-5921; GLUGLNSYN-PWY; GLUTAMINDEG-PWY; PWY-6963; PWY4LZ-81",0.00014783,535,535,FALSE,FALSE,TRUE,1,5.4052669334495
"SORBI_3009G239600",3.1939e-11,6.2531,0,NA,NA,NA,3.1939e-11,67.5,67.5,TRUE,TRUE,FALSE,2,5.40350683680453
"SORBI_3009G239700",3.1939e-11,6.5802,0,NA,NA,NA,3.1939e-11,67.5,67.5,TRUE,TRUE,FALSE,2,5.40350683680453
"SORBI_3009G247200",3.5164e-11,6.5131,0,NA,NA,NA,3.5164e-11,69.5,69.5,TRUE,TRUE,FALSE,2,5.37814477328635
"SORBI_3009G247300",3.5164e-11,6.648,0,NA,NA,NA,3.5164e-11,69.5,69.5,TRUE,TRUE,FALSE,2,5.37814477328635
"SORBI_3006G204600",0.044332,1.6123,1,5.95944405557204e-35,1,"PWY-3781",0.044332,3628,3628,FALSE,FALSE,TRUE,1,5.36525925097246
"SORBI_3009G225000",3.815e-11,6.0825,0,NA,NA,NA,3.815e-11,71,71,TRUE,TRUE,FALSE,2,5.35959768502843
"SORBI_3007G179600",0.045816,1.4633,1,5.95944405557204e-35,1,"PWY-3781",0.045816,3676,3676,FALSE,FALSE,TRUE,1,5.35384280232043
"SORBI_3009G224800",4.3041e-11,6.0497,0,NA,NA,NA,4.3041e-11,72,72,TRUE,TRUE,FALSE,2,5.34744938960404
"SORBI_3009G240600",3.1217e-08,5.5928,2,8.52931040167905e-09,40,"PWY-6803; LIPASYN-PWY",3.1217e-08,184,184,TRUE,TRUE,TRUE,3,5.33938734447791
"SORBI_3009G246800",5.1137e-11,6.2887,0,NA,NA,NA,5.1137e-11,73,73,TRUE,TRUE,FALSE,2,5.33546866222567
"SORBI_3009G220200",1.563e-05,4.4064,1,4.44281448339832e-15,18,"PWY-5980",1.563e-05,382,382,FALSE,FALSE,TRUE,1,5.3332218387451
"SORBI_3009G240700",1.8634e-07,5.5302,3,8.14247350607463e-11,28,"PWY-5690; GLYOXYLATE-BYPASS; GLUCONEO-PWY",1.8634e-07,235,235,FALSE,TRUE,TRUE,2,5.32890302250963
"SORBI_3009G224600",5.7821e-11,6.4024,0,NA,NA,NA,5.7821e-11,74,74,TRUE,TRUE,FALSE,2,5.32365094300463
"SORBI_3009G235100",5.8152e-11,6.3206,0,NA,NA,NA,5.8152e-11,77,77,TRUE,TRUE,FALSE,2,5.28913293212161
"SORBI_3009G235200",5.8152e-11,6.5316,0,NA,NA,NA,5.8152e-11,77,77,TRUE,TRUE,FALSE,2,5.28913293212161
"SORBI_3009G235300",5.8152e-11,6.6083,0,NA,NA,NA,5.8152e-11,77,77,TRUE,TRUE,FALSE,2,5.28913293212161
"SORBI_3009G235400",5.8152e-11,6.5085,0,NA,NA,NA,5.8152e-11,77,77,TRUE,TRUE,FALSE,2,5.28913293212161
"SORBI_3009G235500",5.8152e-11,6.5002,0,NA,NA,NA,5.8152e-11,77,77,TRUE,TRUE,FALSE,2,5.28913293212161
"SORBI_3007G172300",0.054298,2.2246,1,5.95944405557204e-35,1,"PWY-3781",0.054298,4033,4033,FALSE,FALSE,TRUE,1,5.27333736373334
"SORBI_3004G176500",0.054451,1.9719,1,5.95944405557204e-35,1,"PWY-3781",0.054451,4040,4040,FALSE,FALSE,TRUE,1,5.27183107752737
"SORBI_3009G240500",5.317e-08,5.5235,2,8.52931040167905e-09,40,"PWY-6803; LIPASYN-PWY",5.317e-08,199,199,FALSE,TRUE,TRUE,2,5.27131683767757
"SORBI_3009G220100",2.8433e-05,3.7885,1,4.44281448339832e-15,18,"PWY-5980",2.8433e-05,414,414,FALSE,FALSE,TRUE,1,5.26334788232672
"SORBI_3006G057733",6.5871e-11,5.021,0,NA,NA,NA,6.5871e-11,80,80,TRUE,TRUE,FALSE,2,5.25593440848269
"SORBI_3010G201266",0.056928,1.8916,1,5.95944405557204e-35,1,"PWY-3781",0.056928,4140,4140,FALSE,FALSE,TRUE,1,5.25059312550678
"SORBI_3009G247100",8.3518e-11,6.0757,0,NA,NA,NA,8.3518e-11,81,81,TRUE,TRUE,FALSE,2,5.24514434470928
"SORBI_3004G027700",0.058615,1.0798,1,5.95944405557204e-35,1,"PWY-3781",0.058615,4205,4205,FALSE,FALSE,TRUE,1,5.23706180748071
"SORBI_3009G233100",1.1274e-10,6.037,0,NA,NA,NA,1.1274e-10,82,82,TRUE,TRUE,FALSE,2,5.23448667769915
"SORBI_3009G244800",1.1965e-10,5.939,0,NA,NA,NA,1.1965e-10,83.5,83.5,TRUE,TRUE,FALSE,2,5.21874143149937
"SORBI_3009G244900",1.1965e-10,6.0872,0,NA,NA,NA,1.1965e-10,83.5,83.5,TRUE,TRUE,FALSE,2,5.21874143149937
"SORBI_3009G232000",1.2219e-10,6.94,0,NA,NA,NA,1.2219e-10,85,85,TRUE,TRUE,FALSE,2,5.20327653103799
"SORBI_3009G224200",1.2734e-10,6.3204,0,NA,NA,NA,1.2734e-10,86,86,TRUE,TRUE,FALSE,2,5.19311747997944
"SORBI_3009G225250",1.4515e-10,5.9816,0,NA,NA,NA,1.4515e-10,87,87,TRUE,TRUE,FALSE,2,5.18307587722934
"SORBI_3010G189200",0.066647,1.542,1,5.95944405557204e-35,1,"PWY-3781",0.066647,4514,4514,FALSE,FALSE,TRUE,1,5.17547069826509
"SORBI_3009G243500",1.5594e-10,6.4086,0,NA,NA,NA,1.5594e-10,88,88,TRUE,TRUE,FALSE,2,5.17314903816624
"SORBI_3009G244700",3.2568e-10,5.8469,0,NA,NA,NA,3.2568e-10,90,90,TRUE,TRUE,FALSE,2,5.15362936358793
"SORBI_3009G232500",3.6702e-10,6.0851,0,NA,NA,NA,3.6702e-10,91,91,TRUE,TRUE,FALSE,2,5.14403159782439
"SORBI_3003G270500",0.044473,2.5584,6,1.23132121837649e-32,2,"PWY-5910; PWY-5120; PWY-5123; PWY-5121; PWY-5863; PWYQT-4449",0.044473,3631,3631,FALSE,FALSE,TRUE,1,5.13302474830213
"SORBI_3009G236800",4.4894e-10,5.177,0,NA,NA,NA,4.4894e-10,92.5,92.5,TRUE,TRUE,FALSE,2,5.12983091698851
"SORBI_3009G236950",4.4894e-10,5.1273,0,NA,NA,NA,4.4894e-10,92.5,92.5,TRUE,TRUE,FALSE,2,5.12983091698851
"SORBI_3009G234900",5.515e-10,6.0055,0,NA,NA,NA,5.515e-10,94,94,TRUE,TRUE,FALSE,2,5.11585867526718
"SORBI_3009G243600",6.125e-10,6.654,0,NA,NA,NA,6.125e-10,95,95,TRUE,TRUE,FALSE,2,5.10666717188888
"SORBI_3009G249900",3.9526e-08,5.6141,1,9.99999000001e-07,55,"PWY-6233",3.9526e-08,191,191,TRUE,TRUE,TRUE,3,5.10004769140055
"SORBI_3009G205800",0.00096431,3.1586,2,3.74364284205717e-19,7,"PWY-7252; PWY-7253",0.00096431,799,799,FALSE,FALSE,TRUE,1,5.09969138297095
"SORBI_3009G246100",6.5354e-10,5.9475,0,NA,NA,NA,6.5354e-10,96,96,TRUE,TRUE,FALSE,2,5.09757191638744
"SORBI_3009G229100",7.2781e-10,6.0674,0,NA,NA,NA,7.2781e-10,97,97,TRUE,TRUE,FALSE,2,5.08857091393409
"SORBI_3003G172966",0.079467,1.0192,1,5.95944405557204e-35,1,"PWY-3781",0.079467,4998,4998,FALSE,FALSE,TRUE,1,5.08700130416771
"SORBI_3003G173032",0.079467,1.0192,1,5.95944405557204e-35,1,"PWY-3781",0.079467,4998,4998,FALSE,FALSE,TRUE,1,5.08700130416771
"SORBI_3006G186600",6.1907e-05,3.9032,1,2.14170980753473e-14,19,"PWY-5097",6.1907e-05,472,472,FALSE,FALSE,TRUE,1,5.08115432265359
"SORBI_3009G235700",7.4644e-10,6.4714,0,NA,NA,NA,7.4644e-10,98,98,TRUE,TRUE,FALSE,2,5.07966223108159
