"GENE","CHR","START","STOP","gwas_min_p","gwas_logP","gwas_rank","magma_p","magma_fdr","magma_logP","magma_rank","n_pathways","best_pathway_rank","best_pathway_p","pathways"
"SORBI_3009G224100",9,56620392,56642188,6.773765e-13,12.1691698742656,17,2.0003e-08,3.95024361046512e-06,7.69890486504906,172,1,37,9.99900009999e-05,"PWY-5968"
"SORBI_3009G245000",9,58063718,58089719,1.196494e-10,9.9220894748804,39,2.058e-08,4.01747620689655e-06,7.68655462957359,174,1,41,9.99900009999e-05,"PWY-622"
"SORBI_3009G221500",9,56454843,56479136,1.65855e-09,8.78027143135175,60,2.4525e-08,4.73318565340909e-06,7.61039098394801,176,3,53,9.99900009999e-05,"PWY-7039; PWYIO2-7; TRIGLSYN-PWY"
"SORBI_3009G238900",9,57670872,57694861,5.570696e-11,10.2540905408988,31,3.093e-08,5.74097983606557e-06,7.50962007999682,183,1,47,9.99900009999e-05,"PWY-6549"
"SORBI_3009G240600",9,57783773,57808036,5.40957e-09,8.26683725505039,76,3.1217e-08,5.76275999456522e-06,7.50560883561211,184,2,6,9.99900009999e-05,"LIPASYN-PWY; PWY-6803"
"SORBI_3009G249900",9,58510674,58537393,1.361283e-09,8.86605157901271,57,3.9526e-08,7.02921278534031e-06,7.40311713369207,191,1,42,9.99900009999e-05,"PWY-6233"
"SORBI_3009G240500",9,57781485,57802708,5.40957e-09,8.26683725505039,76,5.317e-08,9.07550447236181e-06,7.27433333968582,199,2,6,9.99900009999e-05,"LIPASYN-PWY; PWY-6803"
"SORBI_3009G236100",9,57477095,57499650,7.172846e-10,9.14430849330623,49,8.7509e-08,1.40872900616114e-05,7.05794727898529,211,1,18,9.99900009999e-05,"PWY-5080"
"SORBI_3009G239900",9,57750417,57773893,3.193851e-11,10.4956853484941,28,1.1486e-07,1.77320035746606e-05,6.93983118805485,220,1,73,9.99900009999e-05,"VALSYN-PWY"
"SORBI_3009G240700",9,57789754,57814273,5.40957e-09,8.26683725505039,76,1.8634e-07,2.6933662893617e-05,6.72969390884709,235,3,1,9.99900009999e-05,"GLUCONEO-PWY; GLYOXYLATE-BYPASS; PWY-5690"
"SORBI_3009G223100",9,56557273,56578899,5.206204e-09,8.28347881848984,75,2.234e-07,3.13563132231405e-05,6.65091683122041,242,2,11,9.99900009999e-05,"PWY-2681; PWY-2781"
"SORBI_3009G250700",9,58569386,58591986,2.146291e-08,7.66831139554509,92,2.7754e-07,3.81668063967611e-05,6.55667441604626,247,1,15,9.99900009999e-05,"PWY-3781"
"SORBI_3009G246400",9,58187873,58213205,5.052275e-09,8.2965130184231,74,6.3153e-07,7.91556439483395e-05,6.19960601403186,271,8,20,9.99900009999e-05,"PWY-5120; PWY-5121; PWY-5805; PWY-5807; PWY-5863; PWY-5864; PWY-5910; PWYQT-4449"
"SORBI_3009G245600",9,58106278,58129843,1.841017e-09,8.73494220119066,62,9.3112e-07,0.000111757431236749,6.03099434481946,283,1,15,9.99900009999e-05,"PWY-3781"
"SORBI_3009G250300",9,58540495,58562539,6.32598e-09,8.19887218546857,79,9.9318e-07,0.000118369631789474,6.0029720345636,285,1,44,9.99900009999e-05,"PWY-6348"
"SORBI_3009G254900",9,58885368,58909870,4.02088e-08,7.3956788878808,99,1.446e-06,0.000167632361774744,5.83983170704149,293,1,11,9.99900009999e-05,"PWY-2681"
"SORBI_3009G216800",9,56095054,56118847,5.483475e-08,7.26094413220446,102,1.9152e-06,0.000215409266225166,5.71778586693766,302,6,20,9.99900009999e-05,"PWY-5120; PWY-5121; PWY-5123; PWY-5863; PWY-5910; PWYQT-4449"
"SORBI_3007G006800",7,576621,600535,7.163477e-08,7.14487612917495,107,1.4532e-05,0.00130930621750663,4.83767461080932,377,1,15,9.99900009999e-05,"PWY-3781"
"SORBI_3009G218900",9,56239286,56264272,6.230986e-08,7.20544322453236,104,1.5166e-05,0.00135208273490814,4.81912894834946,381,4,13,9.99900009999e-05,"PWY-3385; PWY4FS-2; PWY4FS-3; PWY4FS-4"
"SORBI_3009G220200",9,56351734,56375216,8.898792e-10,9.05066894429231,53,1.563e-05,0.00138980159685864,4.80604102198081,382,1,38,9.99900009999e-05,"PWY-5980"
"SORBI_3009G220100",9,56346652,56369727,1.707769e-08,7.76757087416809,89,2.8433e-05,0.00233281089613527,4.54617731495926,414,1,38,9.99900009999e-05,"PWY-5980"
