"GENE","CHR","gene_start","gene_stop","gwas_min_p","gwas_logP","n_snps_mapped"
"SORBI_3009G230700",9,57072774,57076364,3.121722e-14,13.5056057749577,381
"SORBI_3009G229800",9,57038653,57041166,3.297219e-14,13.4818522062287,303
"SORBI_3009G227300",9,56873995,56875316,3.541653e-14,13.4507939918663,136
"SORBI_3009G227400",9,56875703,56877692,3.541653e-14,13.4507939918663,137
"SORBI_3009G227500",9,56877858,56879793,3.541653e-14,13.4507939918663,140
"SORBI_3009G227600",9,56882327,56886625,3.541653e-14,13.4507939918663,143
"SORBI_3009G227650",9,56891195,56892446,3.541653e-14,13.4507939918663,122
"SORBI_3009G227700",9,56892518,56898785,3.541653e-14,13.4507939918663,127
"SORBI_3009G227800",9,56899044,56901701,3.541653e-14,13.4507939918663,116
"SORBI_3009G227900",9,56903528,56907652,3.541653e-14,13.4507939918663,149
"SORBI_3009G228000",9,56910167,56914234,3.541653e-14,13.4507939918663,163
"SORBI_3009G228100",9,56916040,56924765,3.541653e-14,13.4507939918663,193
"SORBI_3009G227100",9,56849424,56853773,4.454024e-14,13.3512474471494,186
"SORBI_3009G227201",9,56858498,56859951,4.454024e-14,13.3512474471494,155
"SORBI_3009G230800",9,57093313,57095643,8.993578e-14,13.0460674944166,232
"SORBI_3006G057000",6,40220048,40233860,9.38473e-14,13.0275782175761,358
"SORBI_3006G057050",6,40221752,40222821,9.38473e-14,13.0275782175761,231
"SORBI_3006G057100",6,40221423,40241927,9.38473e-14,13.0275782175761,407
"SORBI_3006G057200",6,40236448,40238264,9.38473e-14,13.0275782175761,261
"SORBI_3006G057300",6,40242354,40244140,9.38473e-14,13.0275782175761,271
"SORBI_3006G057500",6,40269765,40270655,9.38473e-14,13.0275782175761,688
"SORBI_3006G057600",6,40270791,40273561,9.38473e-14,13.0275782175761,692
"SORBI_3004G147900",4,46462821,46464766,1.239219e-13,12.9068519364917,498
"SORBI_3004G147950",4,46471811,46473606,1.239219e-13,12.9068519364917,376
"SORBI_3004G148000",4,46504202,46505252,1.239219e-13,12.9068519364917,386
"SORBI_3009G232000",9,57202945,57207627,1.338337e-13,12.8734345152587,400
"SORBI_3009G232100",9,57212884,57215102,1.338337e-13,12.8734345152587,337
"SORBI_3009G232200",9,57216583,57218020,1.338337e-13,12.8734345152587,330
"SORBI_3009G232266",9,57225567,57226701,1.338337e-13,12.8734345152587,283
"SORBI_3009G232332",9,57230806,57232598,1.338337e-13,12.8734345152587,257
"SORBI_3009G232400",9,57235138,57239543,1.338337e-13,12.8734345152587,251
"SORBI_3009G232500",9,57239720,57240394,1.338337e-13,12.8734345152587,223
"SORBI_3009G232700",9,57243373,57245946,1.338337e-13,12.8734345152587,231
"SORBI_3009G232800",9,57248565,57256196,1.338337e-13,12.8734345152587,301
"SORBI_3006G057733",6,40277211,40280277,1.742632e-13,12.758794315267,735
"SORBI_3006G057866",6,40304883,40316799,1.742632e-13,12.758794315267,1094
"SORBI_3009G225300",9,56724382,56727042,5.180051e-13,12.2856659644035,480
"SORBI_3009G225500",9,56733784,56736681,5.180051e-13,12.2856659644035,354
"SORBI_3009G225600",9,56745759,56747418,5.180051e-13,12.2856659644035,321
"SORBI_3009G223900",9,56621892,56625219,6.773765e-13,12.1691698742656,558
"SORBI_3009G224000",9,56624326,56629266,6.773765e-13,12.1691698742656,610
"SORBI_3009G224100",9,56630392,56632188,6.773765e-13,12.1691698742656,604
"SORBI_3009G224200",9,56638818,56639393,6.773765e-13,12.1691698742656,582
"SORBI_3009G224300",9,56643331,56647878,6.773765e-13,12.1691698742656,584
"SORBI_3009G224400",9,56652597,56656038,6.773765e-13,12.1691698742656,551
"SORBI_3009G224500",9,56657463,56659100,6.773765e-13,12.1691698742656,517
"SORBI_3009G224600",9,56670457,56674025,6.773765e-13,12.1691698742656,556
"SORBI_3009G238100",9,57616677,57620928,1.317376e-12,11.8802902528138,421
"SORBI_3009G238200",9,57628850,57630763,1.317376e-12,11.8802902528138,336
"SORBI_3009G238300",9,57630301,57632518,1.317376e-12,11.8802902528138,366
"SORBI_3009G238500",9,57639492,57641346,1.317376e-12,11.8802902528138,362
"SORBI_3009G238600",9,57652425,57655397,1.317376e-12,11.8802902528138,339
"SORBI_3009G238650",9,57657443,57658159,1.317376e-12,11.8802902528138,328
"SORBI_3009G238700",9,57662408,57667376,1.317376e-12,11.8802902528138,383
"SORBI_3009G238800",9,57667737,57671319,1.317376e-12,11.8802902528138,359
"SORBI_3009G238850",9,57676021,57678816,1.525785e-12,11.8165066589709,294
"SORBI_3009G225000",9,56694166,56696919,1.638796e-12,11.7854751047507,519
"SORBI_3009G225100",9,56705194,56711347,1.638796e-12,11.7854751047507,514
"SORBI_3009G225200",9,56711864,56714239,1.638796e-12,11.7854751047507,482
"SORBI_3009G225250",9,56718951,56719259,1.638796e-12,11.7854751047507,468
"SORBI_3009G224800",9,56688132,56691971,1.947195e-12,11.7105905542923,573
"SORBI_3009G224900",9,56693608,56693868,1.947195e-12,11.7105905542923,511
"SORBI_3009G243400",9,57961949,57968757,3.689787e-12,11.4329987035956,328
"SORBI_3009G243500",9,57971301,57976036,3.689787e-12,11.4329987035956,372
"SORBI_3009G243600",9,57980765,57983849,3.689787e-12,11.4329987035956,373
"SORBI_3009G243800",9,58000984,58006602,3.689787e-12,11.4329987035956,549
"SORBI_3009G243900",9,58010314,58011745,3.689787e-12,11.4329987035956,500
"SORBI_3009G224700",9,56674026,56677144,4.924995e-12,11.3075942060747,563
"SORBI_3009G231800",9,57188679,57194389,1.379147e-11,10.8603894409406,448
"SORBI_3009G231900",9,57195391,57198323,1.379147e-11,10.8603894409406,406
"SORBI_3009G246700",9,58231144,58236699,1.758189e-11,10.7549344414095,337
"SORBI_3009G246800",9,58239184,58243871,1.758189e-11,10.7549344414095,338
"SORBI_3009G246950",9,58247025,58251886,1.758189e-11,10.7549344414095,412
"SORBI_3009G247100",9,58252379,58255448,1.758189e-11,10.7549344414095,469
"SORBI_3009G247200",9,58258253,58260963,1.758189e-11,10.7549344414095,450
"SORBI_3009G247300",9,58261832,58265060,1.758189e-11,10.7549344414095,513
"SORBI_3009G247400",9,58278978,58286549,1.758189e-11,10.7549344414095,707
"SORBI_3009G239101",9,57694451,57699567,1.966017e-11,10.7064127311762,345
"SORBI_3009G239200",9,57696343,57698475,1.966017e-11,10.7064127311762,339
"SORBI_3009G239250",9,57700001,57700589,1.966017e-11,10.7064127311762,328
"SORBI_3009G239301",9,57701724,57702144,1.966017e-11,10.7064127311762,319
"SORBI_3009G239351",9,57702655,57706002,1.966017e-11,10.7064127311762,326
"SORBI_3009G239400",9,57716797,57717335,1.966017e-11,10.7064127311762,300
"SORBI_3009G239500",9,57719129,57726152,1.966017e-11,10.7064127311762,369
"SORBI_3009G219200",9,56285383,56286173,2.104908e-11,10.6767668812846,510
"SORBI_3009G219300",9,56290107,56290598,2.104908e-11,10.6767668812846,522
"SORBI_3009G219400",9,56296812,56300390,2.104908e-11,10.6767668812846,546
"SORBI_3009G219500",9,56302671,56305987,2.104908e-11,10.6767668812846,405
"SORBI_3009G219601",9,56330857,56331523,2.104908e-11,10.6767668812846,460
"SORBI_3009G239600",9,57747754,57750919,3.193851e-11,10.4956853484941,334
"SORBI_3009G239700",9,57753538,57753792,3.193851e-11,10.4956853484941,336
"SORBI_3009G239800",9,57755352,57756129,3.193851e-11,10.4956853484941,340
"SORBI_3009G239900",9,57760417,57763893,3.193851e-11,10.4956853484941,416
"SORBI_3009G246500",9,58215618,58225154,5.113726e-11,10.2912625457418,261
"SORBI_3009G246600",9,58225555,58227912,5.113726e-11,10.2912625457418,215
"SORBI_3009G231700",9,57154263,57161564,5.565247e-11,10.2545155557935,476
"SORBI_3009G238900",9,57680872,57684861,5.570696e-11,10.2540905408988,301
"SORBI_3009G234800",9,57410046,57415965,5.815228e-11,10.235433253042,265
"SORBI_3009G234900",9,57418453,57422639,5.815228e-11,10.235433253042,260
"SORBI_3009G235000",9,57423992,57430687,5.815228e-11,10.235433253042,220
"SORBI_3009G235100",9,57431364,57435521,5.815228e-11,10.235433253042,227
"SORBI_3009G235200",9,57435031,57440215,5.815228e-11,10.235433253042,220
"SORBI_3009G235300",9,57440852,57446671,5.815228e-11,10.235433253042,320
"SORBI_3009G235400",9,57441778,57442085,5.815228e-11,10.235433253042,227
"SORBI_3009G235500",9,57443765,57445058,5.815228e-11,10.235433253042,266
"SORBI_3009G235600",9,57455381,57460430,5.815228e-11,10.235433253042,347
"SORBI_3009G233500",9,57307497,57310287,6.733422e-11,10.1717641663834,197
"SORBI_3009G233600",9,57310528,57314323,6.733422e-11,10.1717641663834,202
"SORBI_3009G233700",9,57314341,57317200,6.733422e-11,10.1717641663834,200
"SORBI_3009G233800",9,57318186,57321926,6.733422e-11,10.1717641663834,200
"SORBI_3009G233900",9,57321927,57323292,6.733422e-11,10.1717641663834,175
"SORBI_3009G234000",9,57323489,57323887,6.733422e-11,10.1717641663834,162
"SORBI_3009G234100",9,57342319,57345920,6.733422e-11,10.1717641663834,251
"SORBI_3009G234200",9,57352632,57357782,6.733422e-11,10.1717641663834,238
"SORBI_3009G223800",9,56614916,56616226,8.773344e-11,10.0568348417605,544
"SORBI_3009G255000",9,58905692,58910529,9.28985e-11,10.0319912983528,472
"SORBI_3009G255100",9,58910532,58914835,9.28985e-11,10.0319912983528,448
"SORBI_3009G255200",9,58919243,58920285,9.28985e-11,10.0319912983528,376
"SORBI_3009G255300",9,58919834,58924289,9.28985e-11,10.0319912983528,370
"SORBI_3009G255400",9,58924534,58925818,9.28985e-11,10.0319912983528,338
"SORBI_3009G255500",9,58932514,58935628,9.28985e-11,10.0319912983528,221
"SORBI_3009G255600",9,58940398,58949169,9.28985e-11,10.0319912983528,276
"SORBI_3009G255700",9,58949170,58956768,9.28985e-11,10.0319912983528,297
"SORBI_3009G255800",9,58957657,58964325,9.28985e-11,10.0319912983528,243
"SORBI_3009G233100",9,57272692,57273552,1.003976e-10,9.99827666885648,216
"SORBI_3009G233200",9,57279798,57292686,1.003976e-10,9.99827666885648,268
"SORBI_3009G233300",9,57299335,57301668,1.003976e-10,9.99827666885648,225
"SORBI_3009G233400",9,57301955,57304282,1.003976e-10,9.99827666885648,190
"SORBI_3002G378800",2,73497138,73501364,1.079294e-10,9.96686023725804,541
"SORBI_3002G378900",2,73500965,73510492,1.079294e-10,9.96686023725804,553
"SORBI_3002G379000",2,73514313,73518343,1.079294e-10,9.96686023725804,526
"SORBI_3002G379100",2,73518841,73521876,1.079294e-10,9.96686023725804,498
"SORBI_3002G379200",2,73518318,73526352,1.079294e-10,9.96686023725804,514
"SORBI_3002G379201",2,73530009,73530805,1.079294e-10,9.96686023725804,394
"SORBI_3002G379300",2,73544385,73548028,1.079294e-10,9.96686023725804,344
"SORBI_3009G232900",9,57257074,57258739,1.127357e-10,9.94793853419462,210
"SORBI_3009G233000",9,57264786,57269445,1.127357e-10,9.94793853419462,205
"SORBI_3009G244650",9,58047985,58048828,1.196494e-10,9.9220894748804,196
"SORBI_3009G244700",9,58052518,58060857,1.196494e-10,9.9220894748804,288
"SORBI_3009G244800",9,58062916,58064055,1.196494e-10,9.9220894748804,250
"SORBI_3009G244900",9,58064779,58069498,1.196494e-10,9.9220894748804,297
"SORBI_3009G245000",9,58073718,58079719,1.196494e-10,9.9220894748804,409
"SORBI_3009G245101",9,58080195,58090378,1.196494e-10,9.9220894748804,440
"SORBI_3009G248100",9,58331694,58332630,1.453314e-10,9.83764054280142,279
"SORBI_3009G248200",9,58338230,58339825,1.453314e-10,9.83764054280142,273
"SORBI_3009G248300",9,58340470,58345567,1.453314e-10,9.83764054280142,276
"SORBI_3009G248500",9,58366679,58369123,1.453314e-10,9.83764054280142,349
"SORBI_3009G239000",9,57687169,57688124,1.673517e-10,9.77636987161293,289
"SORBI_3009G235700",9,57463125,57468608,3.732208e-10,9.42803416054853,346
"SORBI_3009G235801",9,57469312,57470337,3.732208e-10,9.42803416054853,348
"SORBI_3009G235900",9,57473771,57478289,3.732208e-10,9.42803416054853,370
"SORBI_3009G236000",9,57477811,57480989,3.732208e-10,9.42803416054853,357
"SORBI_3009G234700",9,57395387,57404990,4.101932e-10,9.38701154344828,246
"SORBI_3009G247900",9,58314958,58315781,4.106388e-10,9.38654001787388,435
"SORBI_3009G248000",9,58316839,58319600,4.106388e-10,9.38654001787388,414
"SORBI_3009G247500",9,58292827,58293998,4.436175e-10,9.35299132996308,567
"SORBI_3009G247601",9,58297525,58304180,4.436175e-10,9.35299132996308,507
"SORBI_3009G247700",9,58309106,58310986,4.436175e-10,9.35299132996308,471
"SORBI_3009G236200",9,57502067,57504402,4.489437e-10,9.34780811848977,236
"SORBI_3009G236300",9,57507657,57511287,4.489437e-10,9.34780811848977,265
"SORBI_3009G236400",9,57513307,57515626,4.489437e-10,9.34780811848977,261
"SORBI_3009G236500",9,57516030,57517708,4.489437e-10,9.34780811848977,257
"SORBI_3009G236600",9,57525244,57525910,4.489437e-10,9.34780811848977,356
"SORBI_3009G236700",9,57527773,57529957,4.489437e-10,9.34780811848977,391
"SORBI_3009G236800",9,57529958,57531904,4.489437e-10,9.34780811848977,373
"SORBI_3009G236900",9,57532378,57533864,4.489437e-10,9.34780811848977,384
"SORBI_3009G236950",9,57532432,57534320,4.489437e-10,9.34780811848977,384
"SORBI_3009G237000",9,57534371,57539168,4.489437e-10,9.34780811848977,437
"SORBI_3009G237100",9,57540825,57547713,4.489437e-10,9.34780811848977,445
"SORBI_3009G237200",9,57549825,57552568,4.489437e-10,9.34780811848977,414
"SORBI_3009G245800",9,58145966,58155902,6.535403e-10,9.18472762686234,739
"SORBI_3009G245900",9,58159960,58161767,6.535403e-10,9.18472762686234,677
"SORBI_3009G246000",9,58162912,58165270,6.535403e-10,9.18472762686234,672
"SORBI_3009G246100",9,58167573,58169699,6.535403e-10,9.18472762686234,627
"SORBI_3009G246200",9,58176436,58179009,6.535403e-10,9.18472762686234,552
"SORBI_3009G246250",9,58182933,58185711,6.535403e-10,9.18472762686234,549
"SORBI_3009G246300",9,58190618,58196245,6.535403e-10,9.18472762686234,459
"SORBI_3009G221600",9,56472162,56474856,6.703667e-10,9.17368756711859,748
"SORBI_3009G221701",9,56475201,56477180,6.703667e-10,9.17368756711859,766
"SORBI_3009G221800",9,56484791,56487061,6.703667e-10,9.17368756711859,759
"SORBI_3009G221900",9,56488517,56490066,6.703667e-10,9.17368756711859,745
"SORBI_3009G222000",9,56491188,56492179,6.703667e-10,9.17368756711859,741
"SORBI_3009G222100",9,56495581,56501057,6.703667e-10,9.17368756711859,763
"SORBI_3009G222200",9,56508972,56516436,6.703667e-10,9.17368756711859,698
"SORBI_3009G222400",9,56518137,56522389,6.703667e-10,9.17368756711859,620
"SORBI_3009G236100",9,57487095,57489650,7.172846e-10,9.14430849330623,345
"SORBI_3009G236150",9,57491010,57493095,7.172846e-10,9.14430849330623,311
"SORBI_3009G220800",9,56392699,56397753,7.596212e-10,9.11940292319445,746
"SORBI_3009G220900",9,56402010,56402381,7.596212e-10,9.11940292319445,628
"SORBI_3009G220933",9,56407022,56407840,7.596212e-10,9.11940292319445,558
"SORBI_3009G220966",9,56409533,56409903,7.596212e-10,9.11940292319445,530
"SORBI_3009G221000",9,56414893,56420312,7.596212e-10,9.11940292319445,552
"SORBI_3009G221200",9,56436741,56442020,7.596212e-10,9.11940292319445,628
"SORBI_3009G240000",9,57770767,57773833,7.867023e-10,9.10418958012724,394
"SORBI_3009G240100",9,57775490,57777327,7.867023e-10,9.10418958012724,425
"SORBI_3009G240200",9,57777472,57779121,7.867023e-10,9.10418958012724,445
"SORBI_3009G240300",9,57777953,57783824,7.867023e-10,9.10418958012724,477
"SORBI_3003G175900",3,44373947,44383208,8.718424e-10,9.05956201391634,706
"SORBI_3009G220200",9,56361734,56365216,8.898792e-10,9.05066894429231,715
"SORBI_3009G220250",9,56368606,56368911,8.898792e-10,9.05066894429231,618
"SORBI_3009G220300",9,56371463,56371831,8.898792e-10,9.05066894429231,586
"SORBI_3009G220400",9,56380987,56382413,8.898792e-10,9.05066894429231,589
"SORBI_3009G220500",9,56384562,56390232,8.898792e-10,9.05066894429231,588
"SORBI_3009G220600",9,56390440,56391127,8.898792e-10,9.05066894429231,584
"SORBI_3009G220700",9,56391297,56392521,8.898792e-10,9.05066894429231,597
"SORBI_3009G245650",9,58122276,58123700,1.039121e-09,8.9833338782632,516
"SORBI_3009G245700",9,58132768,58133625,1.039121e-09,8.9833338782632,416
"SORBI_3009G245750",9,58139778,58140433,1.039121e-09,8.9833338782632,508
"SORBI_3009G237700",9,57593949,57597389,1.314864e-09,8.88111916512404,414
"SORBI_3009G237800",9,57599459,57600395,1.314864e-09,8.88111916512404,430
"SORBI_3009G237900",9,57601033,57602659,1.314864e-09,8.88111916512404,432
"SORBI_3009G238000",9,57602900,57611460,1.314864e-09,8.88111916512404,473
"SORBI_3009G241966",9,57865116,57866312,1.351196e-09,8.86928164909461,485
"SORBI_3009G242032",9,57865966,57867271,1.351196e-09,8.86928164909461,496
"SORBI_3009G242100",9,57869640,57875363,1.351196e-09,8.86928164909461,663
"SORBI_3009G242200",9,57877842,57883218,1.351196e-09,8.86928164909461,709
"SORBI_3009G242250",9,57890244,57891399,1.351196e-09,8.86928164909461,649
"SORBI_3009G242300",9,57899419,57900289,1.351196e-09,8.86928164909461,619
"SORBI_3009G242400",9,57902029,57905627,1.351196e-09,8.86928164909461,612
"SORBI_3009G242501",9,57908190,57909947,1.351196e-09,8.86928164909461,573
"SORBI_3009G242600",9,57914633,57918884,1.351196e-09,8.86928164909461,556
"SORBI_3009G249700",9,58485803,58491738,1.361283e-09,8.86605157901271,474
"SORBI_3009G249800",9,58496840,58504841,1.361283e-09,8.86605157901271,475
"SORBI_3009G249900",9,58520674,58527393,1.361283e-09,8.86605157901271,545
"SORBI_3009G250000",9,58526169,58532645,1.361283e-09,8.86605157901271,500
"SORBI_3009G250100",9,58539048,58543991,1.470588e-09,8.83250898219336,413
"SORBI_3009G237300",9,57552925,57553750,1.536653e-09,8.81342419183608,431
"SORBI_3009G237350",9,57557465,57564069,1.536653e-09,8.81342419183608,484
"SORBI_3009G237400",9,57565192,57575775,1.536653e-09,8.81342419183608,627
"SORBI_3009G237500",9,57575656,57576950,1.536653e-09,8.81342419183608,465
"SORBI_3009G237600",9,57581046,57585953,1.536653e-09,8.81342419183608,430
"SORBI_3009G221400",9,56455661,56457180,1.65855e-09,8.78027143135175,683
"SORBI_3009G221500",9,56464843,56469136,1.65855e-09,8.78027143135175,722
"SORBI_3009G242900",9,57929325,57936036,1.732877e-09,8.76123226251231,324
"SORBI_3009G243000",9,57935573,57937562,1.732877e-09,8.76123226251231,244
"SORBI_3009G243100",9,57939843,57943179,1.732877e-09,8.76123226251231,241
"SORBI_3009G243200",9,57947570,57950126,1.732877e-09,8.76123226251231,237
"SORBI_3009G245600",9,58116278,58119843,1.841017e-09,8.73494220119066,517
"SORBI_3009G242700",9,57919723,57920642,1.8558e-09,8.73146882961318,501
"SORBI_3009G241200",9,57824427,57829062,1.939035e-09,8.71241435174147,606
"SORBI_3009G241300",9,57831731,57833246,1.939035e-09,8.71241435174147,551
"SORBI_3009G241400",9,57833247,57834977,1.939035e-09,8.71241435174147,558
"SORBI_3009G241500",9,57840234,57841783,1.939035e-09,8.71241435174147,498
"SORBI_3009G241600",9,57846240,57848402,1.939035e-09,8.71241435174147,505
"SORBI_3009G241700",9,57849592,57852737,1.939035e-09,8.71241435174147,567
"SORBI_3009G241801",9,57857672,57859371,1.939035e-09,8.71241435174147,489
"SORBI_3009G241900",9,57863194,57864332,1.939035e-09,8.71241435174147,497
"SORBI_3009G249500",9,58461666,58466785,2.039126e-09,8.69055593782458,341
"SORBI_3009G249600",9,58470190,58472997,2.039126e-09,8.69055593782458,355
"SORBI_3009G240900",9,57805385,57809048,2.210758e-09,8.65545879474229,586
"SORBI_3009G241000",9,57810429,57812688,2.210758e-09,8.65545879474229,548
"SORBI_3009G241100",9,57815066,57818280,2.210758e-09,8.65545879474229,545
"SORBI_3009G249100",9,58433687,58437950,2.332007e-09,8.6322701502866,302
"SORBI_3009G249200",9,58448695,58453930,2.332007e-09,8.6322701502866,311
"SORBI_3009G249301",9,58456210,58457647,2.332007e-09,8.6322701502866,270
"SORBI_3009G249400",9,58459026,58461413,2.332007e-09,8.6322701502866,279
"SORBI_3009G242800",9,57922001,57925947,2.354091e-09,8.62817675303295,456
"SORBI_3009G244000",9,58015060,58017093,2.494376e-09,8.6030380807624,442
"SORBI_3009G244100",9,58017213,58028658,2.494376e-09,8.6030380807624,479
"SORBI_3009G244200",9,58020542,58023140,2.494376e-09,8.6030380807624,425
"SORBI_3009G244300",9,58029456,58032033,2.494376e-09,8.6030380807624,369
"SORBI_3009G244450",9,58032713,58035434,2.494376e-09,8.6030380807624,342
"SORBI_3009G244600",9,58036575,58038434,2.494376e-09,8.6030380807624,320
"SORBI_3009G222500",9,56526542,56529713,3.323664e-09,8.47838288691006,447
"SORBI_3009G249000",9,58428174,58432405,3.499797e-09,8.45595714546019,312
"SORBI_3005G108700",5,21057351,21058389,3.538597e-09,8.45116889501779,509
"SORBI_3005G108801",5,21058607,21075607,3.538597e-09,8.45116889501779,816
"SORBI_3009G240400",9,57788800,57789692,3.662156e-09,8.43626315962576,510
"SORBI_3009G246400",9,58197873,58203205,5.052275e-09,8.2965130184231,328
"SORBI_3009G222900",9,56546253,56549969,5.206204e-09,8.28347881848984,497
"SORBI_3009G223000",9,56547804,56548167,5.206204e-09,8.28347881848984,465
"SORBI_3009G223100",9,56567273,56568899,5.206204e-09,8.28347881848984,341
"SORBI_3009G223200",9,56573111,56578304,5.206204e-09,8.28347881848984,452
"SORBI_3009G223300",9,56594236,56596576,5.206204e-09,8.28347881848984,460
"SORBI_3009G223400",9,56596707,56598792,5.206204e-09,8.28347881848984,473
"SORBI_3009G240500",9,57791485,57792708,5.40957e-09,8.26683725505039,493
"SORBI_3009G240600",9,57793773,57798036,5.40957e-09,8.26683725505039,484
"SORBI_3009G240700",9,57799754,57804273,5.40957e-09,8.26683725505039,526
"SORBI_3009G223500",9,56601555,56606204,5.469443e-09,8.26205689932351,472
"SORBI_3009G223600",9,56607425,56611190,5.469443e-09,8.26205689932351,503
"SORBI_3009G223700",9,56611263,56611790,5.469443e-09,8.26205689932351,504
"SORBI_3009G245400",9,58104366,58112009,5.687902e-09,8.24504789491294,494
"SORBI_3009G245500",9,58112752,58115949,5.687902e-09,8.24504789491294,416
"SORBI_3009G250200",9,58544303,58547422,6.32598e-09,8.19887218546857,451
"SORBI_3009G250300",9,58550495,58552539,6.32598e-09,8.19887218546857,492
"SORBI_3009G250400",9,58569482,58571936,6.32598e-09,8.19887218546857,333
"SORBI_3009G245200",9,58090508,58094256,6.466115e-09,8.1893565757187,426
"SORBI_3009G245300",9,58096939,58098076,6.466115e-09,8.1893565757187,404
"SORBI_3006G067150",6,42758806,42759413,7.511869e-09,8.12425199436724,623
"SORBI_3006G067200",6,42760512,42761535,7.511869e-09,8.12425199436724,562
"SORBI_3006G067300",6,42769007,42770832,7.511869e-09,8.12425199436724,565
"SORBI_3006G067400",6,42774078,42778987,7.511869e-09,8.12425199436724,504
"SORBI_3006G067500",6,42781244,42785442,7.511869e-09,8.12425199436724,446
"SORBI_3006G067600",6,42785485,42802516,7.511869e-09,8.12425199436724,625
"SORBI_3006G067700",6,42803037,42807520,7.511869e-09,8.12425199436724,475
"SORBI_3009G248600",9,58408297,58410830,7.843192e-09,8.10550715340507,323
"SORBI_3009G248700",9,58415605,58417155,7.843192e-09,8.10550715340507,304
"SORBI_3009G248801",9,58417784,58421633,7.843192e-09,8.10550715340507,270
"SORBI_3009G248900",9,58425095,58428172,7.843192e-09,8.10550715340507,285
"SORBI_3007G163901",7,59845372,59847591,9.978359e-09,8.00094087512982,353
"SORBI_3007G164000",7,59857721,59861140,9.978359e-09,8.00094087512982,635
"SORBI_3009G250500",9,58573119,58574586,1.01037e-08,7.99551955737343,322
"SORBI_3009G222800",9,56542104,56544279,1.206067e-08,7.91862856539483,447
"SORBI_3002G174801",2,55290765,55292603,1.232517e-08,7.90920708182333,482
"SORBI_3006G067800",6,42823157,42825066,1.268946e-08,7.89655685891476,330
"SORBI_3006G067900",6,42825191,42830591,1.268946e-08,7.89655685891476,333
