"GENE","CHR","START","STOP","NSNPS","ZSTAT","P","FDR","Bonferroni"
"SORBI_3009G229300",9,57003700,57027328,63,7.1342,4.8629e-13,7.18165757826087e-10,1.651781243e-08
"SORBI_3009G229000",9,56960404,56982979,164,6.1742,5.2802e-13,7.409289644e-10,1.793525534e-08
"SORBI_3009G229700",9,57022871,57046097,81,5.6266,5.4533e-13,7.409289644e-10,1.852322411e-08
"SORBI_3009G226400",9,56786639,56813516,109,7.768,6.3951e-13,8.35470621923077e-10,2.172223617e-08
"SORBI_3009G226200",9,56777493,56798959,46,7.0897,8.5177e-13,1.07031188275862e-09,2.893207159e-08
"SORBI_3009G226700",9,56808055,56829675,153,6.8864,8.9766e-13,1.07031188275862e-09,3.049081722e-08
"SORBI_3009G227600",9,56872327,56896625,57,5.2186,9.138e-13,1.07031188275862e-09,3.10390446e-08
"SORBI_3009G226600",9,56800016,56827272,174,7.2291,1.0209e-12,1.11998462727273e-09,3.46769103e-08
"SORBI_3009G225700",9,56748052,56780192,213,7.4778,1.036e-12,1.11998462727273e-09,3.5189812e-08
"SORBI_3009G226800",9,56809412,56834236,179,7.3031,1.056e-12,1.11998462727273e-09,3.5869152e-08
"SORBI_3009G229500",9,57012933,57033322,33,6.7836,1.0881e-12,1.11998462727273e-09,3.69594927e-08
"SORBI_3009G229200",9,56981373,57006042,170,7.5883,1.1906e-12,1.18944441764706e-09,4.04411102e-08
"SORBI_3009G230300",9,57047294,57067964,238,7.5613,1.34e-12,1.27495593513514e-09,4.551578e-08
"SORBI_3009G224400",9,56642597,56666038,313,7.0889,1.3547e-12,1.27495593513514e-09,4.60150949e-08
"SORBI_3009G226300",9,56781043,56806233,75,7.5295,1.3888e-12,1.27495593513514e-09,4.71733696e-08
"SORBI_3006G057300",6,40232354,40254140,116,5.5226,1.4572e-12,1.28859199512195e-09,4.94967124e-08
"SORBI_3009G238650",9,57647443,57668159,134,6.7959,1.5258e-12,1.28859199512195e-09,5.18268486e-08
"SORBI_3009G238700",9,57652408,57677376,122,6.733,1.5258e-12,1.28859199512195e-09,5.18268486e-08
"SORBI_3009G226100",9,56774891,56796990,84,7.0349,1.5554e-12,1.28859199512195e-09,5.28322718e-08
"SORBI_3009G225300",9,56714382,56737042,122,6.1079,1.6388e-12,1.32535999047619e-09,5.56651196e-08
"SORBI_3009G226000",9,56773563,56794733,105,7.0572,1.9443e-12,1.53586135116279e-09,6.60420381e-08
"SORBI_3009G224300",9,56633331,56657878,318,6.6748,2.045e-12,1.57869352272727e-09,6.9462515e-08
"SORBI_3009G225900",9,56769467,56792784,121,7.2091,2.2405e-12,1.69117918888889e-09,7.61030635e-08
"SORBI_3009G227100",9,56839424,56863773,83,5.3759,2.3636e-12,1.74531306956522e-09,8.02844012e-08
"SORBI_3009G238500",9,57629492,57651346,191,6.8135,2.6348e-12,1.86450524166667e-09,8.94962516e-08
"SORBI_3009G238600",9,57642425,57665397,202,6.8018,2.6348e-12,1.86450524166667e-09,8.94962516e-08
"SORBI_3009G230400",9,57048073,57070459,251,7.5817,3.1737e-12,2.14475476538462e-09,1.078010679e-07
"SORBI_3009G225100",9,56695194,56721347,337,6.7105,3.2776e-12,2.14475476538462e-09,1.113302392e-07
"SORBI_3009G225200",9,56701864,56724239,245,6.3758,3.2776e-12,2.14475476538462e-09,1.113302392e-07
"SORBI_3009G225800",9,56765816,56786951,126,7.1523,3.2834e-12,2.14475476538462e-09,1.115272478e-07
"SORBI_3009G226900",9,56814723,56837765,138,6.7109,4.7921e-12,3.07119359811321e-09,1.627732607e-07
"SORBI_3009G227000",9,56826492,56855125,115,6.355,5.1198e-12,3.22044901111111e-09,1.739042466e-07
"SORBI_3009G230700",9,57062774,57086364,178,7.7069,5.5531e-12,3.42949359454545e-09,1.886221477e-07
"SORBI_3009G225600",9,56735759,56757418,160,6.3575,6.3362e-12,3.84324473928571e-09,2.152217054e-07
"SORBI_3009G230500",9,57051616,57075103,255,7.566,7.9241e-12,4.72206850350877e-09,2.691579047e-07
"SORBI_3009G224900",9,56683608,56703868,281,6.1776,1.0302e-11,5.95170925423729e-09,3.49928034e-07
"SORBI_3004G147950",4,46461811,46483606,154,5.3646,1.0338e-11,5.95170925423729e-09,3.51150846e-07
"SORBI_3009G232200",9,57206583,57228020,116,7.2862,1.0802e-11,6.11519223333333e-09,3.66911534e-07
"SORBI_3006G057100",6,40211423,40251927,131,5.3075,1.229e-11,6.84351524590164e-09,4.1745443e-07
"SORBI_3009G229800",9,57028653,57051166,99,5.3946,1.3286e-11,7.27879938709677e-09,4.51285562e-07
"SORBI_3009G232332",9,57220806,57242598,140,7.049,1.8729e-11,1.00979038571429e-08,6.36167943e-07
"SORBI_3009G232400",9,57225138,57249543,145,6.902,1.9398e-11,1.029518540625e-08,6.58891866e-07
"SORBI_3009G238300",9,57620301,57642518,146,5.828,2.3224e-11,1.21361478153846e-08,7.88849608e-07
"SORBI_3009G231800",9,57178679,57204389,203,7.0902,2.7583e-11,1.41956327424242e-08,9.36911761e-07
"SORBI_3009G239600",9,57737754,57760919,167,6.2531,3.1939e-11,1.59540001911765e-08,1.084872013e-06
"SORBI_3009G239700",9,57743538,57763792,106,6.5802,3.1939e-11,1.59540001911765e-08,1.084872013e-06
"SORBI_3009G247200",9,58248253,58270963,274,6.5131,3.5164e-11,1.70630798285714e-08,1.194415588e-06
"SORBI_3009G247300",9,58251832,58275060,294,6.648,3.5164e-11,1.70630798285714e-08,1.194415588e-06
"SORBI_3009G225000",9,56684166,56706919,329,6.0825,3.815e-11,1.82512823943662e-08,1.29584105e-06
"SORBI_3009G224800",9,56678132,56701971,248,6.0497,4.3041e-11,2.03051895416667e-08,1.461973647e-06
"SORBI_3009G246800",9,58229184,58253871,101,6.2887,5.1137e-11,2.37941161506849e-08,1.736970479e-06
"SORBI_3009G224600",9,56660457,56684025,190,6.4024,5.7821e-11,2.50031516962025e-08,1.964005907e-06
"SORBI_3009G235100",9,57421364,57445521,89,6.3206,5.8152e-11,2.50031516962025e-08,1.975248984e-06
"SORBI_3009G235200",9,57425031,57450215,100,6.5316,5.8152e-11,2.50031516962025e-08,1.975248984e-06
"SORBI_3009G235300",9,57430852,57456671,112,6.6083,5.8152e-11,2.50031516962025e-08,1.975248984e-06
"SORBI_3009G235400",9,57431778,57452085,101,6.5085,5.8152e-11,2.50031516962025e-08,1.975248984e-06
"SORBI_3009G235500",9,57433765,57455058,85,6.5002,5.8152e-11,2.50031516962025e-08,1.975248984e-06
"SORBI_3006G057733",6,40267211,40290277,378,5.021,6.5871e-11,2.79680032125e-08,2.237440257e-06
"SORBI_3009G247100",9,58242379,58265448,221,6.0757,8.3518e-11,3.50229124197531e-08,2.836855906e-06
"SORBI_3009G233100",9,57262692,57283552,111,6.037,1.1274e-10,4.67004826829268e-08,3.82943958e-06
"SORBI_3009G244800",9,58052916,58074055,96,5.939,1.1965e-10,4.8382756547619e-08,4.06415155e-06
"SORBI_3009G244900",9,58054779,58079498,91,6.0872,1.1965e-10,4.8382756547619e-08,4.06415155e-06
"SORBI_3009G232000",9,57192945,57217627,181,6.94,1.2219e-10,4.88285615294118e-08,4.15042773e-06
"SORBI_3009G224200",9,56628818,56649393,189,6.3204,1.2734e-10,5.02948579069767e-08,4.32535778e-06
"SORBI_3009G225250",9,56708951,56729259,135,5.9816,1.4515e-10,5.66702304597701e-08,4.93031005e-06
"SORBI_3009G243500",9,57961301,57986036,126,6.4086,1.5594e-10,6.01910679545455e-08,5.29681398e-06
"SORBI_3009G233200",9,57269798,57302686,182,6.4584,2.008e-10,7.66356584269663e-08,6.8205736e-06
"SORBI_3009G244700",9,58042518,58070857,107,5.8469,3.2568e-10,1.22915250666667e-07,1.106237256e-05
"SORBI_3009G232500",9,57229720,57250394,86,6.0851,3.6702e-10,1.36995256483516e-07,1.246656834e-05
"SORBI_3009G236800",9,57519958,57541904,124,5.177,4.4894e-10,1.63969300860215e-07,1.524914498e-05
"SORBI_3009G236950",9,57522432,57544320,138,5.1273,4.4894e-10,1.63969300860215e-07,1.524914498e-05
"SORBI_3009G234900",9,57408453,57432639,78,6.0055,5.515e-10,1.99285111702128e-07,1.87328005e-05
"SORBI_3009G243600",9,57970765,57993849,166,6.654,6.125e-10,2.18997763157895e-07,2.08047875e-05
"SORBI_3009G246100",9,58157573,58179699,388,5.9475,6.5354e-10,2.31237428958333e-07,2.219879318e-05
"SORBI_3009G229100",9,56975306,56996397,140,6.0674,7.2781e-10,2.54861054329897e-07,2.472152227e-05
"SORBI_3009G235700",9,57453125,57478608,206,6.4714,7.4644e-10,2.58717627346939e-07,2.535432748e-05
"SORBI_3009G255300",9,58909834,58934289,179,5.6409,7.6972e-10,2.6409170949495e-07,2.614507924e-05
"SORBI_3009G239250",9,57690001,57710589,129,6.2131,8.4688e-10,2.876597296e-07,2.876597296e-05
"SORBI_3009G220500",9,56374562,56400232,396,6.4355,8.8988e-10,2.99272811485149e-07,3.022655396e-05
"SORBI_3009G233300",9,57289335,57311668,98,5.9945,9.2865e-10,3.09249554411765e-07,3.154345455e-05
"SORBI_3009G236900",9,57522378,57543864,131,5.0704,9.4539e-10,3.11767593495146e-07,3.211206213e-05
"SORBI_3009G224700",9,56664026,56687144,182,6.106,9.809e-10,3.20367599038462e-07,3.33182303e-05
"SORBI_3009G245900",9,58149960,58171767,290,5.5251,1.3071e-09,4.22840625714286e-07,4.43982657e-05
"SORBI_3009G242250",9,57880244,57901399,364,5.5948,1.3512e-09,4.32983116981132e-07,4.58962104e-05
"SORBI_3009G234000",9,57313489,57333887,82,6.1001,1.3853e-09,4.39761542990654e-07,4.70544851e-05
"SORBI_3009G221800",9,56474791,56497061,372,5.5629,1.6585e-09,5.21613606481481e-07,5.63342695e-05
"SORBI_3009G233500",9,57297497,57320287,66,6.1808,1.753e-09,5.46276614678899e-07,5.9544151e-05
"SORBI_3009G245800",9,58135966,58165902,382,5.4519,1.841e-09,5.67891518918919e-07,6.2533247e-05
"SORBI_3009G242400",9,57892029,57915627,407,5.3676,1.8558e-09,5.67891518918919e-07,6.30359586e-05
"SORBI_3009G246700",9,58221144,58246699,102,5.9492,1.9786e-09,6.00063448214286e-07,6.72071062e-05
"SORBI_3009G231900",9,57185391,57208323,146,6.486,2.0136e-09,6.05273904424779e-07,6.83959512e-05
"SORBI_3009G255600",9,58930398,58959169,59,5.7908,2.09e-09,6.22728333333333e-07,7.099103e-05
"SORBI_3002G379200",2,73508318,73536352,278,4.7322,2.3443e-09,6.89325126724138e-07,7.96288381e-05
"SORBI_3009G242900",9,57919325,57946036,124,5.2253,2.3541e-09,6.89325126724138e-07,7.99617147e-05
"SORBI_3009G244300",9,58019456,58042033,90,5.53,2.4944e-09,7.24164827350427e-07,8.47272848e-05
"SORBI_3009G247500",9,58282827,58303998,262,5.604,2.5705e-09,7.39933673728814e-07,8.73121735e-05
"SORBI_3009G237900",9,57591033,57612659,198,4.9958,2.6297e-09,7.50613612605042e-07,8.93230199e-05
"SORBI_3009G247601",9,58287525,58314180,351,5.8645,2.6827e-09,7.59360590833333e-07,9.11232709e-05
"SORBI_3009G238200",9,57618850,57640763,123,5.0495,2.7101e-09,7.60776584297521e-07,9.20539667e-05
"SORBI_3009G243000",9,57925573,57947562,128,5.2485,2.7464e-09,7.64647285245902e-07,9.32869688e-05
"SORBI_3009G239400",9,57706797,57727335,143,6.4181,2.8114e-09,7.76380681300813e-07,9.54948238e-05
"SORBI_3009G234800",9,57400046,57425965,105,5.5899,2.8892e-09,7.914311e-07,9.81374564e-05
"SORBI_3009G233800",9,57308186,57331926,89,6.4406,3.0338e-09,8.243926768e-07,0.0001030490846
"SORBI_3009G239500",9,57709129,57736152,159,6.4011,3.126e-09,8.42705095238095e-07,0.000106180842
"SORBI_3009G242300",9,57889419,57910289,410,5.296,3.5895e-09,9.60035799212599e-07,0.0001219245465
"SORBI_3002G379100",2,73508841,73531876,270,4.6715,3.6903e-09,9.7928453203125e-07,0.0001253484201
"SORBI_3009G241801",9,57847672,57869371,190,5.8861,3.8781e-09,1.01984611076923e-06,0.0001317274227
"SORBI_3009G246950",9,58237025,58261886,222,5.8026,3.9032e-09,1.01984611076923e-06,0.0001325799944
"SORBI_3009G238800",9,57657737,57681319,75,6.0462,4.178e-09,1.0833139389313e-06,0.000141914126
"SORBI_3009G241400",9,57823247,57844977,254,5.2236,4.4215e-09,1.13115179701493e-06,0.0001501850905
"SORBI_3009G224500",9,56647463,56669100,283,6.0393,4.4296e-09,1.13115179701493e-06,0.0001504602232
"SORBI_3009G219500",9,56292671,56315987,213,4.7219,4.4624e-09,1.13115179701493e-06,0.0001515743408
"SORBI_3009G219400",9,56286812,56310390,239,4.5288,5.0097e-09,1.26047762888889e-06,0.0001701644799
"SORBI_3009G223200",9,56563111,56588304,140,5.1707,5.2062e-09,1.30028673088235e-06,0.0001768389954
"SORBI_3009G234100",9,57332319,57355920,79,4.4601,5.3194e-09,1.31886175036496e-06,0.0001806840598
"SORBI_3009G235000",9,57413992,57440687,98,5.8664,5.6989e-09,1.40271403115942e-06,0.0001935745363
"SORBI_3009G233900",9,57311927,57333292,87,6.2508,5.8581e-09,1.41745977304965e-06,0.0001989820827
"SORBI_3009G232100",9,57202884,57225102,96,6.5787,5.865e-09,1.41745977304965e-06,0.000199216455
"SORBI_3009G241200",9,57814427,57839062,219,5.0123,5.884e-09,1.41745977304965e-06,0.000199861828
"SORBI_3006G067600",6,42775485,42812516,326,5.3461,7.5119e-09,1.79687822042254e-06,0.0002551567073
"SORBI_3002G379201",2,73520009,73540805,80,4.6014,8.6344e-09,2.05094171188811e-06,0.0002932846648
"SORBI_3009G248600",9,58398297,58420830,91,4.6689,8.7566e-09,2.06552383472222e-06,0.0002974354322
"SORBI_3009G232700",9,57233373,57255946,57,5.0202,8.881e-09,2.0804201862069e-06,0.000301660927
"SORBI_3009G237000",9,57524371,57549168,225,4.6655,8.9682e-09,2.08645787260274e-06,0.0003046228494
"SORBI_3009G248100",9,58321694,58342630,102,5.8125,9.3654e-09,2.16404450204082e-06,0.0003181145418
"SORBI_3009G250000",9,58516169,58542645,269,5.8274,9.768e-09,2.22741452080537e-06,0.000331789656
"SORBI_3009G233700",9,57304341,57327200,64,6.2618,9.7708e-09,2.22741452080537e-06,0.0003318847636
"SORBI_3009G233400",9,57291955,57314282,101,5.8997,1.014e-08,2.2961692e-06,0.00034442538
"SORBI_3009G233600",9,57300528,57324323,67,6.1806,1.0229e-08,2.30098306622517e-06,0.000347448443
"SORBI_3009G249800",9,58486840,58514841,311,5.1507,1.05e-08,2.33217866013072e-06,0.0003566535
"SORBI_3009G222000",9,56481188,56502179,384,5.2559,1.0505e-08,2.33217866013072e-06,0.000356823335
"SORBI_3009G240400",9,57778800,57799692,205,5.6185,1.1157e-08,2.46084298051948e-06,0.000378969819
"SORBI_3009G239351",9,57692655,57716002,176,6.3291,1.1583e-08,2.53832103870968e-06,0.000393439761
"SORBI_3009G236600",9,57515244,57535910,116,4.8265,1.1967e-08,2.60566082692308e-06,0.000406483089
"SORBI_3009G255400",9,58914534,58935818,175,5.4064,1.2151e-08,2.62887271974522e-06,0.000412733017
"SORBI_3009G239000",9,57677169,57698124,130,5.3346,1.2506e-08,2.6885525443038e-06,0.000424791302
"SORBI_3009G236400",9,57503307,57525626,79,4.6401,1.2843e-08,2.74363635849057e-06,0.000436238181
"SORBI_3009G247400",9,58268978,58296549,385,5.839,1.3026e-08,2.7653383875e-06,0.000442454142
"SORBI_3009G241000",9,57800429,57822688,207,5.5445,1.3361e-08,2.81883904968944e-06,0.000453833087
"SORBI_3009G236700",9,57517773,57539957,127,4.8069,1.3656e-08,2.8632922962963e-06,0.000463853352
"SORBI_3009G235600",9,57445381,57470430,179,6.5086,1.4357e-08,2.99180502453988e-06,0.000487664219
"SORBI_3006G057000",6,40210048,40243860,97,4.3323,1.507e-08,3.12123591463415e-06,0.00051188269
"SORBI_3009G247700",9,58299106,58320986,155,5.7853,1.5522e-08,3.19536832727273e-06,0.000527235774
"SORBI_3009G255500",9,58922514,58945628,176,5.2914,1.635e-08,3.34554487951807e-06,0.00055536045
"SORBI_3009G233000",9,57254786,57279445,146,5.2521,1.6459e-08,3.34768175449102e-06,0.000559062853
"SORBI_3009G248300",9,58330470,58355567,121,5.6342,1.7585e-08,3.55541485119048e-06,0.000597309695
"SORBI_3006G067500",6,42771244,42795442,219,5.2208,1.8311e-08,3.66743697058824e-06,0.000621969737
"SORBI_3009G235801",9,57459312,57480337,194,6.0178,1.8355e-08,3.66743697058824e-06,0.000623464285
"SORBI_3009G239301",9,57691724,57712144,117,6.0894,1.958e-08,3.88932081871345e-06,0.00066507386
"SORBI_3009G224100",9,56620392,56642188,228,5.1023,2.0003e-08,3.95024361046512e-06,0.000679441901
"SORBI_3009G238850",9,57666021,57688816,99,5.2131,2.0551e-08,4.01747620689655e-06,0.000698055817
"SORBI_3009G245000",9,58063718,58089719,172,5.5445,2.058e-08,4.01747620689655e-06,0.00069904086
"SORBI_3009G242501",9,57898190,57919947,260,5.0678,2.2743e-08,4.41435132e-06,0.000772511481
"SORBI_3009G221500",9,56454843,56479136,287,5.8585,2.4525e-08,4.73318565340909e-06,0.000833040675
"SORBI_3009G249200",9,58438695,58463930,120,5.5661,2.5122e-08,4.82101115254237e-06,0.000853318974
"SORBI_3009G236500",9,57506030,57527708,77,4.6538,2.617e-08,4.99391230337079e-06,0.00088891639
"SORBI_3009G232900",9,57247074,57268739,71,4.6781,2.688e-08,5.10074279329609e-06,0.00091303296
"SORBI_3009G239101",9,57684451,57709567,172,5.5293,2.8784e-08,5.425899839779e-06,0.000977706128
"SORBI_3009G237500",9,57565656,57586950,127,4.6248,2.8913e-08,5.425899839779e-06,0.000982087871
"SORBI_3009G250800",9,58572093,58594191,136,4.8548,3.0094e-08,5.61649943956044e-06,0.001022202898
"SORBI_3009G238900",9,57670872,57694861,149,5.2463,3.093e-08,5.74097983606557e-06,0.00105059931
"SORBI_3009G240600",9,57783773,57808036,292,5.5928,3.1217e-08,5.76275999456522e-06,0.001060347839
"SORBI_3009G246200",9,58166436,58189009,291,5.1582,3.1778e-08,5.83461257297297e-06,0.001079403326
"SORBI_3009G238100",9,57606677,57630928,121,4.9234,3.2751e-08,5.98093127419355e-06,0.001112453217
"SORBI_3009G223300",9,56584236,56606576,192,5.0385,3.3428e-08,6.07191912299465e-06,0.001135448876
"SORBI_3009G246000",9,58152912,58175270,344,5.2679,3.4999e-08,6.32346294148936e-06,0.001188811033
"SORBI_3009G250100",9,58529048,58553991,232,5.6964,3.5668e-08,6.40599742631579e-06,0.001211534956
"SORBI_3002G379000",2,73504313,73528343,333,4.376,3.5833e-08,6.40599742631579e-06,0.001217139511
"SORBI_3009G249900",9,58510674,58537393,198,5.6141,3.9526e-08,7.02921278534031e-06,0.001342579642
"SORBI_3009G248200",9,58328230,58349825,97,5.5574,3.9832e-08,7.04673720833333e-06,0.001352973544
"SORBI_3009G237400",9,57555192,57585775,205,4.8459,4.1283e-08,7.2655940984456e-06,0.001402259661
"SORBI_3009G244600",9,58026575,58048434,76,5.3451,4.1833e-08,7.32444077835052e-06,0.001420941511
"SORBI_3009G240100",9,57765490,57787327,168,5.434,4.3184e-08,7.52220988717949e-06,0.001466830928
"SORBI_3009G239200",9,57686343,57708475,144,5.5093,4.3491e-08,7.53703467857143e-06,0.001477258797
"SORBI_3009G238000",9,57592900,57621460,222,4.7683,4.4663e-08,7.70085340609137e-06,0.001517068121
"SORBI_3009G242800",9,57912001,57935947,102,5.0708,4.9819e-08,8.54647461111111e-06,0.001692201973
"SORBI_3009G240500",9,57781485,57802708,252,5.5235,5.317e-08,9.07550447236181e-06,0.00180602539
"SORBI_3009G220400",9,56370987,56392413,393,5.8495,6.0671e-08,1.0304059285e-05,0.002060811857
"SORBI_3009G242600",9,57904633,57928884,138,5.1334,6.3196e-08,1.06794951840796e-05,0.002146578532
"SORBI_3009G236000",9,57467811,57490989,189,6.2841,6.555e-08,1.10224596534653e-05,0.00222653685
"SORBI_3009G236150",9,57481010,57503095,128,4.8968,6.9563e-08,1.16396375418719e-05,0.002362846421
"SORBI_3009G246600",9,58215555,58237912,56,5.2906,7.2353e-08,1.20471291715686e-05,0.002457614351
"SORBI_3009G244200",9,58010542,58033140,234,5.5201,7.4327e-08,1.23154400439024e-05,0.002524665209
"SORBI_3009G221000",9,56404893,56430312,261,4.657,7.4746e-08,1.23247445728155e-05,0.002538897382
"SORBI_3009G241900",9,57853194,57874332,129,5.6468,8.219e-08,1.34867040096618e-05,0.00279174773
"SORBI_3009G239800",9,57745352,57766129,106,5.8238,8.339e-08,1.36178275480769e-05,0.00283250813
"SORBI_3009G245750",9,58129778,58150433,243,4.4824,8.5132e-08,1.38357829856459e-05,0.002891678644
"SORBI_3009G221900",9,56478517,56500066,392,4.9357,8.7148e-08,1.40872900616114e-05,0.002960156116
"SORBI_3009G236100",9,57477095,57499650,122,5.0357,8.7509e-08,1.40872900616114e-05,0.002972418203
"SORBI_3009G243400",9,57951949,57978757,100,5.651,9.2096e-08,1.4755777509434e-05,0.003128224832
"SORBI_3009G220966",9,56399533,56419903,224,4.7241,9.2785e-08,1.47963760328638e-05,0.003151628095
"SORBI_3009G222200",9,56498972,56526436,241,5.2241,9.4481e-08,1.49964305e-05,0.003209236127
"SORBI_3009G222100",9,56485581,56511057,429,5.1104,9.5862e-08,1.51448583906977e-05,0.003256144554
"SORBI_3009G243200",9,57937570,57960126,120,5.6063,9.918e-08,1.55965141666667e-05,0.00336884706
"SORBI_3009G240900",9,57795385,57819048,262,5.3972,1.0211e-07,1.598327359447e-05,0.00346837037
"SORBI_3009G231700",9,57144263,57171564,188,5.3977,1.0402e-07,1.62075566055046e-05,0.00353324734
"SORBI_3009G235900",9,57463771,57488289,206,5.9993,1.101e-07,1.70765602739726e-05,0.0037397667
"SORBI_3009G239900",9,57750417,57773893,146,5.6782,1.1486e-07,1.77320035746606e-05,0.00390144962
"SORBI_3006G067700",6,42793037,42817520,187,4.9314,1.1537e-07,1.77320035746606e-05,0.00391877279
"SORBI_3009G242032",9,57855966,57877271,148,5.4452,1.1808e-07,1.80667718918919e-05,0.00401082336
"SORBI_3009G242200",9,57867842,57893218,243,5.0732,1.2385e-07,1.88646320627803e-05,0.00420681295
"SORBI_3009G223500",9,56591555,56616204,289,4.9306,1.2514e-07,1.89760284821429e-05,0.00425063038
"SORBI_3009G250900",9,58577079,58602970,82,5.263,1.2666e-07,1.91211565333333e-05,0.00430226022
"SORBI_3009G247900",9,58304958,58325781,143,5.7114,1.3003e-07,1.95430487168142e-05,0.00441672901
"SORBI_3009G241100",9,57805066,57828280,180,4.7674,1.389e-07,2.07842127753304e-05,0.0047180163
"SORBI_3009G243100",9,57929843,57953179,130,4.9402,1.4149e-07,2.10789071491228e-05,0.00480599083
"SORBI_3009G212900",9,55831000,55870588,101,4.3565,1.5238e-07,2.26021461135371e-05,0.00517589146
"SORBI_3009G245500",9,58102752,58125949,151,5.2476,1.5314e-07,2.26161146956522e-05,0.00520170638
"SORBI_3009G249400",9,58449026,58471413,147,5.5101,1.6551e-07,2.43371349350649e-05,0.00562187817
"SORBI_3009G242700",9,57909723,57930642,71,5.5593,1.6714e-07,2.44708809482759e-05,0.00567724438
"SORBI_3009G220800",9,56382699,56407753,320,5.3167,1.7658e-07,2.57420294420601e-05,0.00599789286
"SORBI_3009G244450",9,58022713,58045434,72,5.2403,1.796e-07,2.60703982905983e-05,0.0061004732
"SORBI_3009G240700",9,57789754,57814273,291,5.5302,1.8634e-07,2.6933662893617e-05,0.00632941078
"SORBI_3009G251000",9,58584711,58610751,89,5.4082,1.8891e-07,2.71436291176471e-05,0.00641670597
"SORBI_3009G241700",9,57839592,57862737,251,5.6715,1.8969e-07,2.71436291176471e-05,0.00644320023
"SORBI_3009G241600",9,57836240,57858402,263,5.5476,1.9019e-07,2.71436291176471e-05,0.00646018373
"SORBI_3006G058400",6,40453238,40476882,75,3.997,1.9603e-07,2.78600460669456e-05,0.00665855101
"SORBI_3009G234700",9,57385387,57414990,167,4.4437,2.1073e-07,2.98244412916667e-05,0.00715786591
"SORBI_3009G249301",9,58446210,58467647,103,5.372,2.129e-07,3.00065323651452e-05,0.0072315743
"SORBI_3009G223100",9,56557273,56578899,213,5.1721,2.234e-07,3.13563132231405e-05,0.0075882278
"SORBI_3009G223400",9,56586707,56608792,222,4.9615,2.323e-07,3.2471333744856e-05,0.0078905341
"SORBI_3009G220700",9,56381297,56402521,282,5.594,2.5095e-07,3.49345026639344e-05,0.00852401865
"SORBI_3009G220600",9,56380440,56401127,283,5.5932,2.5273e-07,3.50386935102041e-05,0.00858447991
"SORBI_3009G241966",9,57855116,57876312,123,5.3976,2.6707e-07,3.68762873577236e-05,0.00907156669
"SORBI_3009G250700",9,58569386,58591986,169,4.5417,2.7754e-07,3.81668063967611e-05,0.00942720118
"SORBI_3009G245700",9,58122768,58143625,196,5.0195,2.8703e-07,3.93126935887097e-05,0.00974954801
"SORBI_3009G240000",9,57760767,57783833,150,5.5705,3.1913e-07,4.35336895983936e-05,0.01083988871
"SORBI_3009G237350",9,57547465,57574069,213,4.0829,3.2577e-07,4.426171836e-05,0.01106542959
