pathway_id	pathway_name	n_genes	gene_names	gene_pvals	magma_pvalue
PWY3O-450	phosphatidylcholine biosynthesis I	9	Zm00001eb025170;Zm00001eb154820;Zm00001eb172180;Zm00001eb230240;Zm00001eb233270;Zm00001eb278650;Zm00001eb337610;Zm00001eb386530;Zm00001eb415600	5.0091e-01;4.8886e-01;3.4902e-01;1.5689e-01;1.4264e-02;2.5528e-01;9.5463e-01;1.3255e-01;6.2929e-01	0.082969
PROUT-PWY	L-proline degradation I	6	Zm00001eb022980;Zm00001eb289500;Zm00001eb294160;Zm00001eb347680;Zm00001eb367740;Zm00001eb391720	6.5830e-01;2.2337e-01;1.0884e-02;1.7790e-01;5.3031e-02;8.1318e-01	0.084387
PWY-7206	pyrimidine deoxyribonucleotides dephosphorylation	4	Zm00001eb052270;Zm00001eb077570;Zm00001eb241110;Zm00001eb426620	2.6740e-03;2.8795e-02;2.3854e-01;5.5451e-01	0.087713
PWY-6235	hydroxyjasmonate sulfate biosynthesis	2	Zm00001eb122840;Zm00001eb187390	4.7686e-02;2.6666e-01	0.092379
PWY-5060	luteolin biosynthesis	18	Zm00001eb017640;Zm00001eb020100;Zm00001eb040240;Zm00001eb083440;Zm00001eb097920;Zm00001eb100200;Zm00001eb100210;Zm00001eb100220;Zm00001eb103310;Zm00001eb117370;Zm00001eb183650;Zm00001eb183680;Zm00001eb202620;Zm00001eb300490;Zm00001eb314130;Zm00001eb326950;Zm00001eb336520;Zm00001eb351260	5.5121e-01;3.2531e-01;7.2752e-01;8.7367e-01;6.7034e-01;8.4281e-01;8.4281e-01;5.3003e-01;6.0564e-03;4.4307e-01;1.1914e-01;1.1914e-01;2.2975e-03;1.1467e-01;9.6635e-02;8.5333e-01;5.8190e-02;4.5530e-01	0.10149
PWY-2681	<i>trans</i>-zeatin biosynthesis	23	Zm00001eb016630;Zm00001eb045690;Zm00001eb053840;Zm00001eb062030;Zm00001eb077200;Zm00001eb095250;Zm00001eb099270;Zm00001eb131660;Zm00001eb155240;Zm00001eb156350;Zm00001eb160700;Zm00001eb179460;Zm00001eb212350;Zm00001eb221650;Zm00001eb294370;Zm00001eb294970;Zm00001eb297400;Zm00001eb312250;Zm00001eb321030;Zm00001eb357450;Zm00001eb360550;Zm00001eb395930;Zm00001eb426710	1.1354e-02;2.8850e-01;4.8963e-02;6.8582e-01;9.1179e-01;3.1434e-01;7.0399e-01;1.0881e-01;8.5882e-01;1.0292e-01;3.7455e-01;4.6354e-01;8.2706e-01;2.0695e-01;1.0358e-01;8.9348e-01;6.6061e-01;2.6713e-02;9.5301e-01;4.0575e-01;1.1254e-02;5.3549e-01;4.6957e-01	0.10683
PWY-5453	methylglyoxal degradation III	6	Zm00001eb046850;Zm00001eb046870;Zm00001eb108670;Zm00001eb192490;Zm00001eb300950;Zm00001eb309910	6.8542e-01;6.8542e-01;2.9906e-01;8.0426e-02;6.1237e-01;7.1694e-02	0.11666
PWY-7345	superpathway of anaerobic sucrose degradation	2	Zm00001eb229430;Zm00001eb229440	2.5514e-01;6.8600e-02	0.12092
PWY-4361	<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I	11	Zm00001eb004660;Zm00001eb005710;Zm00001eb047770;Zm00001eb127150;Zm00001eb168430;Zm00001eb169620;Zm00001eb218580;Zm00001eb221410;Zm00001eb235160;Zm00001eb314710;Zm00001eb402000	5.0547e-01;2.4481e-04;7.4675e-01;2.1050e-01;4.6582e-01;6.4449e-01;7.6150e-02;8.4643e-01;3.1628e-01;8.0445e-01;8.4493e-01	0.12668
PWY-6786	detoxification of reactive carbonyls in chloroplasts	7	Zm00001eb046850;Zm00001eb046870;Zm00001eb108670;Zm00001eb152950;Zm00001eb192490;Zm00001eb300950;Zm00001eb309910	6.8542e-01;6.8542e-01;2.9906e-01;2.0509e-01;8.0426e-02;6.1237e-01;7.1694e-02	0.1267
PWY-735	jasmonic acid biosynthesis	25	Zm00001eb002570;Zm00001eb005920;Zm00001eb009340;Zm00001eb020680;Zm00001eb025180;Zm00001eb035010;Zm00001eb048810;Zm00001eb058640;Zm00001eb058670;Zm00001eb082050;Zm00001eb131870;Zm00001eb191000;Zm00001eb205210;Zm00001eb214000;Zm00001eb279210;Zm00001eb298620;Zm00001eb308860;Zm00001eb356160;Zm00001eb365590;Zm00001eb373030;Zm00001eb373050;Zm00001eb376020;Zm00001eb379490;Zm00001eb393530;Zm00001eb423430	2.8028e-01;2.8276e-01;2.2544e-01;3.8853e-01;5.0091e-01;6.9835e-01;1.3740e-03;3.5000e-02;3.5000e-02;7.3252e-01;6.0253e-01;7.5858e-01;4.5464e-01;8.5597e-01;1.7595e-01;3.7884e-01;6.9073e-01;8.1261e-01;2.8194e-01;2.5017e-01;1.0955e-01;6.1135e-01;6.8183e-01;7.8209e-01;1.5352e-01	0.1274
GLUTAMATE-DEG1-PWY	L-glutamate degradation I	2	Zm00001eb060520;Zm00001eb427810	4.4646e-01;3.7212e-02	0.13096
GLUCONEO-PWY	gluconeogenesis I	83	Zm00001eb000560;Zm00001eb010390;Zm00001eb011890;Zm00001eb011940;Zm00001eb015770;Zm00001eb026940;Zm00001eb038930;Zm00001eb041400;Zm00001eb045790;Zm00001eb047240;Zm00001eb059070;Zm00001eb059230;Zm00001eb059410;Zm00001eb074700;Zm00001eb085480;Zm00001eb089330;Zm00001eb098760;Zm00001eb101090;Zm00001eb103580;Zm00001eb123700;Zm00001eb124410;Zm00001eb134980;Zm00001eb137080;Zm00001eb137710;Zm00001eb143650;Zm00001eb144240;Zm00001eb146750;Zm00001eb149730;Zm00001eb150720;Zm00001eb154490;Zm00001eb158270;Zm00001eb169830;Zm00001eb171950;Zm00001eb173410;Zm00001eb179730;Zm00001eb184000;Zm00001eb185280;Zm00001eb188850;Zm00001eb200910;Zm00001eb207270;Zm00001eb220780;Zm00001eb233070;Zm00001eb233140;Zm00001eb246370;Zm00001eb254380;Zm00001eb261430;Zm00001eb270050;Zm00001eb281930;Zm00001eb283570;Zm00001eb291670;Zm00001eb296550;Zm00001eb304640;Zm00001eb311450;Zm00001eb315420;Zm00001eb319770;Zm00001eb321980;Zm00001eb328310;Zm00001eb333390;Zm00001eb333420;Zm00001eb334740;Zm00001eb335870;Zm00001eb343400;Zm00001eb348530;Zm00001eb349990;Zm00001eb352550;Zm00001eb357150;Zm00001eb365200;Zm00001eb367890;Zm00001eb368990;Zm00001eb371140;Zm00001eb373750;Zm00001eb377870;Zm00001eb386660;Zm00001eb389720;Zm00001eb397960;Zm00001eb398370;Zm00001eb401670;Zm00001eb408010;Zm00001eb410550;Zm00001eb421480;Zm00001eb424120;Zm00001eb424160;Zm00001eb429910	5.2688e-01;5.0477e-01;4.3960e-01;7.5416e-01;6.9077e-01;5.9690e-02;7.1860e-02;2.6546e-02;2.0583e-01;2.7781e-01;3.4046e-01;1.1051e-01;5.3702e-01;9.3032e-01;5.4116e-01;1.3010e-01;6.6201e-03;1.0742e-02;9.8003e-02;5.3450e-01;5.4617e-01;3.7524e-01;7.1053e-01;7.5643e-01;6.4056e-03;9.4231e-01;3.9112e-02;6.9022e-01;6.9364e-01;8.2833e-01;6.6504e-01;9.3949e-01;4.7018e-01;7.0173e-01;9.4553e-01;9.0732e-02;2.6458e-02;8.1846e-01;9.9812e-01;4.6102e-01;2.1949e-02;7.6475e-01;4.4672e-01;5.0642e-02;7.8892e-01;9.8364e-01;3.3856e-01;5.0373e-01;2.2621e-01;2.5160e-01;2.3329e-01;6.1735e-01;7.9424e-01;3.1885e-01;2.2369e-01;4.0607e-01;1.7953e-01;2.1137e-01;8.6997e-02;7.4279e-01;8.8776e-01;6.2367e-01;5.7704e-01;3.5424e-01;2.1644e-02;2.6970e-01;7.5104e-01;4.2673e-01;5.2876e-01;6.9114e-02;6.8580e-01;7.5321e-01;6.2046e-01;1.6370e-01;1.2648e-01;8.8718e-02;3.8869e-01;2.1145e-01;7.5574e-01;4.8450e-01;1.4172e-01;5.6477e-03;2.9980e-01	0.13868
LEUSYN-PWY	L-leucine biosynthesis	19	Zm00001eb009540;Zm00001eb013280;Zm00001eb017520;Zm00001eb019200;Zm00001eb022930;Zm00001eb074240;Zm00001eb076030;Zm00001eb084930;Zm00001eb093160;Zm00001eb121260;Zm00001eb196510;Zm00001eb208610;Zm00001eb208760;Zm00001eb230780;Zm00001eb249330;Zm00001eb278820;Zm00001eb404340;Zm00001eb405040;Zm00001eb434270	9.8845e-02;3.5166e-01;5.1113e-01;3.5157e-01;6.6622e-01;5.0596e-01;2.8105e-02;1.3788e-01;2.8928e-01;7.2616e-01;2.5715e-02;6.3400e-01;9.1998e-01;9.4273e-01;3.8761e-03;3.2584e-01;6.4613e-01;5.6322e-01;3.9665e-01	0.1495
UDPNACETYLGALSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II	22	Zm00001eb010380;Zm00001eb018150;Zm00001eb059230;Zm00001eb070940;Zm00001eb085490;Zm00001eb101090;Zm00001eb119880;Zm00001eb121400;Zm00001eb153620;Zm00001eb154520;Zm00001eb163520;Zm00001eb188860;Zm00001eb189250;Zm00001eb215830;Zm00001eb226930;Zm00001eb272890;Zm00001eb283530;Zm00001eb315420;Zm00001eb353560;Zm00001eb405240;Zm00001eb413790;Zm00001eb430780	5.0477e-01;5.6625e-01;1.1051e-01;7.3116e-01;5.4116e-01;1.0742e-02;4.7092e-01;3.3374e-01;9.2669e-01;5.0957e-01;6.3743e-01;8.1846e-01;4.4686e-01;3.7511e-01;3.4706e-01;2.9190e-01;9.2444e-01;3.1885e-01;1.4321e-02;4.9538e-01;1.8453e-01;8.6861e-02	0.15928
PWY-5097	L-lysine biosynthesis VI	25	Zm00001eb001140;Zm00001eb008180;Zm00001eb013940;Zm00001eb028810;Zm00001eb064530;Zm00001eb073410;Zm00001eb094670;Zm00001eb097580;Zm00001eb136710;Zm00001eb145010;Zm00001eb176170;Zm00001eb177530;Zm00001eb214360;Zm00001eb220040;Zm00001eb280160;Zm00001eb299320;Zm00001eb309070;Zm00001eb389290;Zm00001eb396620;Zm00001eb396630;Zm00001eb398800;Zm00001eb406820;Zm00001eb415810;Zm00001eb420300;Zm00001eb421210	3.9406e-01;8.9637e-01;3.0413e-01;5.9931e-01;7.2406e-01;1.7483e-01;9.3404e-01;9.6000e-01;9.4050e-01;8.7558e-01;4.3068e-01;1.4038e-01;5.2974e-01;6.0666e-05;9.9125e-01;5.8884e-01;3.2980e-01;2.3810e-01;3.5260e-01;3.5260e-01;2.8970e-01;5.7645e-01;5.3398e-01;1.0822e-01;7.4023e-01	0.16138
PWY-6607	guanosine nucleotides degradation I	8	Zm00001eb021020;Zm00001eb059100;Zm00001eb155170;Zm00001eb218510;Zm00001eb302930;Zm00001eb313430;Zm00001eb333800;Zm00001eb361250	4.5460e-01;5.5547e-01;6.1002e-01;1.7896e-01;9.2169e-02;5.2521e-01;3.3327e-01;1.5985e-01	0.1629
PWY-5872	ubiquinol-10 biosynthesis (late decarboxylation)	6	Zm00001eb190740;Zm00001eb302180;Zm00001eb348180;Zm00001eb362110;Zm00001eb376720;Zm00001eb398140	1.6363e-01;1.0767e-01;7.9285e-01;1.4491e-02;4.6789e-01;1.2275e-01	0.16908
HOMOSERSYN-PWY	L-homoserine biosynthesis	13	Zm00001eb064530;Zm00001eb094670;Zm00001eb097580;Zm00001eb145010;Zm00001eb177530;Zm00001eb214360;Zm00001eb220040;Zm00001eb280160;Zm00001eb299320;Zm00001eb309070;Zm00001eb405410;Zm00001eb415810;Zm00001eb420300	7.2406e-01;9.3404e-01;9.6000e-01;8.7558e-01;1.4038e-01;5.2974e-01;6.0666e-05;9.9125e-01;5.8884e-01;3.2980e-01;6.7534e-01;5.3398e-01;1.0822e-01	0.17058
PWY-5172	acetyl-CoA biosynthesis from citrate	8	Zm00001eb032740;Zm00001eb113120;Zm00001eb113130;Zm00001eb130080;Zm00001eb136880;Zm00001eb164780;Zm00001eb340370;Zm00001eb341320	5.0757e-01;8.4495e-01;8.4495e-01;6.6419e-02;1.4366e-01;3.9592e-01;8.3798e-01;7.3687e-01	0.17112
PWY-1422	vitamin E biosynthesis (tocopherols)	10	Zm00001eb031790;Zm00001eb041500;Zm00001eb107520;Zm00001eb138830;Zm00001eb232960;Zm00001eb237270;Zm00001eb251860;Zm00001eb304950;Zm00001eb389370;Zm00001eb392270	4.4981e-01;5.6735e-01;3.5998e-01;2.3242e-01;9.6096e-02;2.6268e-01;4.2867e-01;2.5478e-01;8.1151e-02;7.1799e-01	0.17233
PWY-4381	fatty acid biosynthesis initiation (type II)	6	Zm00001eb013760;Zm00001eb068760;Zm00001eb086810;Zm00001eb388640;Zm00001eb396720;Zm00001eb431950	8.1007e-01;6.2976e-01;5.9046e-01;2.8239e-01;1.7159e-01;8.1578e-01	0.17428
ASPARTATE-DEG1-PWY	L-aspartate degradation I	4	Zm00001eb146400;Zm00001eb152450;Zm00001eb238900;Zm00001eb348660	1.5866e-01;2.1473e-01;8.0559e-01;4.7114e-01	0.17437
ASPARTATESYN-PWY	L-aspartate biosynthesis	4	Zm00001eb146400;Zm00001eb152450;Zm00001eb238900;Zm00001eb348660	1.5866e-01;2.1473e-01;8.0559e-01;4.7114e-01	0.17437
PWY-3001	superpathway of L-isoleucine biosynthesis I	4	Zm00001eb146400;Zm00001eb152450;Zm00001eb238900;Zm00001eb348660	1.5866e-01;2.1473e-01;8.0559e-01;4.7114e-01	0.17437
THRESYN-PWY	superpathway of L-threonine biosynthesis	4	Zm00001eb146400;Zm00001eb152450;Zm00001eb238900;Zm00001eb348660	1.5866e-01;2.1473e-01;8.0559e-01;4.7114e-01	0.17437
PWY-8171	molybdenum cofactor biosynthesis	6	Zm00001eb047140;Zm00001eb067470;Zm00001eb164720;Zm00001eb305190;Zm00001eb395250;Zm00001eb432770	2.4808e-01;4.0538e-01;2.1204e-01;1.9627e-01;7.2642e-01;6.0439e-01	0.18236
PWY-7176	UTP and CTP <i>de novo</i> biosynthesis	13	Zm00001eb084300;Zm00001eb137100;Zm00001eb158100;Zm00001eb162140;Zm00001eb193140;Zm00001eb256910;Zm00001eb268760;Zm00001eb296480;Zm00001eb344260;Zm00001eb358270;Zm00001eb359410;Zm00001eb362410;Zm00001eb418760	4.7756e-02;7.1053e-01;5.6673e-01;1.3359e-01;5.3646e-02;6.0444e-01;8.4597e-01;7.8894e-01;1.7939e-01;6.8485e-01;7.7362e-02;5.1749e-01;5.8333e-02	0.18697
PWY-8105	queuosine biosynthesis II (queuine salvage)	2	Zm00001eb026400;Zm00001eb313370	5.1902e-01;9.8105e-02	0.19568
PWY-6754	<i>S</i>-methyl-5'-thioadenosine degradation I	5	Zm00001eb036610;Zm00001eb119280;Zm00001eb175180;Zm00001eb379090;Zm00001eb433310	1.0741e-01;2.2486e-02;3.3067e-01;7.9421e-01;5.9574e-01	0.19673
PWY-5084	2-oxoglutarate decarboxylation to succinyl-CoA	10	Zm00001eb085130;Zm00001eb085340;Zm00001eb131070;Zm00001eb271700;Zm00001eb282480;Zm00001eb340590;Zm00001eb340900;Zm00001eb395670;Zm00001eb421170;Zm00001eb421290	8.5498e-01;5.6599e-01;4.5632e-01;2.8314e-01;1.8987e-02;7.0878e-01;4.1360e-01;4.4548e-01;8.6435e-01;5.8265e-02	0.19834
GLUTAMINDEG-PWY	L-glutamine degradation I	54	Zm00001eb011150;Zm00001eb011670;Zm00001eb013430;Zm00001eb021930;Zm00001eb029510;Zm00001eb036060;Zm00001eb036070;Zm00001eb055320;Zm00001eb063220;Zm00001eb063460;Zm00001eb066090;Zm00001eb068770;Zm00001eb080510;Zm00001eb081410;Zm00001eb087630;Zm00001eb103520;Zm00001eb103530;Zm00001eb118250;Zm00001eb137100;Zm00001eb156610;Zm00001eb158100;Zm00001eb160030;Zm00001eb162140;Zm00001eb163240;Zm00001eb179950;Zm00001eb182150;Zm00001eb188530;Zm00001eb197630;Zm00001eb197940;Zm00001eb208970;Zm00001eb211420;Zm00001eb218450;Zm00001eb232460;Zm00001eb252240;Zm00001eb272970;Zm00001eb279170;Zm00001eb295210;Zm00001eb295220;Zm00001eb296480;Zm00001eb298350;Zm00001eb321360;Zm00001eb329710;Zm00001eb329810;Zm00001eb329820;Zm00001eb344260;Zm00001eb349970;Zm00001eb349980;Zm00001eb356970;Zm00001eb358270;Zm00001eb359410;Zm00001eb360480;Zm00001eb380080;Zm00001eb396990;Zm00001eb434370	7.5353e-01;1.3777e-01;9.4597e-01;1.0471e-01;4.5548e-01;7.4674e-01;7.4674e-01;2.1713e-01;8.6276e-01;5.1328e-01;1.8666e-01;5.4282e-01;2.1593e-01;1.7476e-01;5.1465e-01;3.1399e-01;3.1399e-01;2.8564e-01;7.1053e-01;8.5844e-01;5.6673e-01;6.7790e-01;1.3359e-01;2.8516e-01;2.9287e-01;1.3466e-01;2.2884e-01;2.2440e-01;4.5437e-01;9.7819e-01;4.0877e-01;7.2804e-01;5.9171e-01;4.0565e-01;5.9840e-01;5.6039e-01;6.8741e-01;6.8741e-01;7.8894e-01;4.8267e-01;1.0848e-01;2.9135e-01;8.9570e-02;8.9570e-02;1.7939e-01;3.4968e-02;1.8986e-02;5.0185e-02;6.8485e-01;7.7362e-02;6.1735e-01;3.1214e-02;7.2709e-01;8.6624e-01	0.19881
PWY-5122	geranyl diphosphate biosynthesis	2	Zm00001eb107690;Zm00001eb325560	9.0355e-01;2.2849e-02	0.20513
PWY-5121	superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	8	Zm00001eb107690;Zm00001eb186980;Zm00001eb250080;Zm00001eb297120;Zm00001eb325560;Zm00001eb333900;Zm00001eb342550;Zm00001eb361070	9.0355e-01;4.3509e-01;1.9831e-01;1.6313e-02;2.2849e-02;9.5313e-02;8.6717e-01;3.7629e-01	0.20595
