candidate_rank,GENE,CHR,START,STOP,NSNPS,NPARAM,N,magma_z,P_MULTI,P_SNPWISE_MEAN,P_SNPWISE_TOP1,magma_p,magma_fdr,magma_bonf,magma_rank,gwas_min_p,gwas_n_snps,gwas_rank,n_top_pathways,best_pathway_p,mean_pathway_mlog10p,pathways,pathway_rank,hit_gwas,hit_magma,hit_pathway,support_layers,score,evidence_class
11,SORBI_3003G169100,3,28827426,28878922,554,74,326,4.5364,2.8614e-6,0.029655,9.3293e-8,2.8614e-6,5.0271684559585e-4,0.0970243512,193,6.043731e-10,554,173,1,8.98859198797274e-7,6.04630833271001,PWY-101,456,TRUE,TRUE,TRUE,3,5.63518460609605,All 3
12,SORBI_3009G088800,9,15361911,15413979,644,62,330,4.7666,9.3667e-7,0.10187,8.1875e-9,9.3667e-7,2.5949498708661e-4,0.03176060636,120,1.769394e-9,644,282,2,2.999997000003e-6,5.2398861135123,PWY-3742; PWY-6543,1350,TRUE,TRUE,TRUE,3,5.63318814078963,All 3
13,SORBI_3008G028400,8,2498004,2551484,1339,66,328,4.4714,3.8853e-6,0.16423,1.805e-8,3.8853e-6,5.881372875e-4,0.1317427524,224,8.115015e-10,1339,197,1,6.55618820419099e-7,6.18334858791599,PWY-3781,344,TRUE,TRUE,TRUE,3,5.60952101448009,All 3
14,SORBI_3004G210000,4,55963401,56019168,842,60,328,4.2622,1.0123e-5,0.2408,3.1082e-8,1.0123e-5,0.00113451915511551,0.343250684,302,3.678351e-11,842,61,1,9.03926646022474e-6,5.04386681125057,VALSYN-PWY,1423,TRUE,TRUE,TRUE,3,5.54675951689076,All 3
15,SORBI_3004G140501,4,40924367,40976777,788,61,331,6.5462,2.9519e-11,0.2026,3.976e-15,2.9519e-11,4.62979832e-7,1.000930252e-6,1,3.975969e-15,788,1,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.54603537283285,GWAS + MAGMA
16,SORBI_3008G030100,8,2657955,2709386,679,47,329,4.4952,3.4751e-6,0.43482,3.2178e-9,3.4751e-6,5.5320981596244e-4,0.1178336908,213,1.349687e-10,679,123,2,2.1999978000022e-5,4.63868347302736,PWY-7897; PWY1F-FLAVSYN,1711,TRUE,TRUE,TRUE,3,5.54454100757731,All 3
17,SORBI_3006G037700,6,14462572,14573530,2259,69,330,4.7301,1.1219e-6,0.44123,1.0398e-8,1.1219e-6,2.8389093432835e-4,0.0380413852,134,1.120004e-9,2259,236,1,3.52264255691207e-5,4.45313142251172,PWY-7193,1945,TRUE,TRUE,TRUE,3,5.53040035527485,All 3
18,SORBI_3004G140800,4,40963173,41013960,1106,61,330,6.497,4.0962e-11,0.17918,2.7832e-14,4.0962e-11,4.62979832e-7,1.388939496e-6,3,3.975969e-15,1106,3,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.51757947039161,GWAS + MAGMA
19,SORBI_3004G348400,4,67731085,67782761,588,42,330,4.6939,1.3405e-6,0.0013011,7.3913e-8,1.3405e-6,3.246691e-4,0.045453674,140,2.547792e-9,588,333,1,2.1999978000022e-5,4.65757775347206,PWY-5925,1687,TRUE,TRUE,TRUE,3,5.49968801472288,All 3
20,SORBI_3001G262400,1,46513417,46586190,1013,73,329,4.3655,6.3426e-6,0.05113,1.3667e-7,6.3426e-6,8.40097190625e-4,0.2150648808,256,5.902503e-10,1013,168,2,1.28013118736637e-5,4.818736725463,PWY-7388; PWY0-1264,1514,TRUE,TRUE,TRUE,3,5.45171746588293,All 3
21,SORBI_3003G169200,3,28829939,28880829,618,76,326,4.333,7.3547e-6,0.052612,2.6127e-7,7.3547e-6,9.270749724907e-4,0.2493831676,269,6.043731e-10,618,174,1,1.28013118736637e-5,4.89274552173504,PWY-7388,1517,TRUE,TRUE,TRUE,3,5.43783104707258,All 3
22,SORBI_3004G146200,4,45246900,45304180,860,62,330,4.4838,3.6662e-6,0.19237,1.1956e-7,3.6662e-6,5.677211837104e-4,0.1243135096,218,5.548061e-10,860,165,1,7.3999926000074e-5,4.13076871456329,PWY-7206,2426,TRUE,TRUE,TRUE,3,5.42581951809854,All 3
23,SORBI_3002G173600,2,54877920,54930813,306,36,324,4.223,1.2055e-5,0.10335,1.3968e-7,1.2055e-5,0.00124477786268657,0.40876094,326,4.564658e-10,306,151,1,1.12610396759904e-5,4.9484215113762,PWY-6360,1445,TRUE,TRUE,TRUE,3,5.4126678837708,All 3
24,SORBI_3008G080100,8,13530583,13610887,1732,82,330,4.3529,6.7166e-6,0.24864,1.5199e-7,6.7166e-6,8.7933001081081e-4,0.2277464728,259,8.063049e-10,1732,196,1,5.3999946000054e-5,4.2676066744713,PWY-5976,2183,TRUE,TRUE,TRUE,3,5.37068084051688,All 3
25,SORBI_3001G247600,1,26276630,26330587,1148,71,329,4.1037,2.0329e-5,0.65689,1.9719e-7,2.0329e-5,0.001697822,0.689315732,406,4.55834e-10,1148,150,2,1.999998000002e-5,4.33077218749196,PWY-5115; PWY-882,1642,TRUE,TRUE,TRUE,3,5.34239316914481,All 3
26,SORBI_3004G351000,4,67941699,67992036,942,75,331,4.0921,2.1373e-5,0.021076,1.6739e-6,2.1373e-5,0.00175052097584541,0.724715684,414,1.776984e-9,942,288,1,4.89948225972319e-6,5.30984981050724,PWY4LZ-81,1390,TRUE,TRUE,TRUE,3,5.34004353215646,All 3
27,SORBI_3004G352000,4,68054980,68107101,688,46,328,3.9278,4.2856e-5,0.33045,2.2802e-7,4.2856e-5,0.0028382055625,1,512,2.141226e-9,688,324,1,2.999997000003e-6,5.5228791795746,PWY-2681,1338,TRUE,TRUE,TRUE,3,5.29281934046477,All 3
28,SORBI_3001G222700,1,21275007,21331449,1059,58,329,3.9715,3.5705e-5,0.22513,2.0186e-7,3.5705e-5,0.00248528963934426,1,486,4.66531e-10,1059,152,1,3.90504008294421e-5,4.40837450398587,PWY-282,1992,TRUE,TRUE,TRUE,3,5.26340359221715,All 3
29,SORBI_3008G028800,8,2549561,2600647,768,49,329,6.5121,3.7061e-11,0.0015192,2.2713e-12,3.7061e-11,4.62979832e-7,1.256664388e-6,2,2.271261e-12,768,19,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.25058986893161,GWAS + MAGMA
30,SORBI_3002G207900,2,59923630,59979302,906,52,328,3.8469,5.9821e-5,0.34029,4.2627e-7,5.9821e-5,0.00353381614634146,1,574,1.4997e-9,906,262,1,3.90504008294421e-5,4.40837450398587,PWY-282,1994,TRUE,TRUE,TRUE,3,5.16786627752015,All 3
31,SORBI_3008G028900,8,2562467,2613560,1089,45,329,6.1895,3.0183e-10,0.0036755,2.2713e-12,3.0183e-10,1.46206452e-6,1.023445164e-5,7,3.107246e-13,1089,5,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.15480995549434,GWAS + MAGMA
32,SORBI_3004G140600,4,40934559,40991085,1037,65,331,5.8258,2.8426e-9,0.19641,4.1271e-12,2.8426e-9,6.8847772e-6,9.63868808e-5,14,3.975969e-15,1037,2,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.14931255069852,GWAS + MAGMA
33,SORBI_3008G028850,8,2554135,2605278,946,47,329,6.297,1.5175e-10,0.0033501,2.2713e-12,1.5175e-10,1.28638475e-6,5.145539e-6,4,2.271261e-12,946,20,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.12814755568419,GWAS + MAGMA
34,SORBI_3004G102200,4,9425179,9478286,1520,79,328,6.2031,2.7688e-10,0.015893,7.9252e-13,2.7688e-10,1.46206452e-6,9.38844704e-6,6,7.925157e-13,1520,11,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.12164089529345,GWAS + MAGMA
35,SORBI_3009G090500,9,17671052,17728851,979,63,329,6.0667,6.53e-10,0.22238,1.4458e-13,6.53e-10,2.7677405e-6,2.2141924e-5,8,1.445844e-13,979,4,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.12100522003655,GWAS + MAGMA
36,SORBI_3008G029300,8,2595463,2650066,1189,34,329,6.0387,7.7657e-10,0.0060483,3.2788e-12,7.7657e-10,2.92577061777778e-6,2.633193556e-5,9,3.107246e-13,1189,8,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.07272631441377,GWAS + MAGMA
37,SORBI_3003G052300,3,4696513,4750477,1253,50,329,3.6534,1.2938e-4,0.34338,7.2374e-7,1.2938e-4,0.00593412879892038,1,738,2.568324e-9,1253,338,1,1.089998910001e-4,3.96257393635364,PWY-5337,2705,TRUE,TRUE,TRUE,3,5.03291898326406,All 3
38,SORBI_3009G083900,9,12995389,13063834,1165,65,331,6.2079,2.6855e-10,8.8049e-4,2.2045e-11,2.6855e-10,1.46206452e-6,9.1059934e-6,5,1.276774e-11,1165,37,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.00358356563763,GWAS + MAGMA
39,SORBI_3004G102100,4,9409267,9472846,1666,80,328,5.9724,1.1692e-9,0.015033,3.9064e-12,1.1692e-9,3.60411214545455e-6,3.96452336e-5,11,7.925157e-13,1666,10,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,4.99652145121359,GWAS + MAGMA
40,SORBI_3006G058600,6,40491329,40549482,1125,73,329,5.9169,1.64e-9,0.001625,6.3036e-10,1.64e-9,4.63409333333333e-6,5.560912e-5,12,1.91491e-12,1125,17,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,4.92881639367863,GWAS + MAGMA
41,SORBI_3008G029400,8,2600199,2657242,1229,31,329,5.6287,9.0778e-9,0.0064303,3.4332e-11,9.0778e-9,1.46576210666667e-5,3.078100424e-4,21,3.107246e-13,1229,9,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,4.85916631419105,GWAS + MAGMA
42,SORBI_3009G066000,9,7111799,7164138,1039,82,329,5.7229,5.2352e-9,0.19514,1.3168e-12,5.2352e-9,1.10946976e-5,1.775151616e-4,16,1.316785e-12,1039,15,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,4.84426185740072,GWAS + MAGMA
43,SORBI_3008G029000,8,2579929,2631770,1137,42,329,5.492,1.9869e-8,0.0086255,2.0059e-10,1.9869e-8,2.59122327692308e-5,6.73718052e-4,26,3.107246e-13,1137,6,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,4.79112723428497,GWAS + MAGMA
44,SORBI_3009G039000,9,3649616,3700903,758,48,330,5.7124,5.5703e-9,0.088458,4.1935e-12,5.5703e-9,1.11104548470588e-5,1.888777324e-4,17,4.193526e-12,758,22,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,4.788566348874,GWAS + MAGMA
45,SORBI_3006G058666,6,40503870,40556199,1385,68,329,5.6451,8.255e-9,0.0028156,1.8493e-9,8.255e-9,1.3995527e-5,2.7991054e-4,20,1.91491e-12,1385,18,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,4.78844174776841,GWAS + MAGMA
46,SORBI_3008G029700,8,2617798,2668855,919,32,330,5.6916,6.2912e-9,0.02098,4.9046e-12,6.2912e-9,1.18512227555556e-5,2.133220096e-4,18,4.904645e-12,919,26,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,4.7711925437908,GWAS + MAGMA
47,SORBI_3004G014500,4,1149092,1200330,871,40,329,5.8462,2.5145e-9,0.0013066,4.8017e-11,2.5145e-9,6.55858969230769e-6,8.5261666e-5,13,4.801701e-11,871,77,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,4.75177016068668,GWAS + MAGMA
48,SORBI_3006G019000,6,3230983,3282770,965,50,329,5.3721,3.8922e-8,0.79688,1.2306e-11,3.8922e-8,4.25731347096774e-5,0.001319767176,31,9.662592e-13,965,12,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,4.68345160613978,GWAS + MAGMA
49,SORBI_3008G000900,8,34592,85999,584,61,330,5.5853,1.1668e-8,0.059046,3.6334e-11,1.1668e-8,1.7201675826087e-5,3.95638544e-4,23,1.779451e-11,584,45,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,4.66157211255821,GWAS + MAGMA
50,SORBI_3004G269800,4,61363484,61417276,944,44,329,4.2421,1.107e-5,0.079966,9.9277e-8,1.107e-5,0.00118871146835443,0.37536156,315,1.491283e-8,944,536,2,1.9548888309447404e-9,6.47650175664955,PWY-1422; PWY-7436,7,FALSE,TRUE,TRUE,2,4.64470226258077,MAGMA + Pathway
