candidate_rank,GENE,CHR,START,STOP,NSNPS,NPARAM,N,magma_z,P_MULTI,P_SNPWISE_MEAN,P_SNPWISE_TOP1,magma_p,magma_fdr,magma_bonf,magma_rank,gwas_min_p,gwas_n_snps,gwas_rank,n_top_pathways,best_pathway_p,mean_pathway_mlog10p,pathways,pathway_rank,hit_gwas,hit_magma,hit_pathway,support_layers,score,evidence_class
12,SORBI_3009G239500,9,57709129,57736152,159,21,357,6.4011,7.7145e-11,2.069e-9,3.126e-9,3.126e-9,8.427050952380952e-7,1.06180842e-4,126,1.966017e-11,369,120,5,9.99900009999e-5,4.000043427276863,GLUTAMINDEG-PWY; PWY-7176; PWY-7185; PWY-5921; PWY-5687,1,TRUE,TRUE,TRUE,3,6.17164782110867,All 3
13,SORBI_3009G226250,9,56779629,56800354,50,7,357,7.4733,3.9096e-14,2.3569e-11,1.8517e-14,1.8517e-14,1.3366769322222222e-10,6.28966939e-10,4,5.867061e-15,253,16,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,6.169643814324945,GWAS + MAGMA
14,SORBI_3009G224100,9,56620392,56642188,228,13,357,5.1023,1.6775e-7,4.7449e-5,2.0003e-8,2.0003e-8,3.950243610465116e-6,6.79441901e-4,172,6.773765e-13,604,82,1,9.99900009999e-5,4.000043427276863,PWY-5968,1,TRUE,TRUE,TRUE,3,6.156702303164056,All 3
15,SORBI_3009G219500,9,56292671,56315987,213,35,357,4.7219,1.168e-6,0.017976,4.4624e-9,4.4624e-9,1.1311517970149254e-6,1.515743408e-4,134,2.104908e-11,405,127,1,9.99900009999e-5,4.000043427276863,PWY-6066,1,TRUE,TRUE,TRUE,3,6.137767331471752,All 3
16,SORBI_3002G379200,2,73508318,73536352,278,10,357,4.7322,1.1103e-6,0.074474,2.3443e-9,2.3443e-9,6.89325126724138e-7,7.96288381e-5,115,1.079294e-10,514,171,2,9.99900009999e-5,4.000043427276863,PWY-6333; PWY-5486,1,TRUE,TRUE,TRUE,3,6.122687728942665,All 3
17,SORBI_3009G229400,9,57009786,57032078,39,5,357,7.3207,1.2332e-13,1.1645e-11,1.983e-14,1.983e-14,1.3366769322222222e-10,6.7356561e-10,5,1.982972e-14,228,29,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,6.1108037989674235,GWAS + MAGMA
18,SORBI_3002G379100,2,73508841,73531876,270,10,357,4.6715,1.4951e-6,0.074469,3.6903e-9,3.6903e-9,9.7928453203125e-7,1.253484201e-4,128,1.079294e-10,498,171,2,9.99900009999e-5,4.000043427276863,PWY-6333; PWY-5486,1,TRUE,TRUE,TRUE,3,6.08327803180983,All 3
19,SORBI_3009G229600,9,57013498,57042493,89,7,357,6.2135,2.5908e-10,3.0298e-5,3.2972e-14,3.2972e-14,1.3366769322222222e-10,1.119959924e-9,6,1.982972e-14,246,29,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,6.066639283574151,GWAS + MAGMA
20,SORBI_3009G230900,9,57095289,57116068,85,10,357,7.5586,2.0375e-14,4.7989e-12,8.9936e-14,8.9936e-14,1.7709450272222223e-10,3.0548561119999997e-9,15,4.820819e-15,256,8,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,6.040901203811126,GWAS + MAGMA
21,SORBI_3009G231000,9,57099814,57120391,102,14,357,7.6189,1.2796e-14,3.7271e-12,8.9936e-14,8.9936e-14,1.7709450272222223e-10,3.0548561119999997e-9,15,4.820819e-15,291,8,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,6.040901203811126,GWAS + MAGMA
22,SORBI_3009G227700,9,56882518,56908785,74,12,357,5.8953,1.8704e-9,0.0033823,3.5417e-14,3.5417e-14,1.3366769322222222e-10,1.203009239e-9,7,3.541653e-14,127,45,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,6.035237044894446,GWAS + MAGMA
23,SORBI_3009G227800,9,56889044,56911701,63,11,357,6.0583,6.8774e-10,6.9139e-4,3.5417e-14,3.5417e-14,1.3366769322222222e-10,1.203009239e-9,7,3.541653e-14,116,45,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,6.035237044894446,GWAS + MAGMA
24,SORBI_3009G227900,9,56893528,56917652,59,10,357,6.1754,3.3008e-10,2.2287e-4,3.5417e-14,3.5417e-14,1.3366769322222222e-10,1.203009239e-9,7,3.541653e-14,149,45,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,6.035237044894446,GWAS + MAGMA
25,SORBI_3009G239301,9,57691724,57712144,117,20,357,6.0894,5.6675e-10,2.6391e-8,1.958e-8,1.958e-8,3.88932081871345e-6,6.6507386e-4,171,1.966017e-11,319,120,5,9.99900009999e-5,4.000043427276863,GLUTAMINDEG-PWY; PWY-7176; PWY-7185; PWY-5921; PWY-5687,1,TRUE,TRUE,TRUE,3,6.012283078351881,All 3
26,SORBI_3009G229900,9,57032535,57055813,127,8,357,6.5706,2.5061e-11,2.6803e-7,5.4296e-14,5.4296e-14,1.5368935266666668e-10,1.844272232e-9,10,3.121722e-14,362,35,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,6.003607010259087,GWAS + MAGMA
27,SORBI_3009G230000,9,57035814,57057188,126,9,357,6.7825,5.9074e-12,5.0998e-8,5.4296e-14,5.4296e-14,1.5368935266666668e-10,1.844272232e-9,10,3.121722e-14,356,35,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,6.003607010259087,GWAS + MAGMA
28,SORBI_3009G230100,9,57037847,57060999,158,10,357,7.1953,3.1173e-13,1.6923e-10,5.4296e-14,5.4296e-14,1.5368935266666668e-10,1.844272232e-9,10,3.121722e-14,359,35,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,6.003607010259087,GWAS + MAGMA
29,SORBI_3009G230600,9,57054670,57082095,247,8,357,7.7781,3.6819e-15,1.8534e-12,6.2395e-14,6.2395e-14,1.598123087857143e-10,2.119370965e-9,13,3.121722e-14,413,35,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.991530619685605,GWAS + MAGMA
30,SORBI_3009G227650,9,56881195,56902446,61,11,357,5.7138,5.5241e-9,0.014747,6.5869e-14,6.5869e-14,1.598123087857143e-10,2.237372323e-9,14,3.541653e-14,122,45,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.981343185149547,GWAS + MAGMA
31,SORBI_3009G228900,9,56948265,56972222,91,18,357,6.2608,1.9145e-10,7.3016e-4,2.9299e-13,2.9299e-13,4.5236324227272726e-10,9.95199133e-9,22,3.263734e-15,276,1,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.955257964870401,GWAS + MAGMA
32,SORBI_3009G230200,9,57043831,57066771,228,9,357,7.7204,5.7986e-15,1.3663e-13,1.0858e-13,1.0858e-13,1.9411246631578946e-10,3.68813686e-9,19,3.121722e-14,373,35,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.943410610031837,GWAS + MAGMA
33,SORBI_3009G245000,9,58063718,58089719,172,29,357,5.5445,1.474e-8,3.1614e-6,2.058e-8,2.058e-8,4.017476206896552e-6,6.9904086e-4,174,1.196494e-10,409,180,1,9.99900009999e-5,4.000043427276863,PWY-622,1,TRUE,TRUE,TRUE,3,5.929524216130443,All 3
34,SORBI_3009G238900,9,57670872,57694861,149,11,357,5.2463,7.7593e-8,9.1847e-5,3.093e-8,3.093e-8,5.740979836065574e-6,0.00105059931,183,5.570696e-11,301,139,1,9.99900009999e-5,4.000043427276863,PWY-6549,1,TRUE,TRUE,TRUE,3,5.927337412816931,All 3
35,SORBI_3009G241200,9,57814427,57839062,219,9,357,5.0123,2.6887e-7,2.0967e-4,5.884e-9,5.884e-9,1.4174597730496453e-6,1.99861828e-4,141,1.939035e-9,606,282,1,9.99900009999e-5,4.000043427276863,PWY-3781,1,TRUE,TRUE,TRUE,3,5.917311245090734,All 3
36,SORBI_3006G057200,6,40226448,40248264,63,4,357,5.5934,1.1136e-8,0.029611,9.3847e-14,9.3847e-14,1.7709450272222223e-10,3.187701049e-9,18,9.38473e-14,261,58,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.908273742933578,GWAS + MAGMA
37,SORBI_3009G229000,9,56960404,56982979,164,33,357,6.1742,3.3252e-10,0.0013803,5.2802e-13,5.2802e-13,7.409289644e-10,1.793525534e-8,24,3.263734e-15,271,1,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.904098449869019,GWAS + MAGMA
38,SORBI_3009G232266,9,57215567,57236701,146,9,357,7.4677,4.08e-14,3.3156e-11,1.3383e-13,1.3383e-13,2.2729018049999997e-10,4.54580361e-9,20,1.338337e-13,283,68,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.8620327559336145,GWAS + MAGMA
39,SORBI_3009G226400,9,56786639,56813516,109,14,357,7.768,3.9861e-15,2.0676e-12,6.3951e-13,6.3951e-13,8.354706219230768e-10,2.172223617e-8,26,5.867061e-15,297,16,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.861988471655123,GWAS + MAGMA
40,SORBI_3009G230800,9,57083313,57105643,106,12,357,6.7868,5.7339e-12,8.7546e-9,1.942e-13,1.942e-13,3.141138761904762e-10,6.5963914e-9,21,8.993578e-14,232,57,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.846956904327266,GWAS + MAGMA
41,SORBI_3009G241000,9,57800429,57822688,207,13,357,5.5445,1.4743e-8,1.1093e-6,1.3361e-8,1.3361e-8,2.818839049689441e-6,4.53833087e-4,161,2.210758e-9,548,292,1,9.99900009999e-5,4.000043427276863,PWY-5080,1,TRUE,TRUE,TRUE,3,5.840382429402915,All 3
42,SORBI_3009G239900,9,57750417,57773893,146,18,357,5.6782,6.8058e-9,3.106e-7,1.1486e-7,1.1486e-7,1.7732003574660633e-5,0.00390144962,220,3.193851e-11,416,132,1,9.99900009999e-5,4.000043427276863,VALSYN-PWY,1,TRUE,TRUE,TRUE,3,5.837539115188066,All 3
43,SORBI_3009G226200,9,56777493,56798959,46,5,357,7.0897,6.7214e-13,8.4229e-12,8.5177e-13,8.5177e-13,1.0703118827586208e-9,2.8932071590000002e-8,27,5.867061e-15,261,16,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.837093471675088,GWAS + MAGMA
44,SORBI_3009G229200,9,56981373,57006042,170,19,357,7.5883,1.6213e-14,3.7128e-10,1.1906e-12,1.1906e-12,1.1894444176470587e-9,4.04411102e-8,34,3.263734e-15,292,1,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.833475348780033,GWAS + MAGMA
45,SORBI_3009G226700,9,56808055,56829675,153,13,357,6.8864,2.8616e-12,3.1595e-9,8.9766e-13,8.9766e-13,1.0703118827586208e-9,3.049081722e-8,28,5.867061e-15,269,16,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.832535564974479,GWAS + MAGMA
46,SORBI_3009G229700,9,57022871,57046097,81,5,357,5.6266,9.1909e-9,0.0022955,5.4533e-13,5.4533e-13,7.409289644e-10,1.8523224109999998e-8,25,1.982972e-14,222,29,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.822936463809328,GWAS + MAGMA
47,SORBI_3009G226800,9,56809412,56834236,179,14,357,7.3031,1.4056e-13,3.7879e-10,1.056e-12,1.056e-12,1.1199846272727272e-9,3.5869152e-8,32,5.867061e-15,290,16,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.818425155999253,GWAS + MAGMA
48,SORBI_3009G221500,9,56454843,56479136,287,27,357,5.8585,2.3354e-9,9.7496e-8,2.4525e-8,2.4525e-8,4.733185653409091e-6,8.33040675e-4,176,1.65855e-9,722,274,3,9.99900009999e-5,4.000043427276863,TRIGLSYN-PWY; PWY-7039; PWYIO2-7,1,TRUE,TRUE,TRUE,3,5.800109682652464,All 3
49,SORBI_3009G226300,9,56781043,56806233,75,11,357,7.5295,2.5477e-14,1.0057e-11,1.3888e-12,1.3888e-12,1.2749559351351351e-9,4.71733696e-8,37,5.867061e-15,309,16,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.794629998072328,GWAS + MAGMA
50,SORBI_3009G226100,9,56774891,56796990,84,6,357,7.0349,9.9729e-13,3.559e-11,1.5554e-12,1.5554e-12,1.2885919951219513e-9,5.2832271800000003e-8,41,5.867061e-15,251,16,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.784789520714991,GWAS + MAGMA
51,SORBI_3009G249900,9,58510674,58537393,198,11,357,5.6141,9.881e-9,2.2903e-6,3.9526e-8,3.9526e-8,7.029212785340314e-6,0.001342579642,191,1.361283e-9,545,264,1,9.99900009999e-5,4.000043427276863,PWY-6233,1,TRUE,TRUE,TRUE,3,5.767232927367371,All 3
52,SORBI_3009G226000,9,56773563,56794733,105,6,357,7.0572,8.4937e-13,5.1224e-11,1.9443e-12,1.9443e-12,1.5358613511627909e-9,6.60420381e-8,43,5.867061e-15,251,16,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.76540528440425,GWAS + MAGMA
53,SORBI_3009G229500,9,57012933,57033322,33,5,357,6.7836,5.8622e-12,2.0335e-10,1.0881e-12,1.0881e-12,1.1199846272727272e-9,3.69594927e-8,33,1.982972e-14,203,29,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.762934579748465,GWAS + MAGMA
54,SORBI_3009G227600,9,56872327,56896625,57,8,357,5.2186,9.016e-8,0.067286,9.138e-13,9.138e-13,1.0703118827586208e-9,3.10390446e-8,29,3.541653e-14,143,45,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.752909168442694,GWAS + MAGMA
55,SORBI_3009G240600,9,57783773,57808036,292,14,357,5.5928,1.1173e-8,3.7161e-6,3.1217e-8,3.1217e-8,5.762759994565218e-6,0.001060347839,184,5.40957e-9,484,318,2,9.99900009999e-5,4.000043427276863,PWY-6803; LIPASYN-PWY,1,TRUE,TRUE,TRUE,3,5.727809835355147,All 3
56,SORBI_3009G236100,9,57477095,57499650,122,16,357,5.0357,2.3801e-7,2.3269e-5,8.7509e-8,8.7509e-8,1.4087290061611377e-5,0.002972418203,211,7.172846e-10,345,228,1,9.99900009999e-5,4.000043427276863,PWY-5080,1,TRUE,TRUE,TRUE,3,5.726024647855367,All 3
57,SORBI_3009G230300,9,57047294,57067964,238,8,357,7.5613,1.9946e-14,2.5402e-13,1.34e-12,1.34e-12,1.2749559351351351e-9,4.551578e-8,35,3.121722e-14,373,35,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.725139617822807,GWAS + MAGMA
58,SORBI_3009G225900,9,56769467,56792784,121,6,357,7.2091,2.8172e-13,4.7596e-11,2.2405e-12,2.2405e-12,1.6911791888888889e-9,7.61030635e-8,45,1.851683e-14,253,26,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.703174346410114,GWAS + MAGMA
59,SORBI_3009G226900,9,56814723,56837765,138,17,357,6.7109,9.6746e-12,2.4902e-7,4.7921e-12,4.7921e-12,3.0711935981132076e-9,1.627732607e-7,53,5.867061e-15,287,16,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.687052765200163,GWAS + MAGMA
60,SORBI_3009G240500,9,57781485,57802708,252,12,357,5.5235,1.6612e-8,3.1714e-6,5.317e-8,5.317e-8,9.075504472361808e-6,0.00180602539,199,5.40957e-9,493,318,2,9.99900009999e-5,4.000043427276863,PWY-6803; LIPASYN-PWY,1,TRUE,TRUE,TRUE,3,5.68155473616989,All 3
61,SORBI_3006G057300,6,40232354,40254140,116,7,357,5.5226,1.6701e-8,0.0090127,1.4572e-12,1.4572e-12,1.2885919951219513e-9,4.9496712400000004e-8,38,9.38473e-14,271,58,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.670053989243638,GWAS + MAGMA
62,SORBI_3009G225800,9,56765816,56786951,126,5,357,7.1523,4.2683e-13,7.0266e-11,3.2834e-12,3.2834e-12,2.1447547653846155e-9,1.115272478e-7,52,1.851683e-14,256,26,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.669978577289827,GWAS + MAGMA
63,SORBI_3009G227100,9,56839424,56863773,83,10,357,5.3759,3.8109e-8,0.046329,2.3636e-12,2.3636e-12,1.7453130695652176e-9,8.028440120000001e-8,46,4.454024e-14,186,55,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.660409948453417,GWAS + MAGMA
64,SORBI_3009G227000,9,56826492,56855125,115,15,357,6.355,1.0419e-10,3.9272e-6,5.1198e-12,5.1198e-12,3.220449011111111e-9,1.739042466e-7,54,2.018228e-14,282,34,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.627652378087896,GWAS + MAGMA
65,SORBI_3009G230700,9,57062774,57086364,178,8,357,7.7069,6.4457e-15,7.7323e-12,5.5531e-12,5.5531e-12,3.4294935945454546e-9,1.886221477e-7,55,3.121722e-14,381,35,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.601653478635681,GWAS + MAGMA
66,SORBI_3009G224400,9,56642597,56666038,313,23,357,7.0889,6.7597e-13,4.084e-9,1.3547e-12,1.3547e-12,1.2749559351351351e-9,4.6015094900000004e-8,36,6.773765e-13,551,82,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.590548361265618,GWAS + MAGMA
67,SORBI_3009G225300,9,56714382,56737042,122,14,357,6.1079,5.0477e-10,1.0673e-5,1.6388e-12,1.6388e-12,1.3253599904761905e-9,5.56651196e-8,42,5.180051e-13,480,79,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.58566140538413,GWAS + MAGMA
68,SORBI_3009G240700,9,57789754,57814273,291,17,357,5.5302,1.5994e-8,3.9578e-7,1.8634e-7,1.8634e-7,2.6933662893617024e-5,0.00632941078,235,5.40957e-9,526,318,3,9.99900009999e-5,4.000043427276863,PWY-5690; GLUCONEO-PWY; GLYOXYLATE-BYPASS,1,TRUE,TRUE,TRUE,3,5.572626850002143,All 3
69,SORBI_3009G230500,9,57051616,57075103,255,8,357,7.566,1.9249e-14,3.2052e-13,7.9241e-12,7.9241e-12,4.722068503508772e-9,2.691579047e-7,57,3.121722e-14,376,35,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.570770587979757,GWAS + MAGMA
70,SORBI_3009G223100,9,56557273,56578899,213,18,357,5.1721,1.1574e-7,1.0839e-6,2.234e-7,2.234e-7,3.1356313223140495e-5,0.0075882278,242,5.206204e-9,341,312,2,9.99900009999e-5,4.000043427276863,PWY-2781; PWY-2681,1,TRUE,TRUE,TRUE,3,5.558535590820752,All 3
71,SORBI_3009G224300,9,56633331,56657878,318,15,357,6.6748,1.2382e-11,2.0739e-9,2.045e-12,2.045e-12,1.5786935227272726e-9,6.946251499999999e-8,44,6.773765e-13,584,82,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.554778324957885,GWAS + MAGMA
72,SORBI_3009G238650,9,57647443,57668159,134,15,357,6.7959,5.3817e-12,1.0906e-9,1.5258e-12,1.5258e-12,1.2885919951219513e-9,5.18268486e-8,39,1.3173760000000001e-12,328,90,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.551329503169512,GWAS + MAGMA
73,SORBI_3009G229800,9,57028653,57051166,99,6,357,5.3946,3.4338e-8,0.0010955,1.3286e-11,1.3286e-11,7.278799387096774e-9,4.51285562e-7,62,3.297219e-14,303,44,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.523506371001767,GWAS + MAGMA
74,SORBI_3009G238500,9,57629492,57651346,191,20,357,6.8135,4.7634e-12,4.3439e-9,2.6348e-12,2.6348e-12,1.864505241666667e-9,8.94962516e-8,47,1.3173760000000001e-12,362,90,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.503879494327487,GWAS + MAGMA
75,SORBI_3009G238600,9,57642425,57665397,202,15,357,6.8018,5.1656e-12,1.4711e-9,2.6348e-12,2.6348e-12,1.864505241666667e-9,8.94962516e-8,47,1.3173760000000001e-12,339,90,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.503879494327487,GWAS + MAGMA
76,SORBI_3004G147950,4,46461811,46483606,154,19,357,5.3646,4.0569e-8,0.48173,1.0338e-11,1.0338e-11,5.951709254237289e-9,3.51150846e-7,59,1.239219e-13,376,65,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.487797888082833,GWAS + MAGMA
77,SORBI_3006G057100,6,40211423,40251927,131,6,357,5.3075,5.556e-8,0.03073,1.229e-11,1.229e-11,6.8435152459016395e-9,4.1745443e-7,61,9.38473e-14,407,58,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.484847445180323,GWAS + MAGMA
78,SORBI_3009G232200,9,57206583,57228020,116,15,357,7.2862,1.5941e-13,1.6485e-11,1.0802e-11,1.0802e-11,6.115192233333334e-9,3.66911534e-7,60,1.338337e-13,330,68,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.4806426169368345,GWAS + MAGMA
79,SORBI_3009G245600,9,58106278,58129843,144,17,357,5.0052,2.7908e-7,2.4357e-6,9.3112e-7,9.3112e-7,1.117574312367491e-4,0.03162735304,283,1.841017e-9,517,280,1,9.99900009999e-5,4.000043427276863,PWY-3781,1,TRUE,TRUE,TRUE,3,5.479697431810646,All 3
80,SORBI_3009G225200,9,56701864,56724239,245,11,357,6.3758,9.0978e-11,4.846e-7,3.2776e-12,3.2776e-12,2.1447547653846155e-9,1.113302392e-7,50,1.638796e-12,482,99,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.475436320286049,GWAS + MAGMA
81,SORBI_3009G246400,9,58187873,58213205,125,23,357,5.2105,9.4184e-8,1.966e-6,6.3153e-7,6.3153e-7,7.915564394833949e-5,0.02145117951,271,5.052275e-9,328,311,8,9.99900009999e-5,4.000043427276863,PWY-5120; PWY-5807; PWY-5805; PWYQT-4449; PWY-5121; PWY-5910; PWY-5863; PWY-5864,1,TRUE,TRUE,TRUE,3,5.469576847376368,All 3
82,SORBI_3009G225600,9,56735759,56757418,160,32,357,6.3575,1.0256e-10,2.2732e-5,6.3362e-12,6.3362e-12,3.843244739285714e-9,2.152217054e-7,56,5.180051e-13,321,79,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.468200821009242,GWAS + MAGMA
83,SORBI_3009G232332,9,57220806,57242598,140,9,357,7.049,9.0116e-13,4.4096e-11,1.8729e-11,1.8729e-11,1.0097903857142857e-8,6.36167943e-7,63,1.338337e-13,257,68,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.432840533595679,GWAS + MAGMA
84,SORBI_3009G232400,9,57225138,57249543,145,8,357,6.902,2.5636e-12,1.16e-10,1.9398e-11,1.9398e-11,1.0295185406250001e-8,6.588918660000001e-7,64,1.338337e-13,251,68,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.42979206052683,GWAS + MAGMA
85,SORBI_3009G250300,9,58540495,58562539,157,34,357,5.8901,1.9298e-9,2.5923e-7,9.9318e-7,9.9318e-7,1.1836963178947367e-4,0.03373534506,285,6.32598e-9,492,326,1,9.99900009999e-5,4.000043427276863,PWY-6348,1,TRUE,TRUE,TRUE,3,5.420485968187263,All 3
86,SORBI_3009G224900,9,56683608,56703868,281,22,357,6.1776,3.2542e-10,5.3991e-5,1.0302e-11,1.0302e-11,5.951709254237289e-9,3.49928034e-7,58,1.947195e-12,511,103,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.368474746320319,GWAS + MAGMA
