candidate_rank,GENE,CHR,START,STOP,NSNPS,NPARAM,N,magma_z,P_MULTI,P_SNPWISE_MEAN,P_SNPWISE_TOP1,magma_p,magma_fdr,magma_bonf,magma_rank,gwas_min_p,gwas_n_snps,gwas_rank,n_top_pathways,mean_pathway_mlog10p,pathways,pathway_names,best_pathway_id,best_pathway_name,best_pathway_p,pathway_rank,hit_gwas,hit_magma,hit_pathway,support_layers,gwas_rank_score,magma_rank_score,pathway_rank_score,multi_pathway_bonus,score,evidence_class
11,SORBI_3004G102100,4,9409267,9472846,1666,80,328,5.9724,1.1692e-9,0.015033,3.9064e-12,1.1692e-9,3.60411214545455e-6,3.96452336e-5,11,7.925157e-13,1666,10,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.53030217448527,3.48890948932705,0,0,7.01921166381232,GWAS + MAGMA
12,SORBI_3008G029000,8,2579929,2631770,1137,42,329,5.492,1.9869e-8,0.0086255,2.0059e-10,1.9869e-8,2.59122327692308e-5,6.73718052e-4,26,3.107246e-13,1137,6,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.75215092410163,3.11532882651445,0,0,6.86747975061608,GWAS + MAGMA
13,SORBI_3009G083900,9,12995389,13063834,1165,65,331,6.2079,2.6855e-10,8.8049e-4,2.2045e-11,2.6855e-10,1.46206452e-6,9.1059934e-6,5,1.276774e-11,1165,37,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.96210045041828,3.83133217014925,0,0,6.79343262056753,GWAS + MAGMA
14,SORBI_3008G029400,8,2600199,2657242,1229,31,329,5.6287,9.0778e-9,0.0064303,3.4332e-11,9.0778e-9,1.46576210666667e-5,3.078100424e-4,21,3.107246e-13,1229,9,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.57605966504595,3.20808287975135,0,0,6.7841425447973,GWAS + MAGMA
15,SORBI_3004G014400,4,1145472,1196955,881,42,329,5.3369,4.7267e-8,4.7163e-4,8.451e-9,4.7267e-8,4.57922696e-5,0.001602729436,35,4.801701e-11,881,76,3,5.25650764629268,PWY-6663; PWY-8028; PWY-6115,"plant sterol biosynthesis II; cycloartenol biosynthesis; avenacin biosynthesis, initial reactions",PWY-6663,plant sterol biosynthesis II,3.75769256416765e-7,5,TRUE,TRUE,TRUE,3,2.64948858220448,2.986234130135,1.91275330367132,0.602059991327962,6.77271736157353,All 3
16,SORBI_3006G058600,6,40491329,40549482,1125,73,329,5.9169,1.64e-9,0.001625,6.3036e-10,1.64e-9,4.63409333333333e-6,5.560912e-5,12,1.91491e-12,1125,17,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.299853253107,3.45112092843765,0,0,6.75097418154464,GWAS + MAGMA
17,SORBI_3009G066000,9,7111799,7164138,1039,82,329,5.7229,5.2352e-9,0.19514,1.3168e-12,5.2352e-9,1.10946976e-5,1.775151616e-4,16,1.316785e-12,1039,15,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.35421091542959,3.32618219182935,0,0,6.68039310725894,GWAS + MAGMA
18,SORBI_3006G032800,6,7340479,7394506,990,74,329,5.2095,9.4689e-8,0.15441,7.932e-10,9.4689e-8,6.91593339574468e-5,0.003210714612,46,4.807311e-12,990,24,1,5.69897043863028,PWY-6717,"(1,4)-&beta;-D-xylan degradation",PWY-6717,"(1,4)-&beta;-D-xylan degradation",1.999998000002e-6,32,TRUE,TRUE,TRUE,3,3.15009093277367,2.8675443428037,1.10657332968744,0.301029995663981,6.66123093912028,All 3
19,SORBI_3006G058666,6,40503870,40556199,1385,68,329,5.6451,8.255e-9,0.0028156,1.8493e-9,8.255e-9,1.3995527e-5,2.7991054e-4,20,1.91491e-12,1385,18,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.27502966938197,3.22927217882129,0,0,6.50430184820326,GWAS + MAGMA
20,SORBI_3006G019000,6,3230983,3282770,965,50,329,5.3721,3.8922e-8,0.79688,1.2306e-11,3.8922e-8,4.25731347096774e-5,0.001319767176,31,9.662592e-13,965,12,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.45112092843765,3.038940480651,0,0,6.49006140908865,GWAS + MAGMA
21,SORBI_3009G039000,9,3649616,3700903,758,48,330,5.7124,5.5703e-9,0.088458,4.1935e-12,5.5703e-9,1.11104548470588e-5,1.888777324e-4,17,4.193526e-12,758,22,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.18787949366307,3.299853253107,0,0,6.48773274677006,GWAS + MAGMA
22,SORBI_3006G032700,6,7332701,7387253,1276,68,329,5.028,2.478e-7,0.32904,7.6916e-10,2.478e-7,1.20940148e-4,0.0084024024,68,4.807311e-12,1276,23,1,5.09309111614476,PWY-5350,thiosulfate disproportionation IV (rhodanese),PWY-5350,thiosulfate disproportionation IV (rhodanese),8.07065687943666e-6,43,TRUE,TRUE,TRUE,3,3.16857433846768,2.69779326177904,0.978254852427755,0.301029995663981,6.44580402515979,All 3
23,SORBI_3009G066100,9,7121475,7173968,1424,85,329,4.9556,3.6056e-7,0.28846,3.2016e-10,3.6056e-7,1.5093664790123e-4,0.01222586848,81,1.316785e-12,1424,16,1,4.76250629281896,PWY-5398,crocetin esters biosynthesis,PWY-5398,crocetin esters biosynthesis,1.72780094492077e-5,69,TRUE,TRUE,TRUE,3,3.32618219182935,2.62181715560662,0.772874217270087,0.301029995663981,6.42474545477021,All 3
24,SORBI_3008G029700,8,2617798,2668855,919,32,330,5.6916,6.2912e-9,0.02098,4.9046e-12,6.2912e-9,1.18512227555556e-5,2.133220096e-4,18,4.904645e-12,919,26,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.11532882651445,3.27502966938197,0,0,6.39035849589642,GWAS + MAGMA
25,SORBI_3006G019100,6,3234923,3289878,1180,48,329,5.1076,1.6318e-7,0.77358,1.6329e-10,1.6318e-7,9.91005915789474e-5,0.00553310744,54,9.662592e-13,1180,13,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.41635882217843,2.7979084146623,0,0,6.21426723684074,GWAS + MAGMA
26,SORBI_3009G068800,9,7536081,7589708,674,66,330,5.4126,3.1062e-8,0.079835,5.6178e-11,3.1062e-8,3.63064258666667e-5,0.001053250296,29,7.076227e-12,674,27,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.09893841032628,3.06790417658632,0,0,6.1668425869126,GWAS + MAGMA
27,SORBI_3008G028700,8,2521276,2589912,1062,63,330,5.4282,2.8468e-8,0.0086797,1.4718e-9,2.8468e-8,3.4771443e-5,9.65292944e-4,27,8.315379e-12,1062,30,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.05318091976561,3.09893841032628,0,0,6.15211933009189,GWAS + MAGMA
28,SORBI_3008G009300,8,664377,717917,694,74,326,5.1775,1.1245e-7,3.9922e-4,4.3887e-8,1.1245e-7,7.78154e-5,0.0038129546,49,5.297095e-10,694,163,1,6.18334858791599,PWY-3781,aerobic respiration I (cytochrome c),PWY-3781,aerobic respiration I (cytochrome c),6.55618820419099e-7,7,TRUE,TRUE,TRUE,3,2.31811457008131,2.84010609445676,1.76662526799308,0.301029995663981,6.13184229723381,All 3
29,SORBI_3007G097550,7,19267231,19320174,917,56,331,5.4066,3.2122e-8,0.52622,1.2268e-10,3.2122e-8,3.63064258666667e-5,0.001089192776,30,9.862253e-12,917,31,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.038940480651,3.05318091976561,0,0,6.09212140041661,GWAS + MAGMA
30,SORBI_3008G029500,8,2610647,2666667,1096,34,330,5.2484,7.671e-8,0.0073103,4.9556e-10,7.671e-8,6.43211640909091e-5,0.00260108268,40,4.904645e-12,1096,25,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.13236216581323,2.92824218315731,0,0,6.06060434897054,GWAS + MAGMA
31,SORBI_3004G014500,4,1149092,1200330,871,40,329,5.8462,2.5145e-9,0.0013066,4.8017e-11,2.5145e-9,6.55858969230769e-6,8.5261666e-5,13,4.801701e-11,871,77,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.64381144931279,3.41635882217843,0,0,6.06017027149122,GWAS + MAGMA
32,SORBI_3008G000900,8,34592,85999,584,61,330,5.5853,1.1668e-8,0.059046,3.6334e-11,1.1668e-8,1.7201675826087e-5,3.95638544e-4,23,1.779451e-11,584,45,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.87708966070993,3.16857433846768,0,0,6.04566399917761,GWAS + MAGMA
33,SORBI_3009G065900,9,7106126,7159943,1137,83,329,4.9895,3.0269e-7,0.15081,1.1929e-9,3.0269e-7,1.3490980363636e-4,0.01026361252,76,1.316785e-12,1137,14,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.38417413880703,2.64948858220448,0,0,6.03366272101151,GWAS + MAGMA
34,SORBI_3004G132350,4,19787070,19838988,960,56,330,5.4266,2.8713e-8,0.55583,1.4264e-11,2.8713e-8,3.4771443e-5,9.73600404e-4,28,1.426403e-11,960,39,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.93923756745877,3.08314414314305,0,0,6.02238171060182,GWAS + MAGMA
35,SORBI_3009G068900,9,7542284,7593764,652,58,330,5.2343,8.281e-8,0.082498,1.93e-10,8.281e-8,6.43211640909091e-5,0.00280792148,43,7.076227e-12,652,28,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.08314414314305,2.89683371890568,0,0,5.97997786204874,GWAS + MAGMA
36,SORBI_3009G038900,9,3605510,3661730,742,49,330,5.0494,2.2162e-7,0.14265,1.2119e-9,2.2162e-7,1.1792680738461e-4,0.00751469096,63,4.193526e-12,742,21,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.20808287975135,2.73096162503169,0,0,5.93904450478304,GWAS + MAGMA
37,SORBI_3008G001400,8,117226,170110,239,30,330,4.6863,1.3912e-6,0.3015,4.2351e-9,1.3912e-6,3.3455893333333e-4,0.0471728096,141,1.779451e-11,239,49,2,5.2398861135123,PWY-3742; PWY-6543,tetrahydrofolate biosynthesis II; 4-aminobenzoate biosynthesis,PWY-3742,tetrahydrofolate biosynthesis II,2.999997000003e-6,36,TRUE,TRUE,TRUE,3,2.84010609445676,2.38108306182989,1.05542080724005,0.477121254719662,5.89203593632258,All 3
38,SORBI_3008G009000,8,655089,707627,845,53,327,4.8721,5.5218e-7,5.7109e-4,1.3338e-7,5.5218e-7,2.0351434173913e-4,0.01872331944,92,5.297095e-10,845,160,1,6.18334858791599,PWY-3781,aerobic respiration I (cytochrome c),PWY-3781,aerobic respiration I (cytochrome c),6.55618820419099e-7,7,TRUE,TRUE,TRUE,3,2.32618219182935,2.56651434713972,1.76662526799308,0.301029995663981,5.8663181716648,All 3
39,SORBI_3003G084100,3,7201876,7252950,790,28,330,5.1692,1.1755e-7,0.065103,5.0337e-11,1.1755e-7,7.81546156862745e-5,0.0039858854,51,1.00674e-11,790,34,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.99882325744302,2.82273199838734,0,0,5.82155525583035,GWAS + MAGMA
40,SORBI_3003G084000,3,7190295,7245895,918,29,330,5.1319,1.4344e-7,0.099314,6.0404e-11,1.4344e-7,9.17691230188679e-5,0.00486376352,53,1.00674e-11,918,33,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.01178823460738,2.80602630488448,0,0,5.81781453949187,GWAS + MAGMA
41,SORBI_3006G073001,6,43508177,43561434,80,40,324,5.5173,1.7213e-8,1.2466e-4,3.5097e-9,1.7213e-8,2.334633616e-5,5.83658404e-4,25,4.387137e-11,80,70,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.68520413447101,3.13236216581323,0,0,5.81756630028425,GWAS + MAGMA
42,SORBI_3007G022600,7,2033647,2086596,926,68,329,4.5691,2.4489e-6,0.095376,2.0288e-8,2.4489e-6,4.4885027675675e-4,0.0830373012,185,1.029089e-9,926,219,1,8.6476253347155,PWY-7219,adenosine ribonucleotides <i>de novo</i> biosynthesis,PWY-7219,adenosine ribonucleotides <i>de novo</i> biosynthesis,2.2509956994871903e-9,2,TRUE,TRUE,TRUE,3,2.18985805964515,2.26313044608226,2.31069331234336,0.301029995663981,5.69864416059829,All 3
43,SORBI_3009G069000,9,7552283,7616525,589,59,330,4.9565,3.5892e-7,0.10115,1.0402e-9,3.5892e-7,1.5093664790123e-4,0.01217025936,80,7.076227e-12,589,29,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.06790417658632,2.62721218749333,0,0,5.69511636407964,GWAS + MAGMA
44,SORBI_3004G347600,4,67671418,67726157,527,32,330,5.6801,6.7292e-9,4.9189e-4,5.3151e-10,6.7292e-9,1.20091428210526e-5,2.281737136e-4,19,1.771714e-10,527,129,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.41971246418602,3.25154857353244,0,0,5.67126103771847,GWAS + MAGMA
45,SORBI_3004G014200,4,1136710,1188134,1016,43,329,5.2989,5.8265e-8,0.0030983,1.4017e-9,5.8265e-8,5.48791561111111e-5,0.00197564962,36,4.801701e-11,1016,74,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.6610704547543,2.97399967371798,0,0,5.63507012847228,GWAS + MAGMA
46,SORBI_3004G347700,4,67678366,67729273,499,32,330,5.5963,1.0949e-8,6.2426e-4,1.364e-9,1.0949e-8,1.68753950909091e-5,3.71258692e-4,22,1.771714e-10,499,130,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.41635882217843,3.18787949366307,0,0,5.6042383158415,GWAS + MAGMA
47,SORBI_3008G000600,8,16765,69713,898,53,329,5.0118,2.6959e-7,0.19496,3.1852e-9,2.6959e-7,1.2755910904109e-4,0.00914125772,71,1.779451e-11,898,42,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.90705288408737,2.6790438257662,0,0,5.58609670985357,GWAS + MAGMA
48,SORBI_3004G138200,4,38846341,38897033,1861,59,329,5.0083,2.7462e-7,0.15036,2.9601e-10,2.7462e-7,1.2755910904109e-4,0.00931181496,73,1.623772e-11,1861,41,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.91751831776554,2.66697931436482,0,0,5.58449763213035,GWAS + MAGMA
49,SORBI_3004G347866,4,67687396,67739214,525,33,330,5.5395,1.5171e-8,0.0010489,5.8247e-10,1.5171e-8,2.14340945e-5,5.14418268e-4,24,1.771714e-10,525,133,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.40645053351819,3.15009093277367,0,0,5.55654146629185,GWAS + MAGMA
50,SORBI_3003G398400,3,70764997,70822184,1103,39,330,5.3611,4.1364e-8,0.081522,5.752e-10,4.1364e-8,4.33416166060606e-5,0.001402570512,32,8.217188e-11,1103,100,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.53030217448527,3.02515219616537,0,0,5.55545437065064,GWAS + MAGMA
